longitude,latitude,fsq_venueName,fsq_venueCount
-122.03642903,37.32394154,Target,1
-121.99849356,37.33065455,Marfle Clara,1
-122.03208296,37.31801975,Curry House,2
-122.06669965,37.31969261,Sunny View Retirement Community,1
-122.045439,37.32027769,De Anza College Adm 101,1
-122.023586,37.320388,かすみ第三仮設拠点,1
-122.01676208,37.32242104,Gyu-Kaku,3
-121.99378783,37.30919459,Burger King,1
-122.03186648,37.31365711,SmokeEaters,1
-122.03788324,37.32590445,Northwest YMCA,1
-122.06620038,37.33735696,Peet's Coffee & Tea,1
-122.03180909,37.331305,BJ's Restaurant & Brewhouse,5
-121.99450493,37.32239338,Panda Express,1
-122.031964,37.321548,Armadillo Willy's,3
-122.03338623,37.32252989,City of Cupertino,2
-122.07085827,37.34069212,Alotta's Delicatessen,1
-122.039904,37.32354945,Whole Foods Market,2
-122.07778854,37.29969211,Ridge Winery,1
-122.01528539,37.33227906,Courtyard by Marriott San Jose Cupertino,3
-121.99422598,37.33635038,Orenchi Ramen,1
-122.01800644,37.32177908,J.T. McHart's Pizza,1
-122.05528777,37.28618471,Fremont Older Open Space Preserve,3
-122.03192754,37.31918876,Wells Fargo,2
-122.0320611,37.30736,Happy House Restaurant,1
-121.997509,37.33665747,Kaiser Permanente Medical Center,1
-122.00483,37.335153,Panasonic Research,2
-122.04767363,37.32334919,Hobee's Restaurant,1
-122.03273177,37.32199665,Starbucks,12
-121.993035,37.309259,7-Eleven,1
-121.998329,37.335593,Kaiser Radioimaging 104,1
-122.03326285,37.33161587,Outback Steakhouse,1
-122.01536866,37.32599386,Vallco Shopping Mall,1
-122.029901,37.331657,Apple Inc. — Lobby Cafe,2
-122.04098292,37.33710051,McDonald's,2
-122.013336,37.327811,Ice Center,1
-122.05162506,37.32319701,Paul & Eddie's Monta Vista Inn,1
-122.04258,37.34018658,Glamorous Nail Salon,2
-122.03260194,37.32037181,CPT48劇場,6
-122.03050554,37.33143672,Apple Company Store,4
-122.0315945,37.33123879,Infinite Loop 7,1
-122.04088039,37.3225286,Ike's Lair,2
-121.99867957,37.31592316,Home,2
-121.9928772,37.29253596,BevMo!,1
-122.04242334,37.33941628,Loehmann's - Sunnyvale,1
-122.01394558,37.32826314,Alexander's Steakhouse,2
-122.023501,37.32255583,Village Falafel,1
-122.03180909,37.32211183,Park Place,1
-122.01849411,37.3219936,Marukai Corporation,1
-121.99568242,37.29185128,Classic Car Wash,1
-122.01392412,37.33844029,New Port Dimsum & Seafood Restaurant (新港海鮮酒家),1
-122.01559648,37.33574792,Quickly 快可立,1
-122.03150569,37.31837694,Bitter+Sweet,2
-122.04798997,37.3233881,Togo's,1
-122.017829,37.322375,Kong Tofu & BBQ Korean Cuisine,1
-122.031836,37.312635,Taco Bell,1
-122.03279899,37.32671081,Boyenga Team - Intero RE,1
-122.03116536,37.31193247,Trader Joe's,2
-122.04501629,37.32444103,Cupertino Memorial Park,1
-122.04859385,37.323775,Bluelight Cinemas,1
-122.01519012,37.32601085,AMC Cupertino Square 16,2
-122.08814621,37.33167559,Rancho San Antonio Park,1
-122.029572,37.332284,Caffè Macs,1
-122.03298926,37.32195825,Pizza My Heart,1
-122.034872,37.331686,Apple Fitness Center,2
-122.01513646,37.336706,99 Ranch Market 大華超級市場,1
-122.012091,37.309153,Cicero's Pizza,1
-122.05366198,37.322747,Gumbas,1
-121.994642,37.337666,L & L Hawaiian BBQ,1
-122.01701403,37.3222654,Verde Tea Cafe,1
-122.0308063,37.33190564,Apple - Infinite Loop 5,1
-122.01800004,37.32252191,It's A Grind Coffee House,1
-122.0137254,37.32689356,Bowlmor Lanes,1
-122.04258984,37.32127904,Electronics Flea Market @ De Anza,1
-122.05749643,37.32351506,Massage Rescue,1
-122.03193309,37.32640571,Donut Wheel,2
-121.99600697,37.30157251,Saratoga Creek Park,1
-122.01486903,37.33490655,The Duke of Edinburgh,1
-122.03320202,37.324392,Pho Minh,2
-122.031988,37.31345714,Yiassoo,1
-122.04026987,37.33634683,Homestead Lanes,2
-122.03050101,37.3325553,Apple - Infinite Loop 2,2
-122.022035,37.323445,Apple - Stevens Creek 1,1
-122.00458711,37.32358701,LiveOps,1
-122.01355934,37.32720526,Benihana,1
-121.993671,37.3089,Park Lane Lounge,3
-122.00573083,37.3227004,Mama Chen's Kitchen,1
-122.03072304,37.331653,Apple Inc.,18
-121.994171,37.337102,Bernal Bagel Donut & Sandwich‎,1
-122.023747,37.311337,Gokaku Restaurant,1
-122.031851,37.310825,Holder's Country Inn,1
-122.03515649,37.328078,Sutton Swim,1
-122.07338333,37.3056006,Stevens Creek County Park,1
-122.015892,37.33591685,Fantasia Coffee & Tea,2
