longitude,latitude,fsq_venueName,fsq_venueCount
-0.124705,51.530051,Equipe De France Paralympique - Homecoming Eurostar,1
-0.21766663,51.42500896,Dog & Fox,1
-0.31624915,51.34860098,Chicken Shack,1
-0.00414133,51.55778287,Muggers Bridge,1
-0.12559578,51.51140089,Snog Pure Frozen Yogurt,3
-0.091301,51.505511,Elliot's Cafe,1
-0.14453615,51.55412014,Dirty Burger,5
-0.18657137,51.55265897,Galvin at Windows Bar (28 floor) at London Hilton Hotel,1
-0.004205,51.58858,LOT 107,1
-0.125314,51.500916,St. Stephens Tavern,1
-0.46335697,51.46948812,Gate 18,1
-0.10886,51.510645,The River Bar,3
-0.09121656,51.51494884,The Anthologist,1
-0.47618866,51.47110546,Terminal 5C,1
-0.14833335,51.466428,Hydrovets,1
-0.13164563,51.52816574,Network Rail,1
-0.14045048,51.51120491,Nicholson's Pub,1
0.11091471,51.56574661,Goodmayes Railway Station (GMY),1
-0.15980354,51.51602603,The Arch Hotel,1
-0.13456106,51.52858389,Platform 17,2
0.023067,51.51636761,COLO2 UK2 Canning Town,1
-0.09808904,51.55381888,The Highbury Barn,1
0.07781066,51.53521262,Barking Bathhouse,1
-0.180482,51.51481,Raquel Britzke - Nutritionist,1
0.03841444,51.53076498,Boleyn Cinema,1
-0.24223,51.51175,Acton town action Pad,1
-0.145572,51.519896,Quintessentially Group,1
-0.19090116,51.44114224,Crossfitbold,2
-0.10486901,51.52021309,Farringdon Underground Station,1
-0.08885622,51.52558687,Pell & Bales,1
0.05319324,51.45068947,Eltham High Street/Chequers Parade (M),1
-0.21903992,51.50691277,NET-A-PORTER Group Ltd,1
-0.16726675,51.49450524,Jak's Bar,2
-0.39709568,51.66090996,Watford's Vibe 107.6,1
-0.23106824,51.57200857,Rio's Diner,1
-0.55369377,51.43169832,Loch Fyne,1
-0.356369,51.40065,averna,1
-0.1621039,51.5000948,Gran cafe londra (Harrods),1
-0.13714373,51.50807676,Jermyn Street,1
-0.15874386,51.51336311,Pret A Manger,46
-0.119914,51.516238,Allilon Academy,1
-0.12975642,51.49506077,NPIA,2
-0.14276326,51.50673914,Green Park Underground Station,13
-0.142484,51.510477,174 New Bond Street,1
0.02192974,51.4306816,Grove Park Railway Station (GRP),5
0.00167198,51.6484652,Gilwell Scout Centre,3
-0.110471,51.502633,Fire Station,2
-0.05680451,51.53856239,The London Fields,1
-0.09918622,51.58055124,Gökyüzü Restaurant,1
-0.03886658,51.49418175,Surrey Docks Watersports Centre,1
-0.21883862,51.5060754,The Meat And Wine Company,1
-0.18702436,51.511257,Taza Kebab House,1
-0.13908595,51.51282561,Cha Cha Moon,2
-0.12666464,51.42256042,Streatham Green,1
-0.18699156,51.51069357,New Fortune Cookie,1
-0.09402752,51.51932519,Lakeside Terrace,1
-0.121099,51.487253,Spring Gardens,1
-0.00918388,51.48069469,Cafe Sol,1
0.00382951,51.56036768,Cathall Leisure Centre,2
-0.08952141,51.46518386,Fox On The Hill (Wetherspoon),1
-0.1563406,51.56335897,Highgate Men's Bathing Pond,1
-0.10462761,51.43581847,B&Q Supercentre,1
-0.13024807,51.51066556,Empire Cinema,3
-0.09209633,51.50225139,Kaplan Financial,1
-0.13179302,51.50615149,The Royal Society,4
-0.42712569,51.46055832,Bedfont Sports FC,1
-0.46303981,51.47339593,Gate 34,1
-0.07819176,51.52118776,The Water Poet,1
-0.3081957,51.39118732,BoCo Yoga,2
-0.08066123,51.52016201,Exchange House (Exchange Square),2
-0.44661898,51.378611,The Weybridge Health Club,1
-0.077381,51.456896,Willow,1
0.17939226,51.44829835,Crayford Railway Station (CRY),1
-0.51185131,51.40446653,Vortex,1
-0.178069,51.55552268,Ginger & White,1
-0.15119076,51.51498556,Reiss,1
-0.10126077,51.51931993,Smithfield Market,1
-0.167429,51.460844,Adventure Bar (Clapham Junction),1
-0.29787941,51.54155223,Andrews Hairdressers,1
0.24749564,51.55362434,Bizara Cards,1
-0.13020515,51.51395067,The Montagu Pyke (Wetherspoon),2
-0.0763464,51.42447377,Crystal Palace Transmitting Station,1
-0.11972024,51.5033228,London Eye Pier,3
-0.087563,51.514977,Mint Leaf Lounge,2
-0.01832485,51.50358708,Jubilee Park,2
-0.14056921,51.52624102,National Union of Students,1
-0.142434,51.53847473,Black Cap,1
0.01338959,51.44956746,Lee Railway Station (LEE),1
-0.4636324,51.35065343,The Heights,3
-0.10489169,51.54669965,Highbury Corner Magistrates Court,1
-0.138193,51.523282,Sardo,1
-0.16787374,51.52985061,Rym Cafe,1
-0.09756804,51.51479528,St. Paul's Underground Station,1
-0.086689,51.50347355,Guy's Hospital,2
-0.19753933,51.48906607,Earls Court Exhibition Centre,4
-0.302262,51.461257,Fire PR,2
-0.30858342,51.46437235,Old Deer Park,1
-0.189232,51.445799,Thai Grocer,1
0.02721095,51.43158207,P. J. Supplies,1
0.05823414,51.36596152,Princess Royal University Hospital,1
0.05411625,51.450192,Argos,5
0.08079548,51.49735217,Phil's riverside apartment,1
0.17152357,51.60044503,BatBed,3
-0.29839171,51.4106894,The Fighting Cocks,1
0.00969887,51.5444348,University of East London (Stratford Campus),2
-0.15820022,51.49177764,Caffè Fratelli,1
-0.14009714,51.51276218,Hamleys,9
-0.178222,51.482699,Mona Lisa Cafe,1
-0.09986517,51.53073653,Rheidol Mews,1
-0.10263205,51.51939862,Smiths of Smithfield,1
-0.18980828,51.51394871,London House Hotel,2
-0.27474403,51.4934616,Chiswick Business Park,3
-0.15090636,51.53692851,River island Hq,1
-0.19782295,51.51877618,The Oak,1
-0.384768,51.645031,London Midland trains,4
-0.11085726,51.56890479,Vagabond,2
-0.087767,51.519722,2020 London,1
-0.30062199,51.48758299,TfL Bus 65,1
