longitude,latitude,fsq_venueName,fsq_venueCount
-122.1577549,37.43847476,Calafia Cafe,1
-122.17147171,37.444741,LaBelle Day Spas & Salons,1
-122.22120611,37.47922877,Cal Train,1
-122.16125301,37.44491245,The Old Pro,1
-122.16055958,37.44708,The Cheesecake Factory,2
-122.143896,37.427091,Antonio's Nut House,2
-122.173045,37.442633,Schaub's,1
-122.1605101,37.44789539,Be Yoga,1
-122.08659053,37.5511697,Coyote Hills Regional Park,1
-122.184778,37.4516319,Le Boulanger,1
-122.09664009,37.42310745,REI,2
-122.16805995,37.44361992,P.F. Chang's,1
-122.16628969,37.42430245,Donner House,1
-122.16309249,37.444732,Lavanda,1
-122.14245154,37.44960683,Eleanor Pardee Park,1
-122.14495,37.42617,California Ave Farmers' Market,1
-122.11256538,37.41950381,Unitarian Universalist Church of Palo Alto,1
-122.22906287,37.48634836,Five Guys Burgers and Fries,3
-122.09753394,37.42310533,Bed Bath & Beyond,1
-122.08776951,37.42205787,Googleplex - 1950,2
-122.18303332,37.47995112,Orrick Silicon Valley,1
-122.20269,37.485937,Stanford Orthopedic Specialties Center,1
-122.21831924,37.47932921,Orchard Supply Hardware,1
-122.18358206,37.45236794,Walgreens,1
-122.18163729,37.42310533,Stanford Driving Range,1
-122.15616703,37.44706119,"Palo Alto, CA",4
-122.224478,37.463975,Auto Pride Car Wash,1
-122.21639646,37.47463464,Chuck E. Cheese's,1
-122.12350537,37.41775625,Startup Embassy (dot) com,3
-122.170616,37.424448,Stanford University - The Future of Freelancing Journalism Conference,1
-122.13772155,37.46146422,Mi Pueblo Food Center,1
-122.10928732,37.41858179,Rick's Rather Rich Ice Cream,1
-122.10778415,37.41715894,Cubberley Community Center & Theatre,1
-122.09965781,37.43046184,Lord's Grace Christian Church,1
-122.2262047,37.485994,Martin's West,1
-122.15879697,37.4484771,Blue Parking Lot,2
-122.0824711,37.41885397,Googleplex - The Hub,1
-122.16172979,37.44437572,The Rose & Crown Pub,1
-122.18632021,37.4298842,Stanford Community Farm,1
-122.09670111,37.42184655,Erik's DeliCafe,1
-122.08720918,37.42277965,Googleplex - B1900 Gym,1
-122.16525435,37.42406814,Burbank House,3
-122.215521,37.47075,Rellas Palace,7
-122.11049438,37.41930509,Peet's Coffee & Tea,1
-122.227151,37.486744,The Living Room,1
-122.13680148,37.42336947,Fry's Electronics,1
-122.21691179,37.48447003,Dealix Corporation,1
-122.22925186,37.48583391,Cafe La Tartine,1
-122.216317,37.472701,Tacos El Camino,1
-122.17043908,37.43277112,Iris & B. Gerald Cantor Center for Visual Arts,1
-122.08538392,37.43041911,Shoreline Golf Links,2
-122.18022,37.452416,Jeffrey's Hamburgers,1
-122.14543471,37.44425399,Lucie Stern Community Theatre,1
-122.13925202,37.42530392,AOL First Floor Labs,1
-122.18552649,37.45071352,Miyo Yogurt,1
-122.203781,37.510884,CA Technologies,3
-122.102525,37.416466,Kelly Paper,3
-122.18340755,37.451177,Trader Joe's,1
-122.1618573,37.44369631,Barnes & Noble,1
-122.14142016,37.42958268,Jerry Bowden Park,1
-122.21126556,37.48616791,UsedCarsdotcom Headquarters,1
-122.09793262,37.42127715,Gigya,1
-122.21365213,37.41901537,Sense® Spa at Rosewood Sand Hill,2
-122.15979338,37.43864514,Asian Box,2
-122.1916328,37.47380022,Kiwi House,2
-122.1603715,37.44837738,Vino Locale,1
-122.16101646,37.43472641,Stanford Stadium,22
-122.13168902,37.41790286,Da Sichuan Restaurant,2
-122.15978554,37.44269371,Velo tech cycles,1
-122.15984166,37.44782779,Apple Store,6
-122.16150803,37.44388185,Fraiche Yogurt,1
-122.14499112,37.42608052,Mediterranean Wraps,1
-122.16148853,37.44602201,Downtown Palo Alto,1
-122.183613,37.45505869,Crepes Cafe,1
-122.12602599,37.41433007,Pizz'a Chicago,1
-122.17356006,37.42938698,Bytes Café,1
-122.17268407,37.44315568,The Melt,1
-122.19899572,37.42572137,Sharon Heights Pool,1
-122.17535056,37.43314914,Cardiovascular Medicine And Cardiac Arrhythmias,1
-122.095695,37.426807,Mint.com HQ - Intuit Building 3,1
-122.21201329,37.41940595,Madera,1
-122.14686527,37.48525194,Oracle,1
-122.17174295,37.443818,Abercrombie & Fitch,1
-122.159713,37.44164,St Michael's Alley,1
-122.16238398,37.44498518,Cafe 220,1
-122.09463193,37.42484194,Googleplex - GWC5 Gym,1
-122.15716505,37.42011593,Stanford Campus Recreational Association,1
-122.08618837,37.42038844,Googleplex - 1098,2
-122.22388744,37.47759123,Wendy's,1
-122.16164109,37.42651823,Schwab Residential Center,1
-122.11879951,37.41497195,Alma Street,1
-122.0829539,37.42198665,Google Earth,1
-122.16177969,37.44633394,Lime Parking Garage,2
-122.14773417,37.41971409,Facebook,1
-122.13595814,37.45907183,Home Depot,3
-122.18263423,37.45500703,Caltrain 217,1
-122.20155001,37.43203856,The Dutch Goose,3
-122.173211,37.437224,Tootsies,1
-122.161204,37.446284,SliderBar Cafe,1
-122.15884924,37.44792148,Garden Court Hotel,1
-122.159001,37.447877,Il Fornaio,1
-122.15816493,37.43887711,The Bar Method - Palo Alto,1
-122.206535,37.450266,The Garden,1
-122.1649003,37.44350067,Palo Alto Caltrain Station,1
-122.19770908,37.46470797,Atherton Caltrain Station,2
-122.16126,37.443495,Buca di Beppo,3
-122.183449,37.452989,Menlo Cafe,1
-122.16156347,37.44419266,Color Labs HQ,2
-122.11647034,37.42835379,Palo Alto Family YMCA,1
-122.09345586,37.41414324,Los Altos Taqueria,1
-122.14156988,37.42330458,AT&T,2
