longitude,latitude,fsq_venueName,fsq_venueCount
-73.97328615,40.75036183,AtmosphereProximity,1
-73.8705126,40.6728312,B14 (Euclid Ave),2
-73.97694517,40.75285447,Hudson News - Grand Central Terminal,2
-73.70231516,40.77727094,North Shore University Hospital ER,2
-73.91960078,40.71093611,"5th Avenue, NYC",1
-73.97365077,40.75528194,Hyatt 48 Lex,1
-73.99226282,40.75406968,Houndstooth Pub,2
-74.00363119,40.73135499,Bosie Tea Parlor,1
-74.10707446,40.57025018,New Dorp High School,1
-74.01588829,40.70656686,Le Rivage,3
-74.11769611,40.80345983,Weight Watchers,4
-73.9908568,40.73977232,Nike Running Flatiron,1
-74.11812338,40.58119781,Den Of Iniquity,1
-73.9991723,40.72266624,Brandy Melville,1
-73.97284725,40.7859995,Trattoria Machiavelli,1
-74.04334853,40.882665,Kebab House,1
-73.99952352,40.71471618,Le Baron,6
-73.9892212,40.69918101,NYC Office of Emergency Management (OEM),7
-73.94186034,40.78381751,Party rockin',3
-73.71559474,40.78118,Orthopedic Associates of Manhasset,1
-74.00699079,40.747825,Center 548,11
-74.01072979,40.70712443,Financial District,3
-73.94736815,40.74555989,MoMA PS1 Contemporary Art Center,22
-74.089743,40.58971,Manfredi Fiat,1
-74.15058387,40.53781995,Bushido Dojo,1
-74.011928,40.703963,Giuliano's,3
-73.96860838,40.79123183,Gabriela's Restaurant & Tequila Bar,1
-73.98060109,40.57469135,Coney Island Flea Market,1
-73.98393554,40.7271068,Burger Shop,1
-73.99392709,40.72269761,Haute Hippie,1
-73.87604447,40.76343494,Buccaneer Diner,1
-73.97596,40.681098,Sun In Bloom,1
-73.93401254,40.704011,Green Fitness Studio,4
-73.88307006,40.64693688,In Front Of My Tv,1
-73.98491119,40.74075166,Shanghai Panda Sanctuary,1
-74.04669972,40.7206242,Wonder Bagels,3
-74.13759576,40.82563696,Spuntino Wine Bar and Italian Tapas,1
-73.84464741,40.72055884,Austin Street,1
-73.988418,40.72326064,Boca Chica,1
-73.87419172,40.87915958,Good News Christian Church,1
-74.00734398,40.7431389,Morimoto,2
-73.92422225,40.81433701,The Real 300 (Patterson houses),1
-73.96486985,40.693647,Sapolo,1
-74.04586208,40.78676295,Harmon Meadow,1
-74.18930054,40.74556629,People's Choice Lounge,1
-73.985834,40.76196,Toloache,2
-73.938498,40.79736524,El Paso Restorante Mexicano,1
-73.9950335,40.72798238,West 3rd Common,3
-73.9573431,40.68919682,Dough,1
-73.71836391,40.85040529,Kenn and Diane's,6
-73.99055958,40.73652697,Union Square Greenmarket,16
-73.69318247,40.75628049,1985 Marcus Avenue,2
-74.01034546,40.67721176,Victoria's Red Hook Palace,1
-73.99715245,40.72958813,Bobst Library (NYU),6
-74.00909419,40.72590821,Digiday HQ,1
-74.00922043,40.70622218,Cipriani Wall Street,6
-74.12921179,40.90956972,Elmwood Park Memorial High School,1
-73.989308,40.729287,Yoga to the People,8
-74.25344733,40.8911409,Willowbrook Mall Public Safety,1
-73.88104021,40.73461464,Que Sabor,1
-74.139808,40.731852,Met Foodmarkets,1
-73.993216,40.727186,Great Jones Spa,2
-74.00063278,40.63396697,Shvuger's House,3
-74.16436231,40.73433704,Track 3,1
-73.99539567,40.72493011,Puck Building,3
-73.9946387,40.73454584,photobooth 1,2
-73.79583104,40.70699661,Jamaica Colosseum Mall,2
-74.00421739,40.7204694,360i,6
-73.953136,40.808033,Chocalat lounge,1
-73.98981805,40.74499556,Rewind.Me HQ,4
-74.16155281,40.80255327,Belleville High School,3
-73.846884,40.749676,US Open President's Box - Arthur Ashe Stadium,1
-73.9987545,40.729751,Amity Hall,1
-73.9661407,40.7841484,"Time Square, New York",1
-73.94415935,40.68415029,The Meat Market Brooklyn,1
-73.83821049,40.7230715,PS 196,2
-73.976498,40.785677,Hi-Life,2
-73.97472978,40.78042912,American Museum of Natural History - Creatures of Light,4
-74.00200718,40.73963321,Stash,2
-73.991363,40.757337,Green Trees,2
-73.92939473,40.85489164,191st St Station,1
-73.95321159,40.63170567,James Hall,2
-73.9902829,40.72574081,Whiskey Town,1
-73.993585,40.752188,Tick Tock Diner,8
-74.119541,40.84179737,Tryon Field,1
-73.987932,40.722257,Karaoke Boho,5
-73.91834636,40.70142504,MURDA AVE,1
-73.99071332,40.75076775,Macys,3
-73.9854564,40.75272564,Sushi & Deli Box,1
-73.99412221,40.75123109,Mta M20,1
-74.04504865,40.71615148,Taqueria Downtown,1
-73.98328702,40.76014609,Bella Napoli,1
-73.94213301,40.6002304,Brennan & Carr,3
-73.95733863,40.77545846,124 E 84,1
-74.07840675,40.59870512,Dongan Hills,1
-73.9958668,40.76341552,Neo@Ogilvy,1
-73.78896895,40.59386609,66th St Beachhouse,1
-74.00214694,40.738206,Tea & Sympathy,1
-73.93824101,40.70827723,The Wick,1
-74.2085978,40.80807167,Yogic Chai Cafe,2
-74.21747687,40.66501314,Union County Kellogg Building 3rd Floor,1
-73.824741,40.686081,Ozone Park - Lefferts Blvd ( A ) & ( S ) Lefferts Blvd Shuttle,1
-73.88289492,40.74730698,Taqueria Tulcingo,1
-73.94837379,40.74530618,"Long Island City, NY",2
-74.01495095,40.79068,Pollo Supremo,1
-73.96699905,40.77371687,Central Park - Conservatory Water,1
-73.95717791,40.68721847,One Last Shag,4
-73.831815,40.706115,"Kew Gardens, NY",3
-73.96929932,40.68717575,Bon Chovie @ Brooklyn Flea,1
-73.93522149,40.68294244,Beso,2
-73.994151,40.731215,Pop's Of Brooklyn,2
-73.98967713,40.73898202,Beecher's Handmade Cheese,6
-74.12236722,40.89352727,Pizza Town USA,1
-74.00161121,40.7244789,Bar Method Soho,2
-74.08881206,40.71274011,NJCU GYM,1
-73.98608565,40.73281984,Beyond Sushi,1
-73.97916054,40.76340666,Estiatorio Milos,1
-74.073662,40.912369,Anny's Humble Abode,4
-73.99445506,40.72680554,BONDST,3
-73.85137595,40.72788866,Asian Bowl,1
-73.95688518,40.7183163,Pop's Burger,3
-73.82568945,40.68957168,"Richmond Hill, New York",1
-73.91640874,40.86486691,Manhattan Uptown (North Of 59th Street) New York,1
-73.99940184,40.73403519,CO Bigelow Pharmacy,1
-74.04954537,40.75223524,The couch,1
-73.99663579,40.72546967,Blue Man Productions,4
-73.96902474,40.67752967,Plan B,1
-73.845782,40.75052,Panasonic Gallery - US Open,2
-73.909203,40.699894,Caribe Star Restaurant,1
-73.87307567,40.82468659,"Bronx, NY",1
-73.957422,40.726805,The Diamond Bar,2
-74.01555548,40.79735687,Dairy Queen,3
-73.98225397,40.77548185,M104,1
-74.03012414,40.73625445,WindMill Of Hoboken,2
-73.951134,40.7241694,Calexico,6
-73.88536402,40.56736481,Building 219,1
-73.95361626,40.73610037,The Robes Pier,1
-73.8435001,40.85400231,Dolphin Fitness,4
-73.73115314,40.77479409,Napoli Pizza,2
-73.91840664,40.75877063,The Queens Kickshaw,4
-73.89918461,40.74653141,SriPraPhai Thai Restaurant,5
-73.988642,40.73107123,Bodhi Tree,2
-73.91563943,40.7020892,MTA - L Train Shuttle Bus,1
-74.017799,40.676755,Steve's Authentic Key Lime Pies,2
-74.03254151,40.72655953,Newport Town Square,3
-73.979801,40.77776,Stationery & Toy World,1
-74.21165943,40.88207939,ShopRite Liquors,1
-73.98369312,40.76598153,Otarian,2
-73.98691412,40.7501432,VivaKi Nerve Center,1
-73.99356365,40.74777716,330 7th ave,1
-73.87331111,40.67389056,Lee Good Taste,2
-73.96751523,40.79245326,Columbus House,2
-73.98887973,40.76087145,Beckingham Palace,1
-73.97196337,40.75719778,Café Metro,4
-73.96876646,40.75451802,The Press Box,1
-73.98212771,40.7442413,LexParc,5
-73.98454963,40.72881428,Sapporo East,2
-73.96805475,40.80007356,Papasito,1
-74.00379,40.738337,Organic Avenue,5
