longitude,latitude,fsq_venueName,fsq_venueCount
13.0599761,52.39570238,Mensa Friedrich-Ebert-Str. | FH Potsdam,1
13.09988737,52.409407,Bürgershof,1
13.0393168,52.3950831,rückholz,1
13.03570747,52.40192139,Park Sanssouci,3
13.16465735,52.43277434,Haus der Wannsee-Konferenz | House of the Wannsee Conference,1
13.01458903,52.39419109,Bhf. Park Sanssouci,1
13.05768013,52.39301812,Lustgarten Potsdam,1
13.05531741,52.39520066,Pub a la Pub,1
13.054087,52.400345,My Keng,1
13.01426221,52.37575242,Kongresshotel Potsdam am Templiner See,2
13.12198877,52.39063488,rbb Rundfunk Berlin-Brandenburg,1
13.06688547,52.39232411,World Coffee,1
13.07538271,52.40316509,Hans Otto Theater,1
12.936018,52.362516,Hagebaumarkt,1
12.93507099,52.4178046,Wublitzbrücke,1
13.154533,52.425665,ReitTherapieZentrum,1
13.09040308,52.41342752,Glienicker Brücke,2
13.14247948,52.46756437,Berliner Golf Club Gatow e.V.,1
13.01942481,52.38213701,"Eliteschule des Sports ""Friedrich Ludwig Jahn""",1
13.12980378,52.3934664,Institut für Informatik,4
13.0667456,52.39254671,Piazza Rossa,1
13.12770356,52.37379976,d.velop Portal Systems,1
13.00632428,52.47425426,Dr_Lange HomeOffice,1
13.09823245,52.35829458,Bhf. Potsdam-Rehbrücke,2
13.063581,52.392429,Tram-H Lange Brücke,1
13.01218987,52.40121443,Universität Potsdam,1
13.03585768,52.41388561,OptiFiSt,2
13.05444002,52.39507389,IHK Potsdam,2
13.01897049,52.36627132,Templiner See,1
13.06562309,52.37993193,GFZ German Research Centre for Geosciences,1
13.12469874,52.40231066,Potsdam,2
13.04834068,52.44142434,Nedlitzer Nordbrücke,1
13.04442465,52.41810634,Wasserbecken im BuGa-Park,1
13.08764961,52.41362097,Villa Schöningen,1
13.07014289,52.41928846,Schlosshotel Cecilienhof,1
13.11686827,52.38548164,Filmpark Babelsberg,1
13.09131105,52.39140863,Gleis 6,1
13.12733173,52.39430135,S-Bhf Griebnitzsee,3
13.06174,52.402901,Massimo 18,1
13.09916709,52.38984975,Gymnasium Babelsberg,1
13.06705082,52.39251252,Kaufland,1
13.05610036,52.40055987,Starbucks,1
13.086294,52.412861,Garage Du Pont,1
12.97529486,52.40677692,Universitätssporthalle,1
13.05276775,52.4002533,hairkiller,1
13.13225555,52.39389275,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH,1
13.08222485,52.38378906,Kita Nuthewinkel,1
13.04805636,52.39954518,Brandenburger Tor,1
13.06627393,52.39149915,Potsdam Hauptbahnhof,5
13.06977645,52.42214619,Meierei im Neuen Garten,1
13.09150018,52.39249825,Rathaus Babelsberg,1
13.049372,52.40409,Pino,2
13.03845406,52.40408147,Schloss Sanssouci,1
13.06407452,52.39229792,Bahnhofspassagen Potsdam,1
13.057837,52.402059,Gusto,1
13.12189064,52.42973894,Pfaueninsel,1
13.06387184,52.38926619,Schwimmhalle am Brauhausberg,1
13.17216258,52.44620509,Schwanenwerder,1
