longitude,latitude,fsq_venueName,fsq_venueCount
12.12713,47.85572,Gasthaus zum Stockhammer,1
12.12479711,47.85422812,Karstadt Rosenheim,2
12.11410046,47.8403533,Cubeware GmbH,7
12.11954149,47.85051154,Bahnhof Rosenheim,1
12.13136498,47.86023144,Klinikum Rosenheim,2
12.12716677,47.85587078,Max-Josefs-Platz,1
12.12529238,47.86051963,Auer Bräu Festzelt (Herbstfest),1
12.12757039,47.84886613,Modepark Röther,1
12.136794,47.852415,Freibad Rosenheim,2
12.11942196,47.85054917,McDonald's,1
12.12493999,47.85312983,Ku'ko: Kultur & Kongresszentrum,4
12.12680005,47.85924736,Flötzinger Festzelt,2
12.12623467,47.85950714,Herbstfest Rosenheim,8
12.12897381,47.85631265,Rosenheim,3
12.11336027,47.84775544,in2code,1
12.09216511,47.84912371,TkmaxX,2
12.12769082,47.85997873,Lorettowiese,1
12.12109324,47.86773939,Bundespolizei/ Bundesgrenzschutz Kaserne Rosenheim,1
12.12115343,47.85216213,Bergmeister,1
12.11936286,47.85079221,Coffee Fellows,1
12.12716516,47.85945376,Herbstfest Flötzinger Festzelt,3
12.12845,47.858561,Syspro Apple Reseller,1
