longitude,latitude,fsq_venueName,fsq_venueCount
-122.4332733,37.7659791,Jack's laundry,1
-122.4009347,37.79213414,Financial District,10
-122.45923519,37.77013804,Golden Gate Park Tennis Courts,2
-122.408332,37.776526,Terroir,3
-122.438591,37.77827,Bluejay Cafe,1
-122.40720439,37.777328,Extreme Pizza,1
-122.47618103,37.64985657,"On The Mark Print, Signage and Promotion",1
-122.46738697,37.70170308,Marchbank Park,1
-122.40468558,37.77270047,REI,1
-122.40316445,37.78838298,Downtown San Francisco,3
-122.40375102,37.789663,db shoes,1
-122.3941648,37.7960256,Gott’s Roadside,4
-122.44813651,37.7700008,Martin Mack's,1
-122.43327141,37.76659295,L'Ardoise,1
-122.41844118,37.78642736,Aria Korean-American Snack Bar,2
-122.41466369,37.78575588,The Laundry Room,1
-122.39948597,37.78550055,Thirsty Bear Brewing Company,5
-122.418565,37.63062,Spirit Store,1
-122.40631521,37.78200607,Off the Grid: 5M @ Fifth and Minna,5
-122.45048633,37.76953046,Haight Ashbury,1
-122.43493,37.761725,Slider's Diner,1
-122.45987892,37.79859436,Presidio Bowling Center,2
-122.4303669,37.7855547,Toraya Sushi Bar & Grill,1
-122.44631231,37.770183,Ambiance - Haight,1
-122.38397412,37.61699521,Baggage Claim Carousel 2,2
-122.39233553,37.78188099,Ozone Thai Restaurant & Lounge,3
-122.433267,37.771803,Danny Coyle's,2
-122.41528314,37.78657034,724 Hookah,1
-122.42223,37.79827,Crunch Fitness,10
-122.40622401,37.78436333,Century San Francisco Centre 9 & XD,9
-122.41716206,37.786173,Whiskey Thieves,1
-122.40006126,37.7883648,Dada,1
-122.43271479,37.78343922,Prime Dip,2
-122.49002867,37.742602,7-Eleven,6
-122.49483347,37.70828666,Olympic Club Golf Course,1
-122.40784394,37.71243349,Visitacion Valley Branch Library,1
-122.45777607,37.76330214,UCSF Medical Center,2
-122.39335,37.782639,Small Foods,3
-122.38989368,37.77824692,AT&T Park Club Level,4
-122.44132161,37.71556727,Vibo Music Center,1
-122.44839,37.806787,Heaven,1
-122.40963578,37.79226132,Tonga Room,1
-122.39897153,37.79118754,American Express,1
-122.4634758,37.76411322,Lavash,1
-122.45238551,37.7667222,The Land of Obese Felines,1
-122.40604162,37.78384186,Beard Papa's,2
-122.47684504,37.78057669,Na-Ya,2
-122.43713683,37.77247131,Thai Place II Restaurant,1
-122.42754975,37.79249781,Danielle Steel's House,1
-122.4125177,37.77850902,Soma Grand,1
-122.48143834,37.74279296,The Dog Pit,2
-122.42092441,37.78524087,STUDIOMIX,2
-122.441152,37.716867,Chevron,4
-122.397135,37.7932717,Salesforce.com,8
-122.39673165,37.79391512,Ziggy's Burgers,1
-122.38857508,37.77802483,Triple's Alley,2
-122.40313411,37.78716196,Dave's,1
-122.438777,37.800762,Blackwood,1
-122.40695342,37.77206194,Mercedes Benz of San Francisco,1
-122.46356148,37.77722083,Sushi Bistro,2
-122.42181,37.76554368,Art Zone 461,1
-122.41100774,37.79174796,Nob Hill,2
-122.38902513,37.78940121,Mozilla San Francisco Office,4
-122.50070045,37.73827314,Old Mandarin Islamic Restaurant 老北京,1
-122.418815,37.752404,Dance Mission Theater,2
-122.39684182,37.79517646,Eye Carumba Optometry,1
-122.39447972,37.78728059,Twilio HQ,4
-122.41803191,37.78570878,Woerner's Liquors,1
-122.42434463,37.761525,Delfina,2
-122.4474434,37.769842,Bettie Page Store,3
-122.41093397,37.75919691,Salumeria,2
-122.44588852,37.79856893,Final Final,1
-122.41040917,37.808732,Eagle Cafe,3
-122.46185324,37.78295285,Good Noodle Restaurant,1
-122.43505239,37.7713932,The Grind Cafe,3
-122.42439997,37.73634,Olivia's Brunch & Fine Dining,1
-122.411334,37.787059,Warwick Hotel,1
-122.421342,37.781406,Opera Plaza Cinema,1
-122.397454,37.787294,Eve Lounge,3
-122.42016453,37.75502068,City College of SF - Mission Campus,1
-122.41841076,37.77717566,Trinity Place,17
-122.41575627,37.80876696,The Chowder Hut,1
-122.41425991,37.78748786,Big,1
-122.432356,37.781561,1300 on Fillmore,2
-122.4351317,37.76132,Blush! Wine Bar,1
-122.4317,37.77206,Memphis Minnie's BBQ,5
-122.471973,37.68826935,In-N-Out Burger,19
-122.40957519,37.80100696,Park Tavern,2
-122.48273172,37.69882742,Home Depot,1
-122.40537643,37.78519853,Bazaarvoice,1
-122.38650978,37.616358,Super Shuttle SFO,1
-122.419043,37.759931,Dr. Teeth and the Electric Mayhem,4
-122.40923677,37.800229,Tony's Coal Fired Pizza & Slice House,1
-122.416777,37.801189,Michelangelo Playground & Community Garden,1
-122.448808,37.801998,TEDxPresidio,1
-122.38888682,37.7579737,Guido,1
-122.40547724,37.79792608,Naked Lunch,1
-122.481956,37.74271847,Marco Polo Italian Ice Cream,1
-122.4297369,37.74509989,Casa Clevenger,1
-122.40090759,37.78982183,Sutter Station,1
-122.40717032,37.784187,Lids,2
-122.477393,37.742904,Sushi Zen,4
-122.44738138,37.787193,JCC Fitness Center,2
-122.42314466,37.79427414,Jiffy Lube,2
-122.401931,37.754173,The Banana Stand,1
-122.466344,37.763698,Soi Gow Thai,1
-122.45675045,37.7656385,Circus Center,1
-122.42610991,37.77603201,Domo Sushi,3
-122.43513685,37.76157194,QBar,4
-122.40700722,37.78511374,SF State Graduate Business Programs - Downtown Campus,3
-122.45761844,37.76402352,UCSF Medical Center - 400 Parnassus,1
-122.51278023,37.779235,Louis' Restaurant,3
-122.423849,37.764882,Double Dutch,1
-122.40877613,37.77408896,Mr. S Leather & Mr. S Locker Room,1
-122.492701,37.781553,Garden House Cafe,1
-122.397569,37.759913,All States Best Foods,1
-122.39394,37.795388,Namu Street Stall,1
-122.467219,37.763955,Manna,1
-122.4230758,37.7774514,Welcome Stranger,1
-122.4039627,37.780531,Renaissance Entrepreneurship Center,1
-122.4089723,37.78712421,Handlery Union Square Hotel,3
-122.40018296,37.78701001,John Colins,2
-122.409693,37.78716445,Sushi Boat,1
-122.407235,37.79817137,Viva Restaurante,1
-122.411965,37.776488,Harvest Urban Market,4
-122.421787,37.7966,Bow Wow Meow,1
-122.4312222,37.80613905,Off the Grid: Fort Mason Center,5
