time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,10,0,"",""
Mon Sep 03 01:00:00 UTC 2012,4,0,"",""
Mon Sep 03 02:00:00 UTC 2012,5,0,"",""
Mon Sep 03 03:00:00 UTC 2012,3,0,"",""
Mon Sep 03 04:00:00 UTC 2012,5,0,"",""
Mon Sep 03 05:00:00 UTC 2012,0,0,"",""
Mon Sep 03 06:00:00 UTC 2012,0,0,"",""
Mon Sep 03 07:00:00 UTC 2012,1,0,"",""
Mon Sep 03 08:00:00 UTC 2012,4,1,Residences=1,Home (private)=1
Mon Sep 03 09:00:00 UTC 2012,10,0,"",""
Mon Sep 03 10:00:00 UTC 2012,3,0,"",""
Mon Sep 03 11:00:00 UTC 2012,8,1,Food=1,Coffee Shop=1
Mon Sep 03 12:00:00 UTC 2012,8,3,Shops & Services=1_Food=1_Professional & Other Places=1,Electronics Store=1_Japanese Restaurant=1_Office=1
Mon Sep 03 13:00:00 UTC 2012,8,1,Food=1,Fast Food Restaurant=1
Mon Sep 03 14:00:00 UTC 2012,2,0,"",""
Mon Sep 03 15:00:00 UTC 2012,0,0,"",""
Mon Sep 03 16:00:00 UTC 2012,22,1,Food=1,Vietnamese Restaurant=1
Mon Sep 03 17:00:00 UTC 2012,14,4,Outdoors & Recreation=3,Park=3
Mon Sep 03 18:00:00 UTC 2012,23,0,"",""
Mon Sep 03 19:00:00 UTC 2012,19,0,"",""
Mon Sep 03 20:00:00 UTC 2012,36,3,Food & Drink Shops=1_Shops & Services=1_Food=1_Arts & Entertainment=1,Grocery Store=1_Bowling Alley=1_Greek Restaurant=1
Mon Sep 03 21:00:00 UTC 2012,14,0,"",""
Mon Sep 03 22:00:00 UTC 2012,17,0,"",""
Mon Sep 03 23:00:00 UTC 2012,6,0,"",""
Tue Sep 04 00:00:00 UTC 2012,7,1,Food=1,Donut Shop=1
Tue Sep 04 01:00:00 UTC 2012,3,0,"",""
Tue Sep 04 02:00:00 UTC 2012,6,0,"",""
