time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,38,0,"",""
Mon Sep 03 01:00:00 UTC 2012,15,0,"",""
Mon Sep 03 02:00:00 UTC 2012,5,0,"",""
Mon Sep 03 03:00:00 UTC 2012,5,0,"",""
Mon Sep 03 04:00:00 UTC 2012,12,0,"",""
Mon Sep 03 05:00:00 UTC 2012,7,0,"",""
Mon Sep 03 06:00:00 UTC 2012,12,0,"",""
Mon Sep 03 07:00:00 UTC 2012,26,3,Professional & Other Places=2,Fast Food Restaurant=1_Building=1_Emergency Room=1
Mon Sep 03 08:00:00 UTC 2012,37,2,Shops & Services=1_Food=1,Electronics Store=1_Coffee Shop=1
Mon Sep 03 09:00:00 UTC 2012,21,1,Shops & Services=1,Gym / Fitness Center=1
Mon Sep 03 10:00:00 UTC 2012,32,3,Professional & Other Places=2,Grocery Store=1_Office=1_Tech Startup=1
Mon Sep 03 11:00:00 UTC 2012,27,2,Shops & Services=2,Electronics Store=1_Mobile Phone Shop=1_Harbor / Marina=1
Mon Sep 03 12:00:00 UTC 2012,38,4,Food=3,American Restaurant=2
Mon Sep 03 13:00:00 UTC 2012,17,2,Food=1,Mexican Restaurant=1
Mon Sep 03 14:00:00 UTC 2012,11,1,Food=1,Juice Bar=1
Mon Sep 03 15:00:00 UTC 2012,0,0,"",""
Mon Sep 03 16:00:00 UTC 2012,52,5,Movie Theaters=3_Arts & Entertainment=3,Multiplex=2
Mon Sep 03 17:00:00 UTC 2012,135,8,Food=5,Bakery=1_Lingerie Store=1_Sandwich Place=1_Burger Joint=1_Residential Building (Apartment / Condo)=1_Coffee Shop=1_Cupcake Shop=1_Spa / Massage=1
Mon Sep 03 18:00:00 UTC 2012,65,9,Food=4_Arts & Entertainment=4,Performing Arts Venue=2
Mon Sep 03 19:00:00 UTC 2012,44,5,Colleges & Universities=2,Multiplex=1_Road=1_College Track=1_College Residence Hall=1_Residential Building (Apartment / Condo)=1
Mon Sep 03 20:00:00 UTC 2012,57,3,Food=3,Dessert Shop=1_Burger Joint=1_American Restaurant=1
Mon Sep 03 21:00:00 UTC 2012,50,3,Nightlife Spots=1_Shops & Services=1_Professional & Other Places=1,Gym / Fitness Center=1_Bar=1_Post Office=1
Mon Sep 03 22:00:00 UTC 2012,49,0,"",""
Mon Sep 03 23:00:00 UTC 2012,24,1,Professional & Other Places=1,Office=1
Tue Sep 04 00:00:00 UTC 2012,17,0,"",""
Tue Sep 04 01:00:00 UTC 2012,7,0,"",""
Tue Sep 04 02:00:00 UTC 2012,2,0,"",""
Tue Sep 04 03:00:00 UTC 2012,14,1,Shops & Services=1_Food & Drink Shops=1,Grocery Store=1
Tue Sep 04 04:00:00 UTC 2012,6,0,"",""
Tue Sep 04 05:00:00 UTC 2012,6,0,"",""
Tue Sep 04 06:00:00 UTC 2012,14,0,"",""
Tue Sep 04 07:00:00 UTC 2012,17,5,Professional & Other Places=3,Building=1_College Lab=1_Café=1_Office=1_Tech Startup=1
Tue Sep 04 08:00:00 UTC 2012,34,2,Professional & Other Places=2,Parking=1_Tech Startup=1
Tue Sep 04 09:00:00 UTC 2012,20,4,Food=2,Bakery=1_Coffee Shop=1_Gym=1_Office=1
Tue Sep 04 10:00:00 UTC 2012,57,6,Professional & Other Places=3,Home (private)=1_Coffee Shop=1_Pool=1_Parking=1_Post Office=1_Office=1
Tue Sep 04 11:00:00 UTC 2012,50,3,Shops & Services=1_Food & Drink Shops=1_Professional & Other Places=1_Offices=1_Outdoors & Recreation=1,Park=1_Grocery Store=1_Tech Startup=1
Tue Sep 04 12:00:00 UTC 2012,61,10,Food=7,Office=2
Tue Sep 04 13:00:00 UTC 2012,44,5,Food=2,Mexican Restaurant=1_Burger Joint=1_University=1_Harbor / Marina=1_Paper / Office Supplies Store=1
Tue Sep 04 14:00:00 UTC 2012,43,6,Food=3,Mexican Restaurant=1_Residential Building (Apartment / Condo)=1_Café=1_Pet Store=1_Doctor's Office=1_American Restaurant=1
