time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,56,1,Hotels=1_Travel & Transport=1,Hostel=1
Mon Sep 03 01:00:00 UTC 2012,82,1,Hotels=1_Travel & Transport=1,Hostel=1
Mon Sep 03 02:00:00 UTC 2012,42,0,"",""
Mon Sep 03 03:00:00 UTC 2012,3,0,"",""
Mon Sep 03 04:00:00 UTC 2012,12,0,"",""
Mon Sep 03 05:00:00 UTC 2012,7,0,"",""
Mon Sep 03 06:00:00 UTC 2012,23,4,Travel & Transport=3,Residential Building (Apartment / Condo)=1_Bus Station=1_Train Station=1_Subway=1
Mon Sep 03 07:00:00 UTC 2012,14,2,Travel & Transport=1_Outdoors & Recreation=1,Plaza=1_Train Station=1
Mon Sep 03 08:00:00 UTC 2012,51,10,Professional & Other Places=4,Office=3
Mon Sep 03 09:00:00 UTC 2012,85,16,Professional & Other Places=10,Office=10
Mon Sep 03 10:00:00 UTC 2012,62,4,Professional & Other Places=1_Food=1_Travel & Transport=1,Turkish Restaurant=1_Hotel=1_Building=1
Mon Sep 03 11:00:00 UTC 2012,101,10,Professional & Other Places=3_Travel & Transport=3,Train Station=2
Mon Sep 03 12:00:00 UTC 2012,90,14,Food=4,Bakery=1_Temple=1_Other Great Outdoors=1_Indie Movie Theater=1_Light Rail=1_Office=1_Italian Restaurant=1_Plaza=1_Train Station=1_Pizza Place=1_Grocery Store=1_Housing Development=1_Greek Restaurant=1
Mon Sep 03 13:00:00 UTC 2012,90,9,Food=5,Miscellaneous Shop=2
Mon Sep 03 14:00:00 UTC 2012,65,12,Shops & Services=4,Beer Garden=2
Mon Sep 03 15:00:00 UTC 2012,56,5,Shops & Services=3,Beer Garden=1_Drugstore / Pharmacy=1_Internet Cafe=1_Plaza=1_Grocery Store=1
Mon Sep 03 16:00:00 UTC 2012,63,7,Shops & Services=4,Mall=1_Neighborhood=1_Boutique=1_Office=1_Electronics Store=1_Soccer Field=1_Gas Station / Garage=1
Mon Sep 03 17:00:00 UTC 2012,99,3,Outdoors & Recreation=2,Airport Terminal=1_Soccer Field=1_Field=1
Mon Sep 03 18:00:00 UTC 2012,89,12,Travel & Transport=4,Plaza=3
Mon Sep 03 19:00:00 UTC 2012,137,9,Travel & Transport=4,Hotel=2
Mon Sep 03 20:00:00 UTC 2012,119,5,Food=2,Coffee Shop=1_Skate Park=1_Cocktail Bar=1_Residential Building (Apartment / Condo)=1_Italian Restaurant=1
Mon Sep 03 21:00:00 UTC 2012,160,7,Travel & Transport=3,Movie Theater=1_Hotel=1_Park=1_Gay Bar=1_Road=1_Subway=1_Fast Food Restaurant=1
Mon Sep 03 22:00:00 UTC 2012,145,5,Food=3,Hotel=2
Mon Sep 03 23:00:00 UTC 2012,35,1,Travel & Transport=1,Hotel=1
Tue Sep 04 00:00:00 UTC 2012,0,0,"",""
Tue Sep 04 01:00:00 UTC 2012,88,3,Hotels=1_Professional & Other Places=1_Shops & Services=1_Travel & Transport=1,Office=1_Gas Station / Garage=1_Hostel=1
Tue Sep 04 02:00:00 UTC 2012,37,0,"",""
Tue Sep 04 03:00:00 UTC 2012,7,0,"",""
Tue Sep 04 04:00:00 UTC 2012,4,0,"",""
Tue Sep 04 05:00:00 UTC 2012,5,0,"",""
Tue Sep 04 06:00:00 UTC 2012,26,2,Travel & Transport=2,Train Station=1_Subway=1
Tue Sep 04 07:00:00 UTC 2012,27,0,"",""
Tue Sep 04 08:00:00 UTC 2012,64,14,Professional & Other Places=9,Office=8
Tue Sep 04 09:00:00 UTC 2012,88,10,Professional & Other Places=4,Office=4
Tue Sep 04 10:00:00 UTC 2012,106,8,Professional & Other Places=3,Office=3
Tue Sep 04 11:00:00 UTC 2012,94,4,Shops & Services=2,Automotive Shop=1_Internet Cafe=1_Train Station=1_Building=1
Tue Sep 04 12:00:00 UTC 2012,96,12,Food=5,Plaza=2_Train Station=2_Office=2
Tue Sep 04 13:00:00 UTC 2012,86,6,Professional & Other Places=3,Office=3
Tue Sep 04 14:00:00 UTC 2012,95,6,Professional & Other Places=1_Stadiums=1_Food=1_Shops & Services=1_Arts & Entertainment=1_Offices=1_Outdoors & Recreation=1,Electronics Store=1_Burger Joint=1_Tech Startup=1_Plaza=1_Soccer Stadium=1
Tue Sep 04 15:00:00 UTC 2012,110,7,Food=2,Café=1_Office=1_Asian Restaurant=1_Hotel=1_Grocery Store=1_Soccer Stadium=1
Tue Sep 04 16:00:00 UTC 2012,96,19,Travel & Transport=11,Train Station=10
Tue Sep 04 17:00:00 UTC 2012,80,9,Travel & Transport=5,Train Station=3
Tue Sep 04 18:00:00 UTC 2012,146,11,Travel & Transport=5,Hotel=2
Tue Sep 04 19:00:00 UTC 2012,113,8,Food=4,German Restaurant=2_Hotel=2
Tue Sep 04 20:00:00 UTC 2012,176,15,Food=9,Home (private)=2_Café=2_German Restaurant=2
Tue Sep 04 21:00:00 UTC 2012,137,3,Residences=1_Travel & Transport=1,Hotel=1_Home (private)=1_Residence=1
Tue Sep 04 22:00:00 UTC 2012,162,7,Travel & Transport=5,Hotel=3
Tue Sep 04 23:00:00 UTC 2012,167,7,Food=1_Residences=1_Arts & Entertainment=1_Travel & Transport=1_Outdoors & Recreation=1_Movie Theaters=1,Professional & Other Places=1_Other Great Outdoors=1_Indie Movie Theater=1_Hotel=1_Home (private)=1_Diner=1
