time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,25,0,"",""
Mon Sep 03 01:00:00 UTC 2012,25,0,"",""
Mon Sep 03 02:00:00 UTC 2012,24,0,"",""
Mon Sep 03 03:00:00 UTC 2012,27,0,"",""
Mon Sep 03 04:00:00 UTC 2012,28,1,Outdoors & Recreation=1,Field=1
Mon Sep 03 05:00:00 UTC 2012,18,0,"",""
Mon Sep 03 06:00:00 UTC 2012,16,0,"",""
Mon Sep 03 07:00:00 UTC 2012,16,0,"",""
Mon Sep 03 08:00:00 UTC 2012,21,1,Residences=1,Home (private)=1
Mon Sep 03 09:00:00 UTC 2012,27,2,Outdoors & Recreation=1_Travel & Transport=1,Bridge=1_Train Station=1
Mon Sep 03 10:00:00 UTC 2012,26,0,"",""
Mon Sep 03 11:00:00 UTC 2012,23,1,Travel & Transport=1,Hotel=1
Mon Sep 03 12:00:00 UTC 2012,25,1,Professional & Other Places=1,Building=1
Mon Sep 03 13:00:00 UTC 2012,22,0,"",""
Mon Sep 03 14:00:00 UTC 2012,25,0,"",""
Mon Sep 03 15:00:00 UTC 2012,25,0,"",""
Mon Sep 03 16:00:00 UTC 2012,28,1,Food=1,Deli / Bodega=1
Mon Sep 03 17:00:00 UTC 2012,21,0,"",""
Mon Sep 03 18:00:00 UTC 2012,23,0,"",""
Mon Sep 03 19:00:00 UTC 2012,20,1,Food=2,Sushi Restaurant=1_Asian Restaurant=1
Mon Sep 03 20:00:00 UTC 2012,22,0,"",""
Mon Sep 03 21:00:00 UTC 2012,29,0,"",""
Mon Sep 03 22:00:00 UTC 2012,28,0,"",""
Mon Sep 03 23:00:00 UTC 2012,11,0,"",""
Tue Sep 04 00:00:00 UTC 2012,0,0,"",""
Tue Sep 04 01:00:00 UTC 2012,23,0,"",""
Tue Sep 04 02:00:00 UTC 2012,23,0,"",""
Tue Sep 04 03:00:00 UTC 2012,23,0,"",""
Tue Sep 04 04:00:00 UTC 2012,25,0,"",""
Tue Sep 04 05:00:00 UTC 2012,25,0,"",""
Tue Sep 04 06:00:00 UTC 2012,19,1,Professional & Other Places=1_Offices=1,Tech Startup=1
Tue Sep 04 07:00:00 UTC 2012,19,1,Travel & Transport=1,Light Rail=1
Tue Sep 04 08:00:00 UTC 2012,21,1,Professional & Other Places=1,Building=1
Tue Sep 04 09:00:00 UTC 2012,25,0,"",""
Tue Sep 04 10:00:00 UTC 2012,24,0,"",""
Tue Sep 04 11:00:00 UTC 2012,28,2,Travel & Transport=1_Arts & Entertainment=1_Museums=1,History Museum=1_Train Station=1
Tue Sep 04 12:00:00 UTC 2012,31,1,Outdoors & Recreation=1,Bridge=1
Tue Sep 04 13:00:00 UTC 2012,22,2,Outdoors & Recreation=1_Arts & Entertainment=1,Historic Site=1_Park=1
Tue Sep 04 14:00:00 UTC 2012,28,3,Outdoors & Recreation=1_Food=1_Travel & Transport=1,Ice Cream Shop=1_Athletic & Sport=1_Train Station=1
Tue Sep 04 15:00:00 UTC 2012,24,2,Travel & Transport=1_Professional & Other Places=1_Schools=1,Hotel=1_Nursery School=1
Tue Sep 04 16:00:00 UTC 2012,23,1,Colleges & Universities=1,University=1
Tue Sep 04 17:00:00 UTC 2012,21,0,"",""
Tue Sep 04 18:00:00 UTC 2012,23,1,Nightlife Spots=1,Pub=1
Tue Sep 04 19:00:00 UTC 2012,16,0,"",""
Tue Sep 04 20:00:00 UTC 2012,23,1,Food=1,Restaurant=1
Tue Sep 04 21:00:00 UTC 2012,37,0,"",""
Tue Sep 04 22:00:00 UTC 2012,32,0,"",""
Tue Sep 04 23:00:00 UTC 2012,32,0,"",""
Wed Sep 05 00:00:00 UTC 2012,29,0,"",""
Wed Sep 05 01:00:00 UTC 2012,30,0,"",""
Wed Sep 05 02:00:00 UTC 2012,30,0,"",""
Wed Sep 05 03:00:00 UTC 2012,31,0,"",""
Wed Sep 05 04:00:00 UTC 2012,26,0,"",""
Wed Sep 05 05:00:00 UTC 2012,25,0,"",""
Wed Sep 05 06:00:00 UTC 2012,19,0,"",""
Wed Sep 05 07:00:00 UTC 2012,18,0,"",""
Wed Sep 05 08:00:00 UTC 2012,20,0,"",""
Wed Sep 05 09:00:00 UTC 2012,23,0,"",""
Wed Sep 05 10:00:00 UTC 2012,27,1,Colleges & Universities=1,University=1
Wed Sep 05 11:00:00 UTC 2012,28,1,Shops & Services=1,Bank=1
Wed Sep 05 12:00:00 UTC 2012,25,1,Outdoors & Recreation=1,Other Great Outdoors=1
Wed Sep 05 13:00:00 UTC 2012,18,0,"",""
Wed Sep 05 14:00:00 UTC 2012,28,1,Colleges & Universities=1,University=1
Wed Sep 05 15:00:00 UTC 2012,25,0,"",""
Wed Sep 05 16:00:00 UTC 2012,24,0,"",""
Wed Sep 05 17:00:00 UTC 2012,23,0,"",""
Wed Sep 05 18:00:00 UTC 2012,25,0,"",""
Wed Sep 05 19:00:00 UTC 2012,24,0,"",""
Wed Sep 05 20:00:00 UTC 2012,26,0,"",""
Wed Sep 05 21:00:00 UTC 2012,29,0,"",""
Wed Sep 05 22:00:00 UTC 2012,44,0,"",""
Wed Sep 05 23:00:00 UTC 2012,0,0,"",""
Thu Sep 06 00:00:00 UTC 2012,0,0,"",""
Thu Sep 06 01:00:00 UTC 2012,16,0,"",""
Thu Sep 06 02:00:00 UTC 2012,31,0,"",""
Thu Sep 06 03:00:00 UTC 2012,30,0,"",""
Thu Sep 06 04:00:00 UTC 2012,27,0,"",""
Thu Sep 06 05:00:00 UTC 2012,26,0,"",""
Thu Sep 06 06:00:00 UTC 2012,17,0,"",""
Thu Sep 06 07:00:00 UTC 2012,17,0,"",""
Thu Sep 06 08:00:00 UTC 2012,19,1,Travel & Transport=1,Train Station=1
Thu Sep 06 09:00:00 UTC 2012,21,0,"",""
Thu Sep 06 10:00:00 UTC 2012,27,2,Outdoors & Recreation=1,Other Great Outdoors=1
Thu Sep 06 11:00:00 UTC 2012,23,0,"",""
Thu Sep 06 12:00:00 UTC 2012,29,2,Colleges & Universities=1_Travel & Transport=1,General College & University=1_Train Station=1
Thu Sep 06 13:00:00 UTC 2012,24,1,Outdoors & Recreation=1,Park=1
Thu Sep 06 14:00:00 UTC 2012,29,1,Arts & Entertainment=1,Historic Site=1
Thu Sep 06 15:00:00 UTC 2012,30,2,Travel & Transport=1_Hotels=1_Shops & Services=1,Bed & Breakfast=1_Salon / Barbershop=1
Thu Sep 06 16:00:00 UTC 2012,32,3,Outdoors & Recreation=1_Food=1_Travel & Transport=1,Light Rail=1_Coffee Shop=1_Bridge=1
Thu Sep 06 17:00:00 UTC 2012,23,0,"",""
Thu Sep 06 18:00:00 UTC 2012,26,0,"",""
Thu Sep 06 19:00:00 UTC 2012,23,0,"",""
Thu Sep 06 20:00:00 UTC 2012,25,1,Gyms or Fitness Centers=1_Shops & Services=1,Gym Pool=1
Thu Sep 06 21:00:00 UTC 2012,32,1,Nightlife Spots=1,Bar=1
Thu Sep 06 22:00:00 UTC 2012,28,0,"",""
Thu Sep 06 23:00:00 UTC 2012,32,0,"",""
Fri Sep 07 00:00:00 UTC 2012,29,0,"",""
Fri Sep 07 01:00:00 UTC 2012,24,0,"",""
Fri Sep 07 02:00:00 UTC 2012,26,0,"",""
Fri Sep 07 03:00:00 UTC 2012,28,0,"",""
Fri Sep 07 04:00:00 UTC 2012,27,0,"",""
Fri Sep 07 05:00:00 UTC 2012,22,0,"",""
Fri Sep 07 06:00:00 UTC 2012,18,0,"",""
Fri Sep 07 07:00:00 UTC 2012,17,0,"",""
Fri Sep 07 08:00:00 UTC 2012,19,0,"",""
Fri Sep 07 09:00:00 UTC 2012,28,0,"",""
Fri Sep 07 10:00:00 UTC 2012,24,1,Colleges & Universities=2,College Library=1_College Lab=1
Fri Sep 07 11:00:00 UTC 2012,27,2,Colleges & Universities=2,University=2
Fri Sep 07 12:00:00 UTC 2012,33,0,"",""
Fri Sep 07 13:00:00 UTC 2012,23,0,"",""
Fri Sep 07 14:00:00 UTC 2012,26,1,Travel & Transport=1,Train Station=1
Fri Sep 07 15:00:00 UTC 2012,30,0,"",""
