time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,343,26,Nightlife Spots=12,Bar=6
Mon Sep 03 01:00:00 UTC 2012,303,14,Nightlife Spots=6,Bar=3
Mon Sep 03 02:00:00 UTC 2012,151,3,Food=2,Coffee Shop=1_Diner=1_Nightclub=1
Mon Sep 03 03:00:00 UTC 2012,130,2,Nightlife Spots=2,Nightclub=2
Mon Sep 03 04:00:00 UTC 2012,222,0,"",""
Mon Sep 03 05:00:00 UTC 2012,135,3,Travel & Transport=3,Airport=3
Mon Sep 03 06:00:00 UTC 2012,274,5,Travel & Transport=4,Airport=4
Mon Sep 03 07:00:00 UTC 2012,428,9,Travel & Transport=6,Airport=4
Mon Sep 03 08:00:00 UTC 2012,538,8,Travel & Transport=2_Food=2,Airport=2_Café=2
Mon Sep 03 09:00:00 UTC 2012,609,21,Travel & Transport=9,Airport=6
Mon Sep 03 10:00:00 UTC 2012,621,25,Food=10,Breakfast Spot=2_Burger Joint=2_Airport=2_Baseball Stadium=2
Mon Sep 03 11:00:00 UTC 2012,824,31,Food=9,Airport=3
Mon Sep 03 12:00:00 UTC 2012,808,49,Food=21,Baseball Stadium=6
Mon Sep 03 13:00:00 UTC 2012,951,84,Food=31,Baseball Stadium=17
Mon Sep 03 14:00:00 UTC 2012,354,22,Food=7,Park=5
Mon Sep 03 15:00:00 UTC 2012,0,0,"",""
Mon Sep 03 16:00:00 UTC 2012,1172,55,Shops & Services=16,Airport=8
Mon Sep 03 17:00:00 UTC 2012,1539,66,Food=20,Airport=6
Mon Sep 03 18:00:00 UTC 2012,1450,48,Food=14,Airport=6
Mon Sep 03 19:00:00 UTC 2012,1256,49,Food=21,Airport=10
Mon Sep 03 20:00:00 UTC 2012,988,39,Travel & Transport=15,Airport=10
Mon Sep 03 21:00:00 UTC 2012,803,39,Food=14,Airport=5
Mon Sep 03 22:00:00 UTC 2012,581,18,Food=5_Travel & Transport=5,Home (private)=2_Cocktail Bar=2_Airport=2
Mon Sep 03 23:00:00 UTC 2012,508,15,Residences=4,Home (private)=3
Tue Sep 04 00:00:00 UTC 2012,312,9,Residences=3,Residential Building (Apartment / Condo)=3
Tue Sep 04 01:00:00 UTC 2012,179,5,Nightlife Spots=2,Sandwich Place=1_Dive Bar=1_Residential Building (Apartment / Condo)=1_Scenic Lookout=1_Bar=1
Tue Sep 04 02:00:00 UTC 2012,151,1,Travel & Transport=1,Airport=1
Tue Sep 04 03:00:00 UTC 2012,243,1,Travel & Transport=1_Airports=1,Plane=1
Tue Sep 04 04:00:00 UTC 2012,187,3,Arts & Entertainment=1_Stadiums=1_Travel & Transport=1_Residences=1,Baseball Stadium=1_Hotel=1_Residential Building (Apartment / Condo)=1
Tue Sep 04 05:00:00 UTC 2012,206,3,Residences=1_Travel & Transport=1_Outdoors & Recreation=1,Airport=1_Home (private)=1_Plaza=1
Tue Sep 04 06:00:00 UTC 2012,303,9,Travel & Transport=6,Airport=3
Tue Sep 04 07:00:00 UTC 2012,393,25,Food=10,Coffee Shop=9
Tue Sep 04 08:00:00 UTC 2012,597,25,Professional & Other Places=9,Tech Startup=4
Tue Sep 04 09:00:00 UTC 2012,699,42,Professional & Other Places=15,Office=9
Tue Sep 04 10:00:00 UTC 2012,794,42,Professional & Other Places=12,Coffee Shop=4_Airport=4
Tue Sep 04 11:00:00 UTC 2012,693,29,Food=10,Airport=3
Tue Sep 04 12:00:00 UTC 2012,954,65,Food=33,Food Truck=8
Tue Sep 04 13:00:00 UTC 2012,927,41,Food=16,Coffee Shop=5
Tue Sep 04 14:00:00 UTC 2012,1041,42,Food=14,Coffee Shop=4
Tue Sep 04 15:00:00 UTC 2012,1085,36,Food=14,Airport=4
Tue Sep 04 16:00:00 UTC 2012,1225,26,Food=8,Plaza=2_Coffee Shop=2
Tue Sep 04 17:00:00 UTC 2012,1281,49,Food=11,Office=4_Plaza=4
Tue Sep 04 18:00:00 UTC 2012,1404,83,Food=18,Baseball Stadium=7
Tue Sep 04 19:00:00 UTC 2012,1112,85,Arts & Entertainment=30,Baseball Stadium=23
Tue Sep 04 20:00:00 UTC 2012,1256,65,Food=26,Rock Club=5
