time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Mon Sep 03 00:00:00 UTC 2012,0,0,0,2,0,"","","",""
Mon Sep 03 00:30:00 UTC 2012,0,0,30,8,0,"","","",""
Mon Sep 03 01:00:00 UTC 2012,0,1,60,4,0,"","","",""
Mon Sep 03 01:30:00 UTC 2012,0,1,90,0,0,"","","",""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,4,0,"","","",""
Mon Sep 03 02:30:00 UTC 2012,0,2,150,1,0,"","","",""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,0,0,"","","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,3,0,"","","",""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,4,0,"","","",""
Mon Sep 03 04:30:00 UTC 2012,0,4,270,1,0,"","","",""
Mon Sep 03 05:00:00 UTC 2012,0,5,300,0,0,"","","",""
Mon Sep 03 05:30:00 UTC 2012,0,5,330,0,0,"","","",""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,0,0,"","","",""
Mon Sep 03 06:30:00 UTC 2012,0,6,390,0,0,"","","",""
Mon Sep 03 07:00:00 UTC 2012,0,7,420,1,0,"","","",""
Mon Sep 03 07:30:00 UTC 2012,0,7,450,0,0,"","","",""
Mon Sep 03 08:00:00 UTC 2012,0,8,480,3,1,Residences=1,Home (private)=1,Sunny View Retirement Community=1,Home (private)=37.31969261 -122.06669965
Mon Sep 03 08:30:00 UTC 2012,0,8,510,1,0,"","","",""
Mon Sep 03 09:00:00 UTC 2012,0,9,540,8,0,"","","",""
Mon Sep 03 09:30:00 UTC 2012,0,9,570,2,0,"","","",""
Mon Sep 03 10:00:00 UTC 2012,0,10,600,1,0,"","","",""
Mon Sep 03 10:30:00 UTC 2012,0,10,630,2,0,"","","",""
Mon Sep 03 11:00:00 UTC 2012,0,11,660,3,1,Food=1,Coffee Shop=1,Starbucks=1,Coffee Shop=37.32199665 -122.03273177
Mon Sep 03 11:30:00 UTC 2012,0,11,690,5,0,"","","",""
Mon Sep 03 12:00:00 UTC 2012,0,12,720,6,2,Professional & Other Places=1_Shops & Services=1,Office=1_Electronics Store=1,Apple Company Store=1_Apple Inc.=1,Electronics Store=37.33143672 -122.03050554_Office=37.331653 -122.03072304
Mon Sep 03 12:30:00 UTC 2012,0,12,750,2,1,Food=1,Japanese Restaurant=1,Curry House=1,Japanese Restaurant=37.31801975 -122.03208296
Mon Sep 03 13:00:00 UTC 2012,0,13,780,3,1,Food=1,Fast Food Restaurant=1,Burger King=1,Fast Food Restaurant=37.30919459 -121.99378783
Mon Sep 03 13:30:00 UTC 2012,0,13,810,5,0,"","","",""
Mon Sep 03 14:00:00 UTC 2012,0,14,840,2,0,"","","",""
Mon Sep 03 14:30:00 UTC 2012,0,14,870,0,0,"","","",""
Mon Sep 03 15:00:00 UTC 2012,0,15,900,0,0,"","","",""
Mon Sep 03 15:30:00 UTC 2012,0,15,930,0,0,"","","",""
Mon Sep 03 16:00:00 UTC 2012,0,16,960,6,0,"","","",""
Mon Sep 03 16:30:00 UTC 2012,0,16,990,16,1,Food=1,Vietnamese Restaurant=1,Pho Minh=1,Vietnamese Restaurant=37.324392 -122.03320202
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,6,3,Outdoors & Recreation=3,Park=3,Fremont Older Open Space Preserve=2_Stevens Creek County Park=1,Park=37.28618471 -122.05528777
Mon Sep 03 17:30:00 UTC 2012,0,17,1050,8,1,Food=1,Japanese Restaurant=1,Benihana=1,Japanese Restaurant=37.32720526 -122.01355934
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,9,0,"","","",""
Mon Sep 03 18:30:00 UTC 2012,0,18,1110,14,0,"","","",""
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,11,0,"","","",""
Mon Sep 03 19:30:00 UTC 2012,0,19,1170,8,0,"","","",""
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,14,2,Food & Drink Shops=1_Shops & Services=1_Food=1,Grocery Store=1_Greek Restaurant=1,Trader Joe's=1_Yiassoo=1,Greek Restaurant=37.31345714 -122.031988_Grocery Store=37.31193247 -122.03116536
Mon Sep 03 20:30:00 UTC 2012,0,20,1230,22,1,Arts & Entertainment=1,Bowling Alley=1,Homestead Lanes=1,Bowling Alley=37.33634683 -122.04026987
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,13,0,"","","",""
Mon Sep 03 21:30:00 UTC 2012,0,21,1290,1,0,"","","",""
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,5,0,"","","",""
Mon Sep 03 22:30:00 UTC 2012,0,22,1350,12,0,"","","",""
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,2,0,"","","",""
Mon Sep 03 23:30:00 UTC 2012,0,23,1410,4,0,"","","",""
