time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Mon Sep 03 00:00:00 UTC 2012,0,0,0,1228,5,Residences=2_Travel & Transport=3,Train Station=2_Home (private)=1_Hotel=1_Residential Building (Apartment / Condo)=1,Jumeirah Carlton Tower=1_St Pancras Intl. Station (STP) - Domestic Lines=1_Chiltern Court=1_Kieron's and Kasia's pad=1_Harrow-on-the-Hill Railway Station (HOH)=1,Residential Building (Apartment / Condo)=51.52248385 -0.15616742_Train Station=51.53120029 -0.12634277_Home (private)=51.37303704 -0.21639354_Hotel=51.49841772 -0.15851466
Mon Sep 03 00:30:00 UTC 2012,0,0,30,990,5,Nightlife Spots=1_Travel & Transport=1,Hotel=1_Hookah Bar=1,Rntne=1_BatBed=1_Sky Line=1_The Knightsbridge Green Hotel=1_Castlebarbarians=1,Hookah Bar=51.534478 -0.18743375_Hotel=51.50172246 -0.16228353
Mon Sep 03 01:00:00 UTC 2012,0,1,60,795,2,Nightlife Spots=1_Travel & Transport=1,Hotel=1_Other Nightlife=1,Charing Cross Random Toilet=1_Thistle=1,Other Nightlife=51.508962 -0.126063_Hotel=51.5141856 -0.15653017
Mon Sep 03 01:30:00 UTC 2012,0,1,90,607,2,Residences=1_Food=1,Home (private)=1_Café=1,Bishop's Mead=1_Non Coffee=1,Café=51.534387 -0.187628_Home (private)=51.4781806 -0.09967731
Mon Sep 03 02:00:00 UTC 2012,0,2,120,481,1,Residences=1,Housing Development=1,Моя Кроватка=1,Housing Development=51.570551 -0.14239
Mon Sep 03 02:30:00 UTC 2012,0,2,150,484,3,Travel & Transport=2_Outdoors & Recreation=1,Hotel=2_Other Great Outdoors=1,Oxford Street=1_Holiday Inn=1_Grand at Trafalgar Square=1,Hotel=51.5167738 -0.14954505_Other Great Outdoors=51.51525388 -0.14162614
Mon Sep 03 03:00:00 UTC 2012,0,3,180,376,0,"","","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,277,2,Food=1_Arts & Entertainment=1,Coffee Shop=1_Music Venue=1,Starbucks=1_O2 Shepherd's Bush Empire=1,Music Venue=51.50348857 -0.22417635_Coffee Shop=51.532024 -0.1258576
Mon Sep 03 04:00:00 UTC 2012,0,4,240,258,3,Travel & Transport=2_Food=1,Fast Food Restaurant=1_Train Station=1_Bus Station=1,London King's Cross Railway Station (KGX)=1_McDonald's=1_Victoria Coach Station=1,Bus Station=51.49235274 -0.14904499_Train Station=51.53077313 -0.12338161_Fast Food Restaurant=51.53073683 -0.12252843
Mon Sep 03 04:30:00 UTC 2012,0,4,270,198,3,Food=1_Travel & Transport=2,Hotel=1_Bagel Shop=1_Train Station=1,St Pancras Intl. Station (STP) - International Lines=1_Bagel King=1_Hilton Croydon=1,Train Station=51.53074643 -0.12578487_Bagel Shop=51.487256 -0.09531038_Hotel=51.3575926 -0.11531353
Mon Sep 03 05:00:00 UTC 2012,0,5,300,211,3,Food=1_Shops & Services=1_Arts & Entertainment=1,General Entertainment=1_Gas Station / Garage=1_Coffee Shop=1,Hurst Road Shell Garage=1_London 2012 Olympic Park=1_AMT Coffee=1,Coffee Shop=51.376284 -0.092676_Gas Station / Garage=51.40794 -0.36845307_General Entertainment=51.5396358 -0.01317501
Mon Sep 03 05:30:00 UTC 2012,0,5,330,210,4,Airports=1_Shops & Services=1_Travel & Transport=3,Airport=1_Airport Terminal=1_Train Station=1_Gym / Fitness Center=1,Terminal 1=1_London Heathrow Airport (LHR)=1_Platform 4=1_Fitness First=1,Gym / Fitness Center=51.43689527 -0.12730837_Train Station=51.37571841 -0.09261131_Airport Terminal=51.47257572 -0.45104027_Airport=51.47170693 -0.45790672
Mon Sep 03 06:00:00 UTC 2012,0,6,360,315,6,Train Stations=1_Travel & Transport=5,Hotel=1_Airport=1_Light Rail=1_Train=1_Train Station=1,Straker ECO Carpet & Rug Care=1_Penge West Railway Station (PNW)=1_Rembrandt Hotel=1_London Heathrow Airport (LHR)=1_Heathrow Express Train - Heathrow [HXX] to Paddington [PAD]=1_Wimbledon Tram Stop=1,Train Station=51.41742205 -0.06074667_Train=51.472295 -0.45167_Light Rail=51.421635 -0.20544_Airport=51.47170693 -0.45790672_Hotel=51.4960764 -0.1704016
Mon Sep 03 06:30:00 UTC 2012,0,6,390,419,18,Gyms or Fitness Centers=2_Residences=3_Shops & Services=2_Travel & Transport=7_Outdoors & Recreation=2_Professional & Other Places=2,Train Station=2_Office=2_Gym=2_Airport=2_Train=1_Airport Terminal=1_Plaza=1_Home (private)=1,"London Heathrow Airport (LHR)=2_Terminal 5=1_Chez Gray=1_Oxford Tube=1_Clapham Junction Station, Brighton Yard Entrance=1_Cannon Street Railway Station (CST)=1_Starbucks=1_Piccadilly Circus=1_Buckingham Gate=1_Shepherd's Bush Railway Station (SPB)=1_John Orwell Sports Centre=1_Bicycle Mews=1_Carolyn House=1_London 2012 Olympic Village=1_Hyde Park=1_37 Degrees Health & Fitness=1_Occupy Old Street Magistrates=1",Train Station=51.50545697 -0.217731_Home (private)=51.46761002 -0.15834771_Train=51.46348222 -0.17006349_Plaza=51.50998803 -0.13450143_Gym=51.50432283 -0.06152745_Airport Terminal=51.47149308 -0.4883337_Airport=51.47170693 -0.45790672_Office=51.37645242 -0.09528072
Mon Sep 03 07:00:00 UTC 2012,0,7,420,507,12,Residences=1_Movie Theaters=1_Airports=1_Shops & Services=2_Travel & Transport=5_Food=1_Professional & Other Places=1_Arts & Entertainment=2,Subway=2_General Entertainment=1_Multiplex=1_Building=1_Airport Lounge=1_Restaurant=1_Bank=1_Airport=1,London 2012 Olympic Park=1_Lee's Room=1_Giraffe=1_Morden Underground Station=1_London City Airport (LCY)=1_Digital Cinema Media Ltd=1_BA Galleries First Lounge=1_Halifax Bank=1_Greenhithe Railway Station (GNH)=1_Forward Internet Group=1_Chancery Lane Underground Station=1_Vodafone=1,Airport=51.50358708 0.04956722_Bank=51.50051685 -0.16248575_Airport Lounge=51.47037031 -0.48717499_General Entertainment=51.5396358 -0.01317501_Subway=51.51822697 -0.11157453_Restaurant=51.47272512 -0.487564_Multiplex=51.51154875 -0.13675986_Building=51.5379778 -0.13690636
Mon Sep 03 07:30:00 UTC 2012,0,7,450,717,21,Airports=2_Travel & Transport=11_Shops & Services=3_Professional & Other Places=5,Train Station=5_Office=4,Hayes Railway Station (HYS)=1_London King's Cross Railway Station (KGX)=1_BBC Television Centre=1_Green Park Underground Station=1_Blandford Hotel=1_Starbucks=1_London Victoria Railway Station (VIC)=1_London City Airport (LCY)=1_Terminal 5=1_Terminal 3=1_London Heathrow Airport (LHR)=1_Virgin Active Health Club=1_Raphael's=1_Intela=1_Pernod Ricard=1_Tesco Extra=1_Platform 9¾=1_Cochlear Europe Ltd=1_RBS=1_London Bridge Railway Station (LBG)=1_London Waterloo Railway Station (WAT)=1,Train Station=51.50489601 -0.0858736_Office=51.371687 -0.480039
Mon Sep 03 08:00:00 UTC 2012,0,8,480,912,45,Airports=4_Travel & Transport=16_Food=5_Shops & Services=3_Offices=3_Outdoors & Recreation=3_Professional & Other Places=11,Office=5_Train Station=5_Airport Terminal=4,Terminal 5=3_Virgin Train Crew Mess Room=2_Jimmy choo=1_Westfield London=1_Cutty Sark Halls of Residence (University of Greenwich)=1_Liverpool street platform 3=1_L.E.K. Consulting=1_Park View Cafe=1_Department of Coffee & Social Affairs=1_Manor House Underground Station=1_April Six=1_Tudor Lodge Hotel London=1_Claybury park=1_EHS 4D=1_Ealing Broadway Underground Station=1_Royal Mail Emma Street=1_Terminal 3=1_McDonald's - Heathrow Bath Road=1_London 2012 Olympic Park=1_Virgin Active=1_Pret A Manger=1_Friends Life=1_ExCeL London=1_Pauls Desk=1_West Byfleet Railway Station (WBY)=1_Paddington Railway Station (PAD)=1_Costa=1_London Heathrow Airport (LHR)=1_Oxford Street=1_West Ham DLR Station=1_Twickenham Green=1_Farringdon Railway Station (ZFD)=1_Olympic Park=1_Putney embankment=1_7thingsmedia=1_Palmers Green=1_Home ;)=1_Gunnersbury Railway Station (GUN)=1_Bazaarvoice=1_Euro Hotel Wembley London=1_Wolsey Place=1_Upper Warlingham Railway Station (UWL)=1,Train Station=51.5202932 -0.10490656_Airport Terminal=51.47066437 -0.45790672_Office=51.520396 -0.101588
Mon Sep 03 08:30:00 UTC 2012,0,8,510,1026,75,Food=8_Travel & Transport=28_Outdoors & Recreation=5_Professional & Other Places=21_Colleges & Universities=5,Office=14_Hotel=9,"Holiday Inn=3_London Heathrow Airport (LHR)=3_British Airways=2_Newham Dockside=2_LBBD CS Hq=2_London 2012 Olympic Park=2_The Colonies=2_Starbucks=2_McDonald's=2_Regent's College London=1_The Outside Organisation=1_Dartford Crossing Toll Booths=1_Eurocentres Lee Green - Language School=1_Sheraton Heathrow Hotel=1_Tudor Court Hotel London=1_LFC Evans Insurance Brokers=1_Google UK=1_OPEN London=1_Waterloo, Old Vic West Bus Stand=1_Ernst & Young LLP=1_Radisson Blu Edwardian Heathrow Hotel=1_Russell Square=1_Watford Junction Railway Station (WFJ)=1_Nokia UK HQ=1_Pickering Dental Surgery=1_wallacespace Covent Garden=1_The Heights=1_Telstra at Blue Fin Building=1_London 2012 Aquatics Centre=1_Terminal 1=1_Platform 14, Stratford Underground Station=1_Vauxhall Railway Station (VXH)=1_Star Alliance Lounge=1_Harrow & Wealdstone Railway Station (HRW)=1_Pearson=1_Hotel Russell=1_PrePay Solutions=1_Social Fuel HQ=1_Kaplan Angel Square=1_Shoreditch Grind=1_Summit Media=1_East Street Market=1_Hertz=1_Threepipe=1_Marylebone Railway Station (MYB)=1_Bell Weir Lock=1_Heathrow Express Train - Heathrow [HXX] to Paddington [PAD]=1_London Liverpool Street Railway Station (LST)=1_Olympic Viewing Platform=1_Bagelmania=1_Olympic Park=1_Flat Cap Coffee, Fleet St.=1_DoubleTree by Hilton Hotel=1_Tower Hill=1_Tapped & Packed No.114=1_Finnair: London --> Helsinki=1_Sofitel London Heathrow=1_London Waterloo Railway Station (WAT)=1_BBC Broadcasting House=1_Edinburgh House=1_Ann Summers=1_Bushey Railway Station (BSH)=1_Prosperity - HQ=1_LA fitness=1",Hotel=51.52256186 -0.12518676_Office=51.4935952 -0.14629841
Mon Sep 03 09:00:00 UTC 2012,0,9,540,1047,59,Food=12_Travel & Transport=13_Outdoors & Recreation=5_Arts & Entertainment=5_Professional & Other Places=19_Colleges & Universities=4,Office=11_Subway=5_Coffee Shop=5,"Starbucks=5_Olympic Stadium=3_London Euston Railway Station (EUS)=2_London 2012 Olympic Park=2_BlikBook.com=1_Green Park Underground Station=1_Spelthorne Leisure Centre=1_Claremont High School & Sixth Form!=1_Make Architects=1_Le Palmier=1_McDonald's=1_East Ham Depot and Carriage Sidings=1_London 2012 - Greenwich Park=1_Euston Underground Station=1_Leon=1_Knollys House=1_Facebook UK=1_Penna=1_Monkey Gate, Regent's Park=1_Partners Andrews Aldridge=1_SCOLA Sutton Centre=1_Oxford Circus Underground Station=1_Karma Towers=1_Stratford Railway Station (SRA)=1_Morden Underground Station=1_TfL Bus 93=1_Syniverse UK=1_Will Wyatt Court=1_47 Mark Lane=1_WDMP Limited=1_The Geek Squad Academy=1_ORM=1_Thistle Computers=1_ArcelorMittal Orbit=1_TBG London=1_International House=1_Dining Hall - Athletes Village=1_Everything Everywhere=1_South Oxhey=1_Fleet River Bakery=1_Tavistock Square=1_NYU in London Student Centre=1_Platform 8=1_Caffè Nero=1_Victoria Underground Station=1_Carat=1_London Waterloo Railway Station (WAT)=1_US Embassy=1_St Johns Way=1_Post Office=1_Queen Square=1",Coffee Shop=51.51247 -0.121845_Office=51.51519922 -0.10434866_Subway=51.52764943 -0.13346672
Mon Sep 03 09:30:00 UTC 2012,0,9,570,1164,71,Shops & Services=7_Travel & Transport=11_Food=12_Outdoors & Recreation=11_Arts & Entertainment=11_Professional & Other Places=12,Office=9_General Entertainment=5,"London 2012 Olympic Park=4_London 2012 Aquatics Centre=3_Pret A Manger=3_Olympic Stadium=3_Starbucks=2_Exchange Tower=2_HP=1_One Lombard=1_Purley Way Centre=1_St James's Park Underground Station=1_Colnbrook Village=1_The Front Page Newsagents=1_Trafalgar Square=1_William Barefoot Drive=1_Watching The Simpsons=1_St Pancras Intl. Station (STP) - Domestic Lines=1_Marriott=1_The Bus Stop Outside The Library=1_Indoors Watching Top Of The Pops=1_Google UK=1_Royal Opera House=1_Corinthia Hotel=1_Regents Park Broadwalk=1_Regent's Park (Baker Street entrance)=1_Stratford Railway Station (SRA)=1_Vizeum=1_Chalfont & Latimer Railway Station (CFO)=1_Christibor=1_VSOE Stewards Lane Depot=1_EAT.=1_Hackney Wick, Chapman Rd stand=1_Terminal 5=1_Eating A Sandwich=1_London Euston Railway Station (EUS)=1_The Co-operative Food=1_Calumet Photographic=1_Royal Geographical Society=1_Shell (Clacket Lane)=1_BA Galleries Lounge=1_MVMNT=1_Glam Media UK=1_Gordon Ramsay Plane Food=1_M25 Junction 7 / M23 Junction 8=1_Olympic Park=1_AmicusHorizon Ltd=1_The Land Of Nod=1_London 2012 Olympic Village=1_London 2012 Copper Box=1_Tandem Centre=1_Westfield Stratford City=1_Caffè Nero=1_Evently HQ=1_Hammersmith=1_Platform 9¾=1_Bruno's Cafe=1_London=1_The Breakfast Club=1_London School Of Theology=1_The Rabbit Agency=1_Whitehall Place=1",Office=51.49949318 -0.01546104_General Entertainment=51.5396358 -0.01317501
Mon Sep 03 10:00:00 UTC 2012,0,10,600,1222,55,Nightlife Spots=4_Food=6_Travel & Transport=15_Professional & Other Places=9_Arts & Entertainment=6_Outdoors & Recreation=4_Colleges & Universities=4,Office=8_Train Station=7,"London Heathrow Airport (LHR)=3_London Euston Railway Station (EUS)=2_Bank Of America Merrill Lynch=2_Old Post Office=2_London 2012 Aquatics Centre=2_Starbucks=2_Olympic Stadium=2_Javalin=1_Goldsmiths New Academic Building=1_Eltham Bakery=1_Pizza Hut=1_Moose Cycles=1_Tooting=1_The White House=1_Natural Lebanese Food=1_Paddington Express T3=1_Leicester Square Underground Station=1_Soho Hotel Screening Rooms=1_Gala Bingo Tooting=1_Studios2let=1_Kingston University (Kingston Hill Campus)=1_Nestoria HQ=1_The Colliers Tup=1_The Swarm=1_Prescott Green=1_EAT.=1_Warehouse Court, Royal Arsenal Riverside=1_London Youth=1_St George's Hospital=1_Terminal 1=1_Elop=1_SMWLDN 2012 HQ=1_Notonthehighstreet=1_Paddington Railway Station (PAD)=1_Rising Sun=1_London 2012 Olympic Park=1_Stratford International Railway Station (SFA)=1_Platform 7 (Heathrow Express)=1_High Street Colliers Wood=1_WHSmith=1_EF International Language Centres=1_Financial Times=1_London 2012 venue - North Greenwich Arena=1_London Overground Euston=1_Westminster Business School=1_Ealing Broadway Railway Station (EAL)=1_Prezzo=1",Train Station=51.52855719 -0.13290882_Office=51.50744699 -0.09432793
