time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Mon Sep 03 00:00:00 UTC 2012,0,0,0,14,0,"","","",""
Mon Sep 03 00:30:00 UTC 2012,0,0,30,42,1,Hotels=1_Travel & Transport=1,Hostel=1,Wombat's Hostel München=1,Hostel=48.13880006 11.56023502
Mon Sep 03 01:00:00 UTC 2012,0,1,60,42,1,Hotels=1_Travel & Transport=1,Hostel=1,Smart Stay Hostel=1,Hostel=48.129962 11.557174
Mon Sep 03 01:30:00 UTC 2012,0,1,90,40,0,"","","",""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,35,0,"","","",""
Mon Sep 03 02:30:00 UTC 2012,0,2,150,7,0,"","","",""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,1,0,"","","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,2,0,"","","",""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,3,0,"","","",""
Mon Sep 03 04:30:00 UTC 2012,0,4,270,9,0,"","","",""
Mon Sep 03 05:00:00 UTC 2012,0,5,300,4,0,"","","",""
Mon Sep 03 05:30:00 UTC 2012,0,5,330,3,0,"","","",""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,13,2,Residences=1_Travel & Transport=1,Bus Station=1_Residential Building (Apartment / Condo)=1,H Emdenstraße=1_Wolkerweg 11a=1,Residential Building (Apartment / Condo)=48.121684 11.486804_Bus Station=48.10732373 11.62770331
Mon Sep 03 06:30:00 UTC 2012,0,6,390,10,2,Travel & Transport=2,Subway=1_Train Station=1,Haderner Stern=1_München Hauptbahnhof=1,Train Station=48.14054699 11.55577183_Subway=48.118549 11.490322
Mon Sep 03 07:00:00 UTC 2012,0,7,420,5,2,Outdoors & Recreation=1_Travel & Transport=1,Train Station=1_Plaza=1,Margaretenkirche Treppe=1_München Hauptbahnhof=1,Plaza=48.12024658 11.53835045_Train Station=48.14054699 11.55577183
Mon Sep 03 07:30:00 UTC 2012,0,7,450,9,0,"","","",""
Mon Sep 03 08:00:00 UTC 2012,0,8,480,14,5,Outdoors & Recreation=1_Professional & Other Places=3,Office=2_Plaza=1_Building=1,Blutspendedienst München=1_Jürgens Social Homeoffice=1_Turner House=1_Moosacher Stachus=1_Linde AG=1,Building=48.15073633 11.5583127_Plaza=48.18109706 11.51123112_Office=48.16144822 11.58586621
