time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Mon Sep 03 00:00:00 UTC 2012,0,0,0,13,0,"","","",""
Mon Sep 03 00:30:00 UTC 2012,0,0,30,12,0,"","","",""
Mon Sep 03 01:00:00 UTC 2012,0,1,60,15,0,"","","",""
Mon Sep 03 01:30:00 UTC 2012,0,1,90,10,0,"","","",""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,13,0,"","","",""
Mon Sep 03 02:30:00 UTC 2012,0,2,150,11,0,"","","",""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,16,0,"","","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,11,0,"","","",""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,16,1,Outdoors & Recreation=1,Field=1,Lustgarten Potsdam=1,Field=52.39301812 13.05768013
Mon Sep 03 04:30:00 UTC 2012,0,4,270,12,0,"","","",""
Mon Sep 03 05:00:00 UTC 2012,0,5,300,7,0,"","","",""
Mon Sep 03 05:30:00 UTC 2012,0,5,330,11,0,"","","",""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,9,0,"","","",""
Mon Sep 03 06:30:00 UTC 2012,0,6,390,7,0,"","","",""
Mon Sep 03 07:00:00 UTC 2012,0,7,420,8,0,"","","",""
Mon Sep 03 07:30:00 UTC 2012,0,7,450,8,0,"","","",""
Mon Sep 03 08:00:00 UTC 2012,0,8,480,9,0,"","","",""
Mon Sep 03 08:30:00 UTC 2012,0,8,510,12,1,Residences=1,Home (private)=1,Dr_Lange HomeOffice=1,Home (private)=52.47425426 13.00632428
Mon Sep 03 09:00:00 UTC 2012,0,9,540,14,2,Outdoors & Recreation=1_Travel & Transport=1,Train Station=1_Bridge=1,Bhf. Park Sanssouci=1_Nedlitzer Nordbrücke=1,Bridge=52.44142434 13.04834068_Train Station=52.39419109 13.01458903
Mon Sep 03 09:30:00 UTC 2012,0,9,570,13,0,"","","",""
Mon Sep 03 10:00:00 UTC 2012,0,10,600,13,0,"","","",""
Mon Sep 03 10:30:00 UTC 2012,0,10,630,13,0,"","","",""
Mon Sep 03 11:00:00 UTC 2012,0,11,660,12,0,"","","",""
Mon Sep 03 11:30:00 UTC 2012,0,11,690,11,1,Travel & Transport=1,Hotel=1,Kongresshotel Potsdam am Templiner See=1,Hotel=52.37575242 13.01426221
Mon Sep 03 12:00:00 UTC 2012,0,12,720,13,1,Professional & Other Places=1,Building=1,IHK Potsdam=1,Building=52.39507389 13.05444002
Mon Sep 03 12:30:00 UTC 2012,0,12,750,12,0,"","","",""
Mon Sep 03 13:00:00 UTC 2012,0,13,780,9,0,"","","",""
Mon Sep 03 13:30:00 UTC 2012,0,13,810,13,0,"","","",""
Mon Sep 03 14:00:00 UTC 2012,0,14,840,13,0,"","","",""
Mon Sep 03 14:30:00 UTC 2012,0,14,870,12,0,"","","",""
Mon Sep 03 15:00:00 UTC 2012,0,15,900,13,0,"","","",""
Mon Sep 03 15:30:00 UTC 2012,0,15,930,12,0,"","","",""
Mon Sep 03 16:00:00 UTC 2012,0,16,960,15,1,Food=1,Deli / Bodega=1,Gusto=1,Deli / Bodega=52.402059 13.057837
Mon Sep 03 16:30:00 UTC 2012,0,16,990,13,0,"","","",""
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,11,0,"","","",""
Mon Sep 03 17:30:00 UTC 2012,0,17,1050,10,0,"","","",""
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,16,0,"","","",""
Mon Sep 03 18:30:00 UTC 2012,0,18,1110,7,0,"","","",""
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,9,0,"","","",""
Mon Sep 03 19:30:00 UTC 2012,0,19,1170,11,1,Food=2,Sushi Restaurant=1_Asian Restaurant=1,My Keng=1,Asian Restaurant=52.400345 13.054087_Sushi Restaurant=52.400345 13.054087
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,12,0,"","","",""
Mon Sep 03 20:30:00 UTC 2012,0,20,1230,10,0,"","","",""
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,16,0,"","","",""
Mon Sep 03 21:30:00 UTC 2012,0,21,1290,13,0,"","","",""
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,16,0,"","","",""
Mon Sep 03 22:30:00 UTC 2012,0,22,1350,12,0,"","","",""
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,11,0,"","","",""
Mon Sep 03 23:30:00 UTC 2012,0,23,1410,0,0,"","","",""
Tue Sep 04 00:00:00 UTC 2012,1,0,0,0,0,"","","",""
Tue Sep 04 00:30:00 UTC 2012,1,0,30,0,0,"","","",""
Tue Sep 04 01:00:00 UTC 2012,1,1,60,13,0,"","","",""
Tue Sep 04 01:30:00 UTC 2012,1,1,90,10,0,"","","",""
Tue Sep 04 02:00:00 UTC 2012,1,2,120,13,0,"","","",""
Tue Sep 04 02:30:00 UTC 2012,1,2,150,10,0,"","","",""
Tue Sep 04 03:00:00 UTC 2012,1,3,180,14,0,"","","",""
Tue Sep 04 03:30:00 UTC 2012,1,3,210,9,0,"","","",""
Tue Sep 04 04:00:00 UTC 2012,1,4,240,16,0,"","","",""
Tue Sep 04 04:30:00 UTC 2012,1,4,270,9,0,"","","",""
Tue Sep 04 05:00:00 UTC 2012,1,5,300,13,0,"","","",""
Tue Sep 04 05:30:00 UTC 2012,1,5,330,12,0,"","","",""
Tue Sep 04 06:00:00 UTC 2012,1,6,360,9,1,Professional & Other Places=1_Offices=1,Tech Startup=1,d.velop Portal Systems=1,Tech Startup=52.37379976 13.12770356
Tue Sep 04 06:30:00 UTC 2012,1,6,390,10,0,"","","",""
Tue Sep 04 07:00:00 UTC 2012,1,7,420,10,1,Travel & Transport=1,Light Rail=1,S-Bhf Griebnitzsee=1,Light Rail=52.39430135 13.12733173
Tue Sep 04 07:30:00 UTC 2012,1,7,450,9,0,"","","",""
Tue Sep 04 08:00:00 UTC 2012,1,8,480,10,0,"","","",""
Tue Sep 04 08:30:00 UTC 2012,1,8,510,11,1,Professional & Other Places=1,Building=1,IHK Potsdam=1,Building=52.39507389 13.05444002
Tue Sep 04 09:00:00 UTC 2012,1,9,540,12,0,"","","",""
Tue Sep 04 09:30:00 UTC 2012,1,9,570,13,0,"","","",""
Tue Sep 04 10:00:00 UTC 2012,1,10,600,13,0,"","","",""
Tue Sep 04 10:30:00 UTC 2012,1,10,630,11,0,"","","",""
Tue Sep 04 11:00:00 UTC 2012,1,11,660,13,1,Museums=1_Arts & Entertainment=1,History Museum=1,Haus der Wannsee-Konferenz | House of the Wannsee Conference=1,History Museum=52.43277434 13.16465735
Tue Sep 04 11:30:00 UTC 2012,1,11,690,15,1,Travel & Transport=1,Train Station=1,Potsdam Hauptbahnhof=1,Train Station=52.39149915 13.06627393
Tue Sep 04 12:00:00 UTC 2012,1,12,720,15,0,"","","",""
Tue Sep 04 12:30:00 UTC 2012,1,12,750,16,1,Outdoors & Recreation=1,Bridge=1,Glienicker Brücke=1,Bridge=52.41342752 13.09040308
Tue Sep 04 13:00:00 UTC 2012,1,13,780,8,1,Outdoors & Recreation=1,Park=1,Park Sanssouci=1,Park=52.40192139 13.03570747
Tue Sep 04 13:30:00 UTC 2012,1,13,810,14,1,Arts & Entertainment=1,Historic Site=1,Brandenburger Tor=1,Historic Site=52.39954518 13.04805636
Tue Sep 04 14:00:00 UTC 2012,1,14,840,13,2,Outdoors & Recreation=1_Travel & Transport=1,Train Station=1_Athletic & Sport=1,Bahnhofspassagen Potsdam=1_ReitTherapieZentrum=1,Athletic & Sport=52.425665 13.154533_Train Station=52.39229792 13.06407452
Tue Sep 04 14:30:00 UTC 2012,1,14,870,15,1,Food=1,Ice Cream Shop=1,Piazza Rossa=1,Ice Cream Shop=52.39254671 13.0667456
Tue Sep 04 15:00:00 UTC 2012,1,15,900,11,1,Travel & Transport=1,Hotel=1,Kongresshotel Potsdam am Templiner See=1,Hotel=52.37575242 13.01426221
Tue Sep 04 15:30:00 UTC 2012,1,15,930,13,1,Professional & Other Places=1_Schools=1,Nursery School=1,Kita Nuthewinkel=1,Nursery School=52.38378906 13.08222485
Tue Sep 04 16:00:00 UTC 2012,1,16,960,11,0,"","","",""
Tue Sep 04 16:30:00 UTC 2012,1,16,990,12,1,Colleges & Universities=1,University=1,Hasso-Plattner-Institut für Softwaresystemtechnik GmbH=1,University=52.39389275 13.13225555
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,9,0,"","","",""
Tue Sep 04 17:30:00 UTC 2012,1,17,1050,12,0,"","","",""
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,11,1,Nightlife Spots=1,Pub=1,Gleis 6=1,Pub=52.39140863 13.09131105
Tue Sep 04 18:30:00 UTC 2012,1,18,1110,12,0,"","","",""
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,7,0,"","","",""
Tue Sep 04 19:30:00 UTC 2012,1,19,1170,9,0,"","","",""
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,9,1,Food=1,Restaurant=1,Garage Du Pont=1,Restaurant=52.412861 13.086294
Tue Sep 04 20:30:00 UTC 2012,1,20,1230,14,0,"","","",""
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,12,0,"","","",""
Tue Sep 04 21:30:00 UTC 2012,1,21,1290,25,0,"","","",""
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,17,0,"","","",""
Tue Sep 04 22:30:00 UTC 2012,1,22,1350,15,0,"","","",""
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,18,0,"","","",""
Tue Sep 04 23:30:00 UTC 2012,1,23,1410,14,0,"","","",""
Wed Sep 05 00:00:00 UTC 2012,2,0,0,14,0,"","","",""
Wed Sep 05 00:30:00 UTC 2012,2,0,30,15,0,"","","",""
Wed Sep 05 01:00:00 UTC 2012,2,1,60,15,0,"","","",""
Wed Sep 05 01:30:00 UTC 2012,2,1,90,15,0,"","","",""
Wed Sep 05 02:00:00 UTC 2012,2,2,120,16,0,"","","",""
Wed Sep 05 02:30:00 UTC 2012,2,2,150,14,0,"","","",""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,16,0,"","","",""
Wed Sep 05 03:30:00 UTC 2012,2,3,210,15,0,"","","",""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,17,0,"","","",""
Wed Sep 05 04:30:00 UTC 2012,2,4,270,9,0,"","","",""
Wed Sep 05 05:00:00 UTC 2012,2,5,300,12,0,"","","",""
