time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Mon Sep 03 00:00:00 UTC 2012,0,0,0,1,0,"","","",""
Mon Sep 03 00:30:00 UTC 2012,0,0,30,1,0,"","","",""
Mon Sep 03 01:00:00 UTC 2012,0,1,60,0,0,"","","",""
Mon Sep 03 01:30:00 UTC 2012,0,1,90,1,0,"","","",""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,0,0,"","","",""
Mon Sep 03 02:30:00 UTC 2012,0,2,150,1,0,"","","",""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,1,0,"","","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,0,0,"","","",""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,0,0,"","","",""
Mon Sep 03 04:30:00 UTC 2012,0,4,270,1,0,"","","",""
Mon Sep 03 05:00:00 UTC 2012,0,5,300,0,0,"","","",""
Mon Sep 03 05:30:00 UTC 2012,0,5,330,0,0,"","","",""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,0,0,"","","",""
Mon Sep 03 06:30:00 UTC 2012,0,6,390,1,0,"","","",""
Mon Sep 03 07:00:00 UTC 2012,0,7,420,0,0,"","","",""
Mon Sep 03 07:30:00 UTC 2012,0,7,450,1,0,"","","",""
Mon Sep 03 08:00:00 UTC 2012,0,8,480,0,0,"","","",""
Mon Sep 03 08:30:00 UTC 2012,0,8,510,0,0,"","","",""
Mon Sep 03 09:00:00 UTC 2012,0,9,540,1,1,Professional & Other Places=1,Office=1,Cubeware GmbH=1,Office=47.8403533 12.11410046
Mon Sep 03 09:30:00 UTC 2012,0,9,570,0,0,"","","",""
Mon Sep 03 10:00:00 UTC 2012,0,10,600,0,0,"","","",""
Mon Sep 03 10:30:00 UTC 2012,0,10,630,0,0,"","","",""
Mon Sep 03 11:00:00 UTC 2012,0,11,660,0,0,"","","",""
Mon Sep 03 11:30:00 UTC 2012,0,11,690,0,0,"","","",""
Mon Sep 03 12:00:00 UTC 2012,0,12,720,0,0,"","","",""
Mon Sep 03 12:30:00 UTC 2012,0,12,750,0,0,"","","",""
Mon Sep 03 13:00:00 UTC 2012,0,13,780,1,1,Shops & Services=1,Clothing Store=1,Modepark Röther=1,Clothing Store=47.84886613 12.12757039
