time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Mon Sep 03 00:00:00 UTC 2012,0,0,0,173,15,Food=2_Shops & Services=1_Travel & Transport=3_Residences=3_Arts & Entertainment=1_Food & Drink Shops=1_Nightlife Spots=5,Bar=3_Home (private)=2,Sunny Market=1_Craig Leg Pete's Captain Quarters=1_San Francisco International Airport (SFO)=1_Churchill=1_Irish Bank=1_Bigfoot Lodge=1_W San Francisco=1_Casanova Cocktail Lounge=1_Nopa=1_2 Townsend St.=1_Montgomery St. BART Station=1_Bloodhound=1_America's Cup World Series AC Village=1_Deddy's home=1_Tipsy Pig=1,Home (private)=37.71558001 -122.46370798_Bar=37.79308583 -122.42110491
Mon Sep 03 00:30:00 UTC 2012,0,0,30,170,11,Food=1_Travel & Transport=2_Residences=1_Nightlife Spots=7,Bar=3_Wine Bar=1_Cocktail Bar=1_Airport=1_Residential Building (Apartment / Condo)=1_Gay Bar=1_Nightclub=1_Pizza Place=1,"Blue Light=1_The Ritz-Carlton, San Francisco=1_1015 Folsom=1_San Francisco International Airport (SFO)=1_Nizario's Pizza=1_Park Merced Apartments 350=1_Marengo=1_Rye=1_The Café=1_Hi Fi Lounge=1_City Tavern=1",Pizza Place=37.764426 -122.422008_Nightclub=37.77815048 -122.40571994_Gay Bar=37.76296712 -122.4343577_Airport=37.61642405 -122.38627911_Wine Bar=37.797744 -122.43195_Cocktail Bar=37.786556 -122.414502_Residential Building (Apartment / Condo)=37.72032049 -122.48322917_Bar=37.79754015 -122.43173599
Mon Sep 03 01:00:00 UTC 2012,0,1,60,185,10,Food=1_Travel & Transport=2_Residences=2_Colleges & Universities=2_Nightlife Spots=3,Hotel=2_College Residence Hall=1_University=1_Wine Bar=1_Residential Building (Apartment / Condo)=1_Nightclub=1_Pizza Place=1_Bar=1,Comfort Inn & Suites San Francisco Airport North=2_University Park South=1_The Penthouse Penthouse=1_San Francisco State University=1_Professor Lupin's Hideout=1_The Knockout=1_Powell Street Pizza & Pasta=1_Mighty=1_The Trap=1,Hotel=37.65469447 -122.40421541_Pizza Place=37.78703706 -122.40813156_Nightclub=37.76743309 -122.4065607_Wine Bar=37.74100709 -122.47719328_College Residence Hall=37.72088172 -122.4821949_Residential Building (Apartment / Condo)=37.62669152 -122.40743463_University=37.72214431 -122.47747527_Bar=37.74520137 -122.4200893
Mon Sep 03 01:30:00 UTC 2012,0,1,90,118,4,Shops & Services=1_Food & Drink Shops=1_Nightlife Spots=3,Bar=2_Grocery Store=1_Cocktail Bar=1,Golden Eagle Market=1_Rye=1_Vertigo=1_Buckshot Bar & Gameroom=1,Cocktail Bar=37.786556 -122.414502_Grocery Store=37.75857177 -122.4213945_Bar=37.781298 -122.460825
Mon Sep 03 02:00:00 UTC 2012,0,2,120,89,3,Food=2_Nightlife Spots=1,Coffee Shop=1_Diner=1_Nightclub=1,Starbucks=1_Mel's Drive-In=1_Infusion Lounge=1,Nightclub=37.78543595 -122.40846634_Diner=37.79947603 -122.4373886_Coffee Shop=37.786405 -122.453316
Mon Sep 03 02:30:00 UTC 2012,0,2,150,62,0,"","","",""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,58,0,"","","",""
Mon Sep 03 03:30:00 UTC 2012,0,3,210,72,2,Nightlife Spots=2,Nightclub=2,1015 Folsom=2,Nightclub=37.77815048 -122.40571994
Mon Sep 03 04:00:00 UTC 2012,0,4,240,105,0,"","","",""
Mon Sep 03 04:30:00 UTC 2012,0,4,270,117,0,"","","",""
