time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,2217,10,Residences=2_Nightlife Spots=1,Hotel=2_Residential Building (Apartment / Condo)=1_Hookah Bar=1
Mon Sep 03 01:00:00 UTC 2012,1401,4,Travel & Transport=1_Food=1_Nightlife Spots=1,Other Nightlife=1_Hotel=1_Home (private)=1
Mon Sep 03 02:00:00 UTC 2012,964,4,Residences=1_Outdoors & Recreation=1,Housing Development=1_Other Great Outdoors=1
Mon Sep 03 03:00:00 UTC 2012,652,2,Food=1,Music Venue=1
Mon Sep 03 04:00:00 UTC 2012,456,6,Food=2,Fast Food Restaurant=1_Hotel=1_Bus Station=1
Mon Sep 03 05:00:00 UTC 2012,420,7,Shops & Services=2_Arts & Entertainment=1_Food=1,General Entertainment=1_Train Station=1_Gas Station / Garage=1
Mon Sep 03 06:00:00 UTC 2012,733,24,Residences=3_Shops & Services=2_Gyms or Fitness Centers=2,Train Station=3_Train=2_Gym=2
Mon Sep 03 07:00:00 UTC 2012,1224,33,Professional & Other Places=6_Shops & Services=5_Arts & Entertainment=3,Office=4_Airport=3_Subway=3
Mon Sep 03 08:00:00 UTC 2012,1938,120,Professional & Other Places=32_Food=13_Outdoors & Recreation=8,Train Station=12_Hotel=10_Coffee Shop=8
Mon Sep 03 09:00:00 UTC 2012,2210,130,Travel & Transport=24_Food=24_Outdoors & Recreation=16,Train Station=8_General Entertainment=7_Stadium=7
Mon Sep 03 10:00:00 UTC 2012,2492,115,Professional & Other Places=24_Arts & Entertainment=14_Food=9,Train Station=9_Stadium=7_Pub=5
Mon Sep 03 11:00:00 UTC 2012,2949,110,Professional & Other Places=23_Shops & Services=16_Outdoors & Recreation=13,Airport Terminal=6_Train Station=5_Mall=4
Mon Sep 03 12:00:00 UTC 2012,2828,131,Food=25_Professional & Other Places=20_Arts & Entertainment=19,Stadium=7_Office=6_Airport Terminal=5
Mon Sep 03 13:00:00 UTC 2012,2974,132,Shops & Services=23_Travel & Transport=19_Outdoors & Recreation=18,Pub=8_Office=6_Park=6
Mon Sep 03 14:00:00 UTC 2012,3068,126,Outdoors & Recreation=20_Travel & Transport=20_Shops & Services=18,Train Station=6_Park=6_Café=6
Mon Sep 03 15:00:00 UTC 2012,3005,122,Travel & Transport=21_Food=19_Professional & Other Places=16,Mall=6_Coffee Shop=5_Stadium=4
Mon Sep 03 16:00:00 UTC 2012,2946,59,Travel & Transport=11_Arts & Entertainment=10_Food=7,Mall=3_Airport Terminal=3_Monument / Landmark=2
Mon Sep 03 17:00:00 UTC 2012,3103,110,Shops & Services=19_Arts & Entertainment=18_Nightlife Spots=14,General Entertainment=11_Train Station=11_Subway=6
Mon Sep 03 18:00:00 UTC 2012,3175,117,Food=22_Travel & Transport=21_Shops & Services=13,General Entertainment=9_Subway=6_Bar=5
Mon Sep 03 19:00:00 UTC 2012,3535,106,Arts & Entertainment=24_Food=17_Outdoors & Recreation=14,Train Station=8_Airport=5_Theater=4
Mon Sep 03 20:00:00 UTC 2012,4052,90,Travel & Transport=21_Arts & Entertainment=11_Nightlife Spots=10,Train Station=5_Bar=5_Pub=4
Mon Sep 03 21:00:00 UTC 2012,4480,74,Travel & Transport=13_Nightlife Spots=10_Shops & Services=9,Bar=6_Restaurant=5_Home (private)=4
Mon Sep 03 22:00:00 UTC 2012,1364,13,Food=2_Outdoors & Recreation=2_Nightlife Spots=2,Train=1_Residential Building (Apartment / Condo)=1_Basketball Stadium=1
Mon Sep 03 23:00:00 UTC 2012,0,0,"",""
Tue Sep 04 00:00:00 UTC 2012,2679,13,Nightlife Spots=3_Residences=3_Shops & Services=1,Nightclub=2_Home (private)=2_Music Venue=1
Tue Sep 04 01:00:00 UTC 2012,1868,10,Outdoors & Recreation=2_Residences=2_Shops & Services=1,Road=2_Hiking Trail=1_Hardware Store=1
Tue Sep 04 02:00:00 UTC 2012,1172,7,Travel & Transport=2_Residences=1_Train Stations=1,Platform=1_Hotel=1_Fast Food Restaurant=1
Tue Sep 04 03:00:00 UTC 2012,746,0,"",""
Tue Sep 04 04:00:00 UTC 2012,669,5,Travel & Transport=1_Outdoors & Recreation=1_Airports=1,Park=1_Airport Terminal=1
Tue Sep 04 05:00:00 UTC 2012,510,17,Shops & Services=2_Residences=1_Food=1,Light Rail=2_Fast Food Restaurant=1_Subway=1
