time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,38,0,"",""
Mon Sep 03 01:00:00 UTC 2012,15,0,"",""
Mon Sep 03 02:00:00 UTC 2012,5,0,"",""
Mon Sep 03 03:00:00 UTC 2012,5,0,"",""
Mon Sep 03 04:00:00 UTC 2012,12,0,"",""
Mon Sep 03 05:00:00 UTC 2012,7,0,"",""
Mon Sep 03 06:00:00 UTC 2012,12,0,"",""
Mon Sep 03 07:00:00 UTC 2012,26,3,Medical Centers=1_Food=1,Emergency Room=1_Fast Food Restaurant=1
Mon Sep 03 08:00:00 UTC 2012,37,2,Shops & Services=1,Coffee Shop=1
Mon Sep 03 09:00:00 UTC 2012,21,1,"",""
Mon Sep 03 10:00:00 UTC 2012,32,3,Offices=1_Food & Drink Shops=1_Shops & Services=1,Tech Startup=1_Grocery Store=1
Mon Sep 03 11:00:00 UTC 2012,27,2,Outdoors & Recreation=1,Harbor / Marina=1_Mobile Phone Shop=1
Mon Sep 03 12:00:00 UTC 2012,38,4,Residences=1,Coffee Shop=1_Home (private)=1
Mon Sep 03 13:00:00 UTC 2012,17,2,"",""
Mon Sep 03 14:00:00 UTC 2012,11,1,"",""
Mon Sep 03 15:00:00 UTC 2012,0,0,"",""
Mon Sep 03 16:00:00 UTC 2012,52,5,Arts & Entertainment=3_Food=1_Shops & Services=1,Indie Movie Theater=1_Ice Cream Shop=1_Sporting Goods Shop=1
Mon Sep 03 17:00:00 UTC 2012,135,8,Shops & Services=2_Clothing Stores=1_Residences=1,Sandwich Place=1_Bakery=1_Residential Building (Apartment / Condo)=1
Mon Sep 03 18:00:00 UTC 2012,65,9,Food=4_Professional & Other Places=1_Travel & Transport=1,Bakery=1_Concert Hall=1_Pool=1
Mon Sep 03 19:00:00 UTC 2012,44,5,Movie Theaters=1_College Stadiums=1_Travel & Transport=1,Residential Building (Apartment / Condo)=1_Multiplex=1_College Track=1
Mon Sep 03 20:00:00 UTC 2012,57,3,"",Dessert Shop=1_Burger Joint=1
Mon Sep 03 21:00:00 UTC 2012,50,3,Professional & Other Places=1_Shops & Services=1,Post Office=1_Gym / Fitness Center=1
Mon Sep 03 22:00:00 UTC 2012,49,0,"",""
Mon Sep 03 23:00:00 UTC 2012,24,1,"",""
Tue Sep 04 00:00:00 UTC 2012,17,0,"",""
Tue Sep 04 01:00:00 UTC 2012,7,0,"",""
Tue Sep 04 02:00:00 UTC 2012,2,0,"",""
Tue Sep 04 03:00:00 UTC 2012,14,1,Shops & Services=1,""
Tue Sep 04 04:00:00 UTC 2012,6,0,"",""
Tue Sep 04 05:00:00 UTC 2012,6,0,"",""
Tue Sep 04 06:00:00 UTC 2012,14,0,"",""
Tue Sep 04 07:00:00 UTC 2012,17,5,Offices=1_Food=1_Colleges & Universities=1,College Lab=1_Building=1_Office=1
Tue Sep 04 08:00:00 UTC 2012,34,2,Offices=1,Parking=1
Tue Sep 04 09:00:00 UTC 2012,20,4,Professional & Other Places=1_Gyms or Fitness Centers=1_Shops & Services=1,Bakery=1_Office=1_Coffee Shop=1
Tue Sep 04 10:00:00 UTC 2012,57,6,Outdoors & Recreation=1_Food=1_Residences=1,Pool=1_Office=1_Coffee Shop=1
Tue Sep 04 11:00:00 UTC 2012,50,3,Outdoors & Recreation=1_Professional & Other Places=1_Food & Drink Shops=1,Grocery Store=1_Park=1
Tue Sep 04 12:00:00 UTC 2012,61,10,Professional & Other Places=3_Shops & Services=1,Asian Restaurant=1_Bakery=1_Building=1
Tue Sep 04 13:00:00 UTC 2012,44,5,Outdoors & Recreation=1_Colleges & Universities=1_Shops & Services=1,Paper / Office Supplies Store=1_University=1_Burger Joint=1
Tue Sep 04 14:00:00 UTC 2012,43,6,Residences=1_Medical Centers=1_Professional & Other Places=1,American Restaurant=1_Doctor's Office=1_Residential Building (Apartment / Condo)=1
Tue Sep 04 15:00:00 UTC 2012,61,9,Offices=2_Food=2_Shops & Services=1,Office=2_Post Office=1_Car Wash=1
