time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,3021,115,Arts & Entertainment=18_Travel & Transport=15_Food=15,Nightclub=9_Music Venue=7_Hotel=5
Mon Sep 03 01:00:00 UTC 2012,3059,102,Food=18_Travel & Transport=14_Arts & Entertainment=13,Nightclub=8_Music Venue=7_Train Station=5
Mon Sep 03 02:00:00 UTC 2012,2072,64,Food=14_Residences=5_Travel & Transport=4,Nightclub=6_Gay Bar=4_Residential Building (Apartment / Condo)=3
Mon Sep 03 03:00:00 UTC 2012,1310,49,Residences=10_Shops & Services=8_Food=8,Residential Building (Apartment / Condo)=4_Nightclub=4_Deli / Bodega=3
Mon Sep 03 04:00:00 UTC 2012,780,24,Residences=4_Nightlife Spots=3_Shops & Services=2,Office=2_Airport=1_Performing Arts Venue=1
Mon Sep 03 05:00:00 UTC 2012,571,26,Food=7_Professional & Other Places=3_Arts & Entertainment=3,Building=2_Subway=2_Deli / Bodega=2
Mon Sep 03 06:00:00 UTC 2012,485,19,Gyms or Fitness Centers=3_Professional & Other Places=3_Shops & Services=3,Gym=3_Building=2_Train Station=2
Mon Sep 03 07:00:00 UTC 2012,663,49,Travel & Transport=12_Professional & Other Places=6_Outdoors & Recreation=6,Deli / Bodega=4_Chinese Restaurant=3_Coffee Shop=3
Mon Sep 03 08:00:00 UTC 2012,1101,53,Food=13_Shops & Services=8_Professional & Other Places=6,Coffee Shop=4_Donut Shop=3_Gym=3
Mon Sep 03 09:00:00 UTC 2012,1697,119,Travel & Transport=21_Shops & Services=21_Outdoors & Recreation=16,Coffee Shop=6_Neighborhood=6_Airport=5
Mon Sep 03 10:00:00 UTC 2012,2369,169,Food=37_Shops & Services=24_Outdoors & Recreation=22,Airport=10_Tennis=8_Home (private)=7
Mon Sep 03 11:00:00 UTC 2012,2614,138,Shops & Services=28_Outdoors & Recreation=21_Arts & Entertainment=17,Coffee Shop=7_Other Great Outdoors=6_Gym=5
Mon Sep 03 12:00:00 UTC 2012,2858,283,Shops & Services=59_Travel & Transport=39_Outdoors & Recreation=36,Airport=13_Coffee Shop=12_Tennis=12
Mon Sep 03 13:00:00 UTC 2012,2956,262,Shops & Services=48_Arts & Entertainment=34_Travel & Transport=28,Tennis=9_American Restaurant=8_Park=7
Mon Sep 03 14:00:00 UTC 2012,2753,268,Shops & Services=63_Travel & Transport=35_Arts & Entertainment=31,Park=11_Coffee Shop=10_Airport=10
Mon Sep 03 15:00:00 UTC 2012,2892,271,Shops & Services=57_Travel & Transport=43_Arts & Entertainment=30,Park=11_Grocery Store=9_Train Station=9
Mon Sep 03 16:00:00 UTC 2012,3123,273,Shops & Services=55_Outdoors & Recreation=33_Travel & Transport=32,Park=9_Bar=9_Coffee Shop=8
Mon Sep 03 17:00:00 UTC 2012,939,89,Arts & Entertainment=16_Shops & Services=15_Travel & Transport=13,General Entertainment=4_Bar=4_Mexican Restaurant=3
Mon Sep 03 18:00:00 UTC 2012,0,0,"",""
Mon Sep 03 19:00:00 UTC 2012,3142,220,Arts & Entertainment=28_Shops & Services=26_Travel & Transport=24,Tennis=13_Bar=11_American Restaurant=9
Mon Sep 03 20:00:00 UTC 2012,4065,226,Travel & Transport=44_Nightlife Spots=25_Shops & Services=18,Airport=12_Bar=9_Subway=7
Mon Sep 03 21:00:00 UTC 2012,3539,176,Travel & Transport=35_Outdoors & Recreation=22_Nightlife Spots=19,Park=8_Train Station=7_Home (private)=7
