time,count,fsq_count,CategorieParents,Categories
Mon Sep 03 00:00:00 UTC 2012,343,26,Travel & Transport=5_Residences=4_Food=3,Home (private)=2_Hotel=2_Airport=2
Mon Sep 03 01:00:00 UTC 2012,303,14,Colleges & Universities=2_Residences=2_Travel & Transport=2,Hotel=2_Pizza Place=1_Wine Bar=1
Mon Sep 03 02:00:00 UTC 2012,151,3,Nightlife Spots=1,Nightclub=1_Coffee Shop=1
Mon Sep 03 03:00:00 UTC 2012,130,2,"",""
Mon Sep 03 04:00:00 UTC 2012,222,0,"",""
Mon Sep 03 05:00:00 UTC 2012,135,3,"",""
Mon Sep 03 06:00:00 UTC 2012,274,5,Shops & Services=1_Gyms or Fitness Centers=1,Gym=1
Mon Sep 03 07:00:00 UTC 2012,428,9,Food=2_Ferries=1_Professional & Other Places=1,Sandwich Place=1_Boat or Ferry=1_Coffee Shop=1
Mon Sep 03 08:00:00 UTC 2012,538,8,Food=2_Outdoors & Recreation=1_Offices=1,Airport=2_Tech Startup=1_Home (private)=1
Mon Sep 03 09:00:00 UTC 2012,609,21,Food=6_Shops & Services=4_Gyms or Fitness Centers=2,Café=3_Coffee Shop=2_Gym=2
Mon Sep 03 10:00:00 UTC 2012,621,25,Outdoors & Recreation=6_Travel & Transport=4_Shops & Services=3,Baseball Stadium=2_Airport=2_Burger Joint=2
Mon Sep 03 11:00:00 UTC 2012,824,31,Outdoors & Recreation=6_Shops & Services=5_Travel & Transport=4,Breakfast Spot=2_Burger Joint=2_Gym / Fitness Center=1
Mon Sep 03 12:00:00 UTC 2012,808,49,Arts & Entertainment=8_Shops & Services=8_Stadiums=6,Airport=5_Vietnamese Restaurant=4_Department Store=3
Mon Sep 03 13:00:00 UTC 2012,951,84,Arts & Entertainment=23_Stadiums=17_Shops & Services=10,Airport=5_Park=4_Café=4
Mon Sep 03 14:00:00 UTC 2012,354,22,Outdoors & Recreation=6_Stadiums=4_Arts & Entertainment=4,Baseball Stadium=4_Mall=2_Residential Building (Apartment / Condo)=1
Mon Sep 03 15:00:00 UTC 2012,0,0,"",""
Mon Sep 03 16:00:00 UTC 2012,1172,55,Travel & Transport=13_Food=11_Outdoors & Recreation=10,Department Store=5_Park=5_Hotel=2
Mon Sep 03 17:00:00 UTC 2012,1539,66,Travel & Transport=12_Outdoors & Recreation=9_Shops & Services=8,Park=5_Indie Movie Theater=3_Brewery=3
Mon Sep 03 18:00:00 UTC 2012,1450,48,Travel & Transport=9_Nightlife Spots=9_Shops & Services=8,Bar=3_Neighborhood=3_American Restaurant=3
Mon Sep 03 19:00:00 UTC 2012,1256,49,Travel & Transport=13_Shops & Services=8_Outdoors & Recreation=3,Chinese Restaurant=3_Grocery Store=3_Mexican Restaurant=2
Mon Sep 03 20:00:00 UTC 2012,988,39,Food=9_Arts & Entertainment=6_Nightlife Spots=3,Bar=2_Rock Club=2_Home (private)=2
