time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Mon Sep 03 00:00:00 UTC 2012,0,0,0,41,1,Travel & Transport=1,Hotel=1,Margrit=1
Mon Sep 03 00:30:00 UTC 2012,0,0,30,41,0,"","",""
Mon Sep 03 01:00:00 UTC 2012,0,1,60,37,2,Arts & Entertainment=1_Offices=1_Professional & Other Places=1,Tech Startup=1_Historic Site=1,Mobile Event Guide=1_Checkpoint Charlie=1
Mon Sep 03 01:30:00 UTC 2012,0,1,90,16,1,Museums=1_Arts & Entertainment=1,History Museum=1,Topographie des Terrors=1
Mon Sep 03 02:00:00 UTC 2012,0,2,120,25,7,Outdoors & Recreation=4_Nightlife Spots=1_Museums=1_Shops & Services=1_Arts & Entertainment=1,Beach=1_Park=1_History Museum=1_Field=1_Karaoke Bar=1_Flea Market=1_Plaza=1,Sonntagskaraoke im Mauerpark=1_Gedenkstätte Berliner Mauer | Berlin Wall Memorial=1_Potsdamer Platz=1_Lustgarten Potsdam=1_Strandbad Wannsee=1_Treptower Park=1_Flohmarkt am Mauerpark=1
Mon Sep 03 02:30:00 UTC 2012,0,2,150,27,3,Travel & Transport=1_Museums=1_Shops & Services=1_Arts & Entertainment=1,Mall=1_Train Station=1_History Museum=1,Potsdamer Platz Arkaden=1_Jüdisches Museum | Jewish Museum=1_S+U Friedrichstraße=1
Mon Sep 03 03:00:00 UTC 2012,0,3,180,15,1,Arts & Entertainment=1,Concert Hall=1,Philharmonie Berlin=1
Mon Sep 03 03:30:00 UTC 2012,0,3,210,29,1,Travel & Transport=1,Airport=1,Berlin Tegel Airport (TXL)=1
Mon Sep 03 04:00:00 UTC 2012,0,4,240,36,1,Residences=1,Home (private)=1,Regensburger Strasse 5a=1
Mon Sep 03 04:30:00 UTC 2012,0,4,270,38,3,Train Stations=1_Travel & Transport=1_Medical Centers=1_Professional & Other Places=1,Hospital=1_Platform=1,U-Bahn Stadtmitte=1_Vivantes Klinikum im Friedrichshain=1_Boschen & Oetting=1
Mon Sep 03 05:00:00 UTC 2012,0,5,300,45,1,Travel & Transport=1_Airports=1,Airport Gate=1,Gate 08=1
Mon Sep 03 05:30:00 UTC 2012,0,5,330,56,10,Travel & Transport=5_Spiritual Centers=1_Shops & Services=1_Food=1_Professional & Other Places=3,Airport=4_Church=1_Train Station=1_Bank=1_Office=1_Bakery=1_Event Space=1,Berlin Tegel Airport (TXL)=2_Startbahn=1_S-Bhf. Raoul-Wallenberg-Str. | S7=1_m-Computers Consulting GmbH=1_Intel Ultrabook AppLab=1_Evangelisches Johannesstift=1_Bäckerei 2000=1_Berlin-Schönefeld Airport (SXF)=1_Postbank Finanzcenter=1
