time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Mon Sep 03 00:00:00 UTC 2012,0,0,0,795,2,Travel & Transport=1_Nightlife Spots=1,Other Nightlife=1_Hotel=1,Charing Cross Random Toilet=1_Thistle=1
Mon Sep 03 00:30:00 UTC 2012,0,0,30,607,2,Food=1_Residences=1,Café=1_Home (private)=1,Bishop's Mead=1_Non Coffee=1
Mon Sep 03 01:00:00 UTC 2012,0,1,60,481,1,Residences=1,Housing Development=1,Моя Кроватка=1
Mon Sep 03 01:30:00 UTC 2012,0,1,90,484,3,Travel & Transport=2_Outdoors & Recreation=1,Hotel=2_Other Great Outdoors=1,Oxford Street=1_Grand at Trafalgar Square=1_Holiday Inn=1
Mon Sep 03 02:00:00 UTC 2012,0,2,120,376,0,"","",""
Mon Sep 03 02:30:00 UTC 2012,0,2,150,277,2,Arts & Entertainment=1_Food=1,Coffee Shop=1_Music Venue=1,O2 Shepherd's Bush Empire=1_Starbucks=1
Mon Sep 03 03:00:00 UTC 2012,0,3,180,258,3,Travel & Transport=2_Food=1,Bus Station=1_Fast Food Restaurant=1_Train Station=1,McDonald's=1_London King's Cross Railway Station (KGX)=1_Victoria Coach Station=1
Mon Sep 03 03:30:00 UTC 2012,0,3,210,198,3,Travel & Transport=2_Food=1,Train Station=1_Bagel Shop=1_Hotel=1,St Pancras Intl. Station (STP) - International Lines=1_Hilton Croydon=1_Bagel King=1
Mon Sep 03 04:00:00 UTC 2012,0,4,240,211,3,Arts & Entertainment=1_Shops & Services=1_Food=1,Coffee Shop=1_Gas Station / Garage=1_General Entertainment=1,London 2012 Olympic Park=1_Hurst Road Shell Garage=1_AMT Coffee=1
Mon Sep 03 04:30:00 UTC 2012,0,4,270,210,4,Shops & Services=1_Airports=1_Travel & Transport=3,Airport Terminal=1_Airport=1_Train Station=1_Gym / Fitness Center=1,Fitness First=1_Platform 4=1_London Heathrow Airport (LHR)=1_Terminal 1=1
Mon Sep 03 05:00:00 UTC 2012,0,5,300,315,6,Travel & Transport=5_Train Stations=1,Light Rail=1_Airport=1_Train Station=1_Train=1_Hotel=1,Straker ECO Carpet & Rug Care=1_Heathrow Express Train - Heathrow [HXX] to Paddington [PAD]=1_London Heathrow Airport (LHR)=1_Rembrandt Hotel=1_Wimbledon Tram Stop=1_Penge West Railway Station (PNW)=1
Mon Sep 03 05:30:00 UTC 2012,0,5,330,419,18,Shops & Services=2_Outdoors & Recreation=2_Travel & Transport=7_Residences=3_Gyms or Fitness Centers=2_Professional & Other Places=2,Airport=2_Gym=2_Office=2_Train Station=2_Plaza=1_Airport Terminal=1_Coffee Shop=1_Residential Building (Apartment / Condo)=1,"London Heathrow Airport (LHR)=2_Starbucks=1_Piccadilly Circus=1_Shepherd's Bush Railway Station (SPB)=1_Bicycle Mews=1_Cannon Street Railway Station (CST)=1_London 2012 Olympic Village=1_Occupy Old Street Magistrates=1_37 Degrees Health & Fitness=1_Clapham Junction Station, Brighton Yard Entrance=1_Carolyn House=1_Buckingham Gate=1_John Orwell Sports Centre=1_Hyde Park=1_Oxford Tube=1_Terminal 5=1_Chez Gray=1"
Mon Sep 03 06:00:00 UTC 2012,0,6,360,507,12,Shops & Services=2_Arts & Entertainment=2_Airports=1_Travel & Transport=5_Residences=1_Food=1_Movie Theaters=1_Professional & Other Places=1,Subway=2_Train Station=1_Electronics Store=1_Airport=1_Restaurant=1_Airport Lounge=1_Bank=1_Multiplex=1,Halifax Bank=1_London 2012 Olympic Park=1_Forward Internet Group=1_Vodafone=1_Greenhithe Railway Station (GNH)=1_Digital Cinema Media Ltd=1_Chancery Lane Underground Station=1_Lee's Room=1_Giraffe=1_BA Galleries First Lounge=1_London City Airport (LCY)=1_Morden Underground Station=1
