time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Mon Sep 03 00:00:00 UTC 2012,0,0,0,1612,139,Professional & Other Places=8_Nightlife Spots=21_Outdoors & Recreation=14_Food=60_Shops & Services=15_Residences=8_Travel & Transport=8,Bar=10_Home (private)=8,"The Commodore=2_Olive Garden=2_2012 US Open Tennis Championships=2_Coney Island Beach & Boardwalk=2_Pilsener Haus & Biergarten=2_5th Avenue=1_Manhattan Sailing Club Boat 4=1_Apple Store=1_Pete's Tavern=1_Grand Central Terminal=1_Russian Tea Room=1_Fifth Ave=1_Mandoo Bar=1_C-Town Supermarket=1_Show Palace=1_Deno's Wonder Wheel=1_John Dory Oyster Bar=1_Ray's Pizza=1_Heartland Brewery=1_Metro Diner=1_Taqueria Lower East Side=1_Sushi Park=1_Prospect Park Lake=1_Au Bon Pain=1_Oak & Iron=1_The Junction=1_Crif Dogs=1_Keg No. 229=1_Food Freaks Grilled Cheese=1_Extreme Sound=1_Beachwick=1_Denssys House=1_BLT Steak=1_Chelsea, NY=1_The Habitat=1_Virgin America Ticket Counter=1_Kagetsu=1_Mesa Coyoacán=1_W New York - Times Square=1_Wafels & Dinges=1_Teddy's Bar & Grill=1_Sel de Mer=1_Fitzgerald's 1928=1_Search & Destroy=1_MAS Muslim Youth Center=1_230 Fifth Rooftop Lounge=1_Ferrara Bakery & Cafe=1_Dutch Boy Burger=1_Best Buy=1_Bowery Hotel Lobby Bar=1_4G Home Of The Worlds Greatest Tag Team=1_Flatbush Gardens=1_Green Building=1_Sea=1_Momofuku Noodle Bar=1_La Marina NYC=1_SoHo=1_Starbucks=1_Tom's Restaurant=1_Paramount Bar=1_Sunflower Cafe=1_STEVEN by Steven Madden=1_Saint Vitus Bar=1_Corner Social=1_Highline Ballroom=1_Bryant Park - Library Terrace=1_Los Feliz=1_Double Tree by Hilton Hotel=1_Petco=1_Palm Restaurant=1_9th and Coles Tavern=1_Bayside=1_Bebe's kids=1_St Joe's Feast=1_letsyo=1_Becco=1_Antillana Deli Grocery=1_Emporium Brasil=1_The Counter=1_Banter=1_Essex Green Shopping Center=1_House O' Huxley=1_Town of West New York=1_Union Square Park=1_Cafe Espanol=1_Mercadito=1_Redeemer Presbyterian Church=1_Super Stop & Shop=1_Boqueria=1_InterContinental Hotel - Times Square=1_Chelsea Market=1_The Way Station=1_Taste Buds=1_Dimitria's Casa=1_Alfie's Bar & Kitchen=1_Mojitos Bar and Grill=1_AMC Magic Johnson Harlem 9=1_442 W 57th Street=1_Applebee's=1_Johnny Rockets=1_Kingdom liquors=1_Conrad New York=1_Cyclone=1_Le Bain=1_Dekalb Market=1_Beacon Theatre=1_Grand Cafe Astoria=1_Max Brenner=1_Puglia Restaurant=1_Manhattan Beach Jewish Center=1_Haru Third Avenue=1_Taka Taka=1_Momofuku Milk Bar=1_Ippudo=1_Queens Center Mall=1_Empire State Building=1_Times Square=1_Whole Foods=1_Red Bamboo=1_Joel's House=1_Journal Square PATH Station=1_The Ides at Wythe Hotel=1_brgr=1_Calandra's Bakery=1_Gateway Marina=1_ThirsTea=1_LIRR - Mets-Willets Point Station=1_Mama's Empanadas=1_Brad & Elli's Home In R'dale=1_Nurse Bettie=1_Central Park=1_Downtown Manhattan=1_Eataly=1_Taci's Beyti Restaurant=1"
Mon Sep 03 00:30:00 UTC 2012,0,0,30,1503,117,Nightlife Spots=14_Outdoors & Recreation=17_Food=48_Travel & Transport=18_Arts & Entertainment=8,Bar=6_Home (private)=6_Neighborhood=5_Hotel=5,"Radio City Music Hall=4_Starbucks=3_Traif=2_Little Italy=2_John F. Kennedy International Airport (JFK)=2_Panna II Garden Indian Restaurant=2_The Corner Of Hell=2_New York Penn Station=2_Terminal D=2_David Copperfield's=1_Victoria's Secret PINK=1_VOILÀ hotel -  St Giles The Court=1_Barcelona Bar=1_Cocoron Soba=1_1001 Nights=1_Verona Park=1_Miss Korea BBQ=1_Chimi spot=1_LaGuardia Airport (LGA)=1_Little Bay Park Dog Run=1_South Street Seaport=1_Bristol Plaza=1_Mojito Restaurant & Bar - US Open=1_Jacobi Medical Center=1_La Isla=1_John F. Kennedy International Airport Terminal 2=1_The Cheesecake Factory=1_Nanoosh=1_Vega Alta=1_Megabus Bus Stop=1_Blockheads Burritos=1_27 de Febrero Restaurant=1_InterContinental Hotel - Times Square=1_Newport Town Square=1_Village Pourhouse=1_NoMad Restaurant=1_Casa Del Locos=1_Rockefeller Center Promenade=1_City Lobster & Steak=1_Kiddie Beach=1_Valenca Restaurant=1_On The Run - Conduit & Liberty=1_Paulie Gee’s=1_158th Street and third ave=1_Crunch Fitness=1_Port Authority Discharge Platform=1_Alta=1_Chevys Fresh Mex=1_Cameo Gallery=1_Felice 83=1_The South Bronx=1_House of Hercules=1_Pacha NYC=1_Ayada Thai Restaurant=1_Bryant Park=1_Maoz Vegetarian=1_Hane Sushi=1_MTA Subway - 42nd St/Times Square (A/C/E/N/Q/R/S/1/2/3/7)=1_Penn Station Track 16=1_Dos Caminos=1_The Metropolitan Opera=1_Home home home=1_Corner Social=1_The New York Helmsley Hotel=1_77 Bleecker Street, home=1_MTA - Rose Ave (Q17, Q25, Q34 Bus)=1_Riverwalk=1_Holiday Inn Express=1_Hill Country Barbecue Market=1_Gowanus Yacht Club=1_Lucy's=1_Blue Ribbon Sushi=1_Warsaw=1_Shake Shack=1_Flushing, NY=1_Toys""R""Us=1_Matt & Meera=1_Ralph's Italian Ices=1_The Meatball Shop=1_18th Ave Feast Of St. Rosalia=1_Chipotle Mexican Grill=1_Rue 57=1_New York Pizza Suprema=1_AkAsh Asylum=1_Studio Square Rooftop=1_Van Leeuwen Artisan Ice Cream=1_Bill's Bar and Burger Meatpacking=1_Fushimi=1_Casa Tia Dani=1_Fat Buddha=1_Dominie's Hoek=1_Gallow Green (Rooftop Garden Bar at the McKittrick Hotel)=1_北港台菜=1_New World Stages=1_Times Square=1_Scarpetta=1_Union City, NJ=1_Bailey's Ass Kicking Academy=1_New York Mart=1_Barnes & Noble=1_Bareburger=1_Mother Burger=1_Insomnia Cookies=1_Coney Island Sound=1_Ramen Setagaya=1"
Mon Sep 03 01:00:00 UTC 2012,0,1,60,1511,109,Nightlife Spots=19_Food=40_Shops & Services=14_Travel & Transport=15_Arts & Entertainment=15,Bar=10_Home (private)=6_Pizza Place=6,"John F. Kennedy International Airport (JFK)=3_Ace Wine And Spirits=2_Flynn's Garden Inn=2_Starbucks=1_Throggs Neck 10465=1_Gate 1=1_Vince Lombardi Service Area=1_Peter Luger Steak House=1_Luzzo's=1_Newark Liberty International Airport (EWR)=1_American Express Booth (Arthur Ashe Stadium) - US Open=1_Panera Bread=1_Nerikas=1_Douchebags everywhere=1_Brazil Brazil Churrascaria=1_Joe's Pub=1_Shanghai Café=1_Rainbow Laundromat=1_Shaolin, USA=1_Home=1_McDonald's=1_Veggie Monster=1_Eataly=1_Lavender Lake=1_Hershey's Store=1_Poodie's Playhouse=1_Top of The Rock Observation Deck=1_44 1/2 Restaurant=1_M&M's World=1_Raines Law Room=1_Angelika Film Center=1_MTA Subway - Manhattan Bridge (B/D/N/Q)=1_Schiller's Liquor Bar=1_Ferrara Bakery & Cafe=1_Epstein's Bar=1_Union Hall=1_Pavilion Park Slope=1_Emporium Fresh Market=1_Market Table=1_The Delancey=1_Pearls=1_Journal Square PATH Station=1_The Red Lion=1_237=1_Luna Park NYC=1_The Ravel Hotel=1_Brooklyn's Finest Pizza=1_Pesty Pizza=1_Samurai Boy=1_DEE'S=1_Douglas And James Ice Cream=1_JFK Jet Blue Airlines=1_The Blind Barber=1_Whiskey Park=1_Little Italy=1_Masala Indian restaurant=1_Legends New York=1_Shayz Lounge=1_Duane Reade=1_AMC Empire 25=1_Fairway Market=1_Mamajuana Cafe=1_Rockefeller Center=1_Terminal 8=1_Chelsea Piers Golf Club=1_Lombardi's Coal Oven Pizza=1_The Bourgeois Pig Brooklyn=1_Weedpocalypse 2012=1_Millennium Hilton Hotel=1_Fratelli La Bufala=1_Red Lobster=1_The Meatball Shop=1_Toys""R""Us=1_Flaming Saddles Saloon=1_RoKo - Tango Milonga @ Manhattan Ballroom=1_Higuero Cigars=1_Sea Thai Restaurant=1_Smile Laundromat=1_West End Bar & Grill=1_Hyland blvd=1_Madame Tussauds New York=1_The Redhead=1_Nurse Bettie=1_AMC Loews Lincoln Square 13=1_Arthur Ashe Stadium - USTA Billie Jean King National Tennis Center=1_Posto 22=1_Cafe Gitane @ The Jane Hotel=1_Jalopy Tavern=1_Buceo 95=1_The Jerr Cave=1_National=1_The Merchant=1_Bowler City Lanes=1_Bushwick Country Club=1_Electric Zoo 2012=1_Glasslands Gallery=1_Engine Room Audio (Studio)=1_Le Grainne Cafe=1_Leños=1_Pint=1_Gelotti's=1_John's Pizzeria=1_Verrazano-Narrows Bridge Toll Plaza=1_Sovereign Square II=1_T.G.I. Friday's=1"
Mon Sep 03 01:30:00 UTC 2012,0,1,90,1714,91,Nightlife Spots=29_Food=30_Outdoors & Recreation=6_Residences=5_Arts & Entertainment=11,Bar=10_Italian Restaurant=5_Home (private)=5,"Target=2_FBRP Parsonage=2_The Halal Guys=2_Arrow Bar=1_Pine Box Rock Shop=1_CUPS Frozen Yogurt=1_Marshall Stack=1_Delancey St.=1_LaGuardia Airport (LGA)=1_El Nuevo Portal Restaurant=1_Regal Union Square Stadium 14=1_Eatery=1_Restaurant Marc Forgione=1_Koryodang Bakery & Cafe=1_Joseph's Pizza=1_Casa de Carlos y Lauren=1_New York Penn Station=1_Cooper's Craft and Kitchen=1_Roberta's Pizza=1_Chelsea Piers=1_Barrage=1_Saint Rosalia Feast=1_Greenwich Village Bistro=1_Japas 38=1_Mercury Lounge=1_BonChon Chicken=1_Off The Wagon Bar & Grill=1_Lavender Lake=1_Lucky Strike Lanes=1_Solas=1_Dick & Janes=1_The Rosner Girls' Bachelorette Pad=1_Goodman Winery & Scotch Bar=1_Valero=1_Upright Citizens Brigade Theatre=1_Cucina Di Pesce=1_The Queens Kickshaw=1_Bread=1_6D Where the Pu**y Be!=1_On The Run - Conduit & Liberty=1_Rooftop=1_Lula's Sweet Apothecary=1_Va Beh'=1_Boots & Saddle=1_Mr. Chow=1_Panchito's Mexican Restaurant=1_Pilsener Haus & Biergarten=1_West Village, NY=1_Brooklyn, NY=1_Testaccio=1_Red Stone Pizzeria & Cafe=1_Cliffside Park, NJ=1_Mother's=1_Penthouse=1_Peking Duck House=1_John F. Kennedy International Airport (JFK)=1_Lounge 52=1_Croxley's Ale House=1_Coppola's East=1_Radio City Music Hall=1_Sundaes and Cones=1_Middle Branch=1_Les Halles=1_AMC Loews Aviation 12=1_Little Cupcake Bakeshop=1_El Azteca=1_Cooper's Union=1_PH-D at Dream Downtown=1_Mosaic Cafe & Lounge=1_Zombie Hut=1_UA Court Street Stadium 12=1_The Counter=1_Funked Dub=1_Hunan's Kitchen=1_Pig 'n' Whistle=1_AMC Loews Orpheum 7=1_Ty's Bar=1_Spitzer's Corner=1_Electric Zoo 2012=1_Glasslands Gallery=1_Grey Goose Bar - US Open=1_Juventino=1_The Stanton Social=1_2nd Floor on Clinton=1_The Jane Hotel=1_The Candy Rush=1_Josh's Lincoln Center House of Musical Theatre=1_Greenwich Village=1"
Mon Sep 03 02:00:00 UTC 2012,0,2,120,1779,99,Nightlife Spots=27_Food=32_Outdoors & Recreation=10_Residences=11_Travel & Transport=6_Arts & Entertainment=8,Bar=13_Home (private)=8,"Williamsburg Bridge=1_Eddie's Sweet Shop=1_Haus Of Sel=1_Buschenschank=1_One Republik=1_The DL=1_Carolines on Broadway=1_540 E. 5th St Roof Top=1_Broadway Dance Center=1_Burger King=1_Miss Korea BBQ=1_Charrito's=1_Cafe Lou's=1_Sangria 46=1_The Gate=1_Hoboken=1_MTA Subway - 149th St/Grand Concourse (2/4/5)=1_VLADA Lounge=1_Lovera Grocery/Chimi Spot=1_Stonewall Inn=1_Domino's Pizza=1_Kinsale Tavern=1_Decibel=1_Boca Grande=1_Brooklyn Bowl=1_Home=1_B.B. King Blues Club & Grill=1_Lillie's Union Square=1_kimmys comfy house :)=1_Bohemian Hall & Beer Garden=1_Sugar Lounge=1_Sake Bar Satsko=1_Toll Booth=1_The London NYC=1_Cafe Metro=1_Tonic Times Square=1_Benthrynopolis East=1_Blockheads Burritos=1_Famous Famiglia=1_Sunoco=1_Rustik Tavern=1_Lula's Sweet Apothecary=1_Wicked Willy's=1_KyoChon=1_Madison Square Park=1_Waldorf-Astoria Hotel=1_Panchito's Mexican Restaurant=1_The Hangar=1_169 Bar=1_Fort Greene Park=1_Food Gallery 32=1_Hudson-Bayonne Lanes=1_The Delta Grill=1_Harlem Tavern=1_Young Israel Of Flatbush=1_Tiny's and the Bar Upstairs=1_Union Square Cafe=1_Stop & Shop=1_S'Mac=1_MTA Subway - Sheepshead Bay (B/Q)=1_The Dram Shop=1_JuMong - 주몽=1_Cafe A La Mamadukes=1_Cupping Room Cafe=1_47 W 13th St=1_Pianos=1_Pacific Grill=1_Flatbush, Brooklyn=1_Casa Czarinakem=1_Keybar=1_The Park @ Newport=1_Pork Slope=1_The Meatball Shop=1_Comedy Cellar=1_Teariffic=1_Washington Square Park=1_Eastside Billiards=1_Oak & Iron=1_Nitehawk Cinema=1_NYU Law School Mercer Hall=1_Le Basket=1_Coco South East Asian=1_Beekman Beer Garden=1_MTA Subway - 3rd Ave/149th St (2/5)=1_Kensington Neighborhood=1_2 Gold Street Apartments=1_46 Lounge=1_Planet Sushi=1_Latitude Bar & Grill=1_Times Square=1_The Crib=1_Le Bain=1_Where I Fell In Love=1_Just Jake's=1_UNOlker.com Media Empire, LLC=1_Flee Bee's House=1_St Mazie's=1_405=1_Tonalli Cafe & Bar=1"
Mon Sep 03 02:30:00 UTC 2012,0,2,150,1514,83,Nightlife Spots=24_Outdoors & Recreation=8_Food=18_Shops & Services=6_Residences=7_Travel & Transport=8_Arts & Entertainment=9,Bar=8_Home (private)=6,"Chase Bank=2_Napoli's Pizza=1_Villa Russo=1_Warsaw=1_Saint Rosalia Feast=1_Pok Pok Ny=1_Village Vanguard=1_Newark Liberty International Airport (EWR)=1_Brother Jimmy's BBQ=1_Pieces Bar=1_Riverside Park At 116th=1_Joe's Pub=1_New York Penn Station=1_Pil Pil=1_Rice to Riches=1_Cubby Hole=1_Max's & Alaina's=1_Dunkin' Donuts=1_Screw Yourpocalypse Apocalypse=1_Hilton New York=1_Marquee=1_La Quinta Inn & Suites JFK Airport=1_McDonald's=1_Loopy Doopy Bar=1_Pinkberry=1_Bohemian Hall & Beer Garden=1_The Actual Abode=1_Pranna=1_Hoboken, NJ=1_Break Bar & Billiards=1_The Bronasium=1_Blockheads Burritos=1_381 Main Bar & Grill=1_Angelika Film Center=1_Valero=1_Cafe 47=1_On The Run - Conduit & Liberty=1_Saigon Grill=1_Bua=1_The Tippler=1_Smoking Tattoos=1_Corkbuzz=1_Cannon Ave=1_1020 Bar=1_Bourbon Street Bar & Grille=1_May May Restaurant=1_East Harlem=1_La Marina=1_Barcade=1_The Rock Pub & Grill=1_Treadwell Farms=1_Sweik Corporation=1_MiMi & Charlie's Home=1_Millennium Broadway Hotel=1_Stout=1_The Blind Barber=1_Holiday Inn Express=1_The Stumble Inn=1_Carolyne's Crib=1_Pig & Prince=1_Sonic Drive-In=1_Blue Ribbon Sushi=1_Cafe Habana=1_Shake Shack=1_Fat Cat=1_Le Poisson Rouge=1_Chomo Villa=1_MTA Bus M3=1_Roseland Ballroom=1_Little Neck, NY=1_Palisades Park, NJ=1_W Hotel=1_Troutman Street=1_Franklin Park=1_Cellar 58=1_Fat Buddha=1_Sullivan Room=1_Times Square=1_Dominos=1_Electric Zoo 2012=1_Vodou Bar=1_Manhattan Valley=1"
Mon Sep 03 03:00:00 UTC 2012,0,3,180,1673,92,Nightlife Spots=27_Outdoors & Recreation=6_Food=18_Residences=7_Travel & Transport=13_Arts & Entertainment=12,Bar=11_Hotel=6,"Vital Theater=2_2012 US Open Tennis Championships=2_Home Sweet Home=2_Home=1_Darkroom=1_Pop's Burger=1_Ace Hotel=1_Richmond Hill, New York=1_Winterfell ""Winter is Coming""=1_Berry Park=1_Yeshiva University - Wilf Campus=1_Miss Korea BBQ=1_Ma Secret Place :x=1_12th Street Ale House=1_MTA B46 Bus Stop=1_Crif Dogs=1_Ace Hotel Lobby & Bar=1_5 Star - Halal Deli/Grocery=1_Midnight Express=1_The Knitting Factory=1_Winston's Champagne Bar=1_Hilton New York=1_Eddie's Sweet Shop=1_Gray's Papaya=1_Starbucks=1_Cafeteria=1_Break Bar & Billiards=1_Staten Island Ferry - Whitehall Terminal=1_The Queens Kickshaw=1_Stonehenge Village=1_Culture Project=1_Top of The Rock Observation Deck=1_C.J. Sullivan's American Grill=1_Sarataga Deli & Grocery Corp=1_The Bean=1_Waldorf-Astoria Hotel=1_KyoChon=1_Bubba Gump Shrimp Co.=1_Ajna Bar=1_Chelsea, NY=1_Broadway Comedy Club=1_East River Ferry Terminal East 35th Street/Midtown=1_Bagelsmith=1_This N That=1_Sternberg Park=1_Ji Li Men's Spa=1_Hilton Garden Inn - Secaucus/Meadowlands=1_The Blind Barber=1_Ali Stop & Buy Grocery=1_Scizz & Stanny's Fried Chicken Shack=1_Maison de Prasad - EaHa=1_John F. Kennedy International Airport (JFK)=1_Barbès=1_MTA - B3 Bus Stop=1_CVS/pharmacy=1_Wythe Hotel=1_The Counting Room=1_U2 Karaoke=1_204 Sherman Ave, Ny, Ny 10034=1_New York City Criminal Court=1_Velez's Grocery=1_Lucky Dog=1_Radegast Hall & Biergarten=1_Beekman Beer Garden=1_Roseland Ballroom=1_City Island Harbor=1_Ralph Ave=1_Black Bear Bar & Grill=1_Papasito Mexican Grill And Agave Bar=1_Lillie's Times Square=1_San Loco=1_Star deli=1_Arthur Ashe Stadium - USTA Billie Jean King National Tennis Center=1_Hotel Gansevoort=1_Beauty & Essex=1_5 Burro Cafe=1_MTA Subway - Fulton St (A/C/J/Z/2/3/4/5)=1_Popeye's=1_Vazacs Horseshoe Bar / 7B=1_PS 40 George W Carver School=1_Times Square=1_55 West End Avenue=1_Nj Transit Bus 166=1_Electric Zoo 2012=1_Allswell=1_Le Bain=1_Whiskey Town=1_Mission Dolores=1_My Comfy House :)=1"
Mon Sep 03 03:30:00 UTC 2012,0,3,210,1538,77,Nightlife Spots=33_Outdoors & Recreation=4_Food=11_Residences=4_Shops & Services=7_Travel & Transport=5_Arts & Entertainment=9,Gay Bar=9_Bar=7,"Electric Zoo 2012=3_XL Nightclub=3_Arthur Ashe Stadium - USTA Billie Jean King National Tennis Center=3_Metropolitan=2_EasternBloc=2_1 Oak=2_Best Buy Theater=2_Duane Reade=2_Chinatown=1_CVS/pharmacy=1_The Stag's Head=1_Cloister Cafe=1_The Standard - East Village=1_Paris Café=1_Tom's Restaurant=1_Team Playlab NYC=1_Esplanade Park=1_Resort World Casino=1_Washington Square Park=1_Equity Point New York Hostel=1_Alexandrias Palace=1_Walgreens=1_Tick Tock Diner=1_Dingo's Den=1_The Emerald Pub=1_Port Authority Bus Terminal=1_Bank of America=1_Cozy Cafe Hookah Lounge=1_Le Bateau Ivre=1_Fat Baby=1_The Throne=1_Hard Rock Cafe New York=1_Eagle Rock Lanes=1_Hilton Manhattan East=1_Crown Heights, Brooklyn=1_The Euterpeum of The Hights=1_Surf City (BBQ/Lounge)=1_The boss house=1_C.J. Sullivan's American Grill=1_Greenhouse=1_Beekman Beer Garden=1_McDonald's=1_Industry Bar=1_Clandestino=1_The Edge=1_Pinkberry=1_Copacabana Nightclub=1_Pure Fitness NYC=1_Insomnia Cookies=1_Staten Island Ferry - Andrew J. Barbieri=1_777 Chain Inc - Eldridge ST=1_R Bar=1_Bar Toto=1_T.G.I. Friday's=1_Manny's Sports Bar=1_La casa de quinn=1_Same Day Delivery Service=1_B Bar & Grill=1_Kettle of Fish=1_Fig 19=1_Club Elevation=1_McGees Cafe=1_MTA Subway - Harlem/148th St (3)=1_The Halal Guys=1_The Perfect Pint=1_MercBar=1"
Mon Sep 03 04:00:00 UTC 2012,0,4,240,1605,67,Nightlife Spots=25_Outdoors & Recreation=5_Food=9_Residences=4_Travel & Transport=11_Arts & Entertainment=11,Bar=11_Music Venue=6_Nightclub=6,Dunkin' Donuts=2_Best Buy Theater=2_Lavo Restaurant and Nightclub=2_Electric Zoo 2012=2_Lolita=2_Turtle Bay Grill & Lounge=1_The Tender Trap=1_Lucky 7's=1_5 Ninth=1_Gypsy Cab=1_Casa de Ali Cole=1_Casa Mezcal=1_NYHQ-EMERGENCY DEPT.=1_20/20 Deli & Grocery=1_Chinatown Fair=1_Fire Pit in South Ozone Park=1_MTA Bus S78=1_Central Park South @ c/o E. 59th Street & 5th Ave=1_Marriott Marquis Hotel=1_IFC Center=1_South Ozone Park=1_Port Authority Bus Terminal=1_Mad Donkey Beer Bar & Grill=1_New York=1_Ink48 Hotel=1_Pianos=1_Throgs Neck Bridge=1_Frying Pan=1_Home Sweet Home=1_Queens=1_Le Poisson Rouge=1_BXL Cafe=1_King LuLu=1_Sutra Lounge=1_Webster Hall=1_Applebee's Neighborhood Grill & Bar=1_Sutter Ave=1_The Dog House=1_Party Expo=1_Down the Hatch=1_The Terrace at Yotel=1_Karaoke Wow!=1_Central Lounge=1_1 Oak=1_Electric Room=1_Lucky Jack's=1_Otis Damo'n Design Studio=1_Crif Dogs=1_Jefferson Starrship=1_Mi Casa=1_Suite 55=1_Beekman Beer Garden=1_Ace Hotel Lobby & Bar=1_The Milford NYC=1_Le Souk Harem=1_Megabus Bus Stop=1_Rockaway Blvd=1_Manhattan Place=1_Traffic Bar & Restaurant=1_RdV=1_Mickey Spillane's=1_Five Guys Burgers and Fries=1
Mon Sep 03 04:30:00 UTC 2012,0,4,270,1417,48,Nightlife Spots=17_Outdoors & Recreation=7_Food=6_Residences=3_Stadiums=3_Travel & Transport=4_Arts & Entertainment=7,Bar=6_Neighborhood=4,"2012 US Open Tennis Championships=3_Pacha NYC=2_Chinatown=2_Lavender Hill=2_Le Souk Harem=2_The Chicken Coop=1_T.G.I. Friday's=1_West Village, NY=1_Healys Pub=1_The Romero Household=1_One Republik=1_Lefrak City (Canada Building)=1_Hotel Carter=1_Dive Bar=1_Fashion Institute of Technology=1_Basile's Pizza=1_IFC Center=1_The Spotted Pig=1_St. Mark's Place=1_Times Square=1_Sway=1_Le Baron=1_Marble Hill (Bronx / Manhattan, NY)=1_White Star Bar=1_Griffin=1_Roseland Ballroom=1_Nowhere=1_Sheraton Meadowlands Hotel & Conference Center=1_33rd St PATH Station=1_The Abbey=1_Cooper's Craft and Kitchen=1_Penn Station Track 20-21=1_Le Poisson Rouge=1_Brooklyn Bowl=1_Ruggles Residence Hall - Columbia University=1_McGee's Pub=1_San Loco=1_Æson's Garden=1_Beauty Bar=1_The Dubliner=1_Yola's Cafe=1_Great N.Y. Noodletown=1"
