time,count,red,green,blue
Mo Sep 03 00:00:00 UTC 2012,1,217,210,176
Mo Sep 03 01:00:00 UTC 2012,1,15,11,37
Mo Sep 03 02:00:00 UTC 2012,1,55,36,47
Mo Sep 03 03:00:00 UTC 2012,1,41,8,42
Mo Sep 03 04:00:00 UTC 2012,1,11,8,24
Mo Sep 03 05:00:00 UTC 2012,0,-,-,-
Mo Sep 03 06:00:00 UTC 2012,1,85,80,87
Mo Sep 03 07:00:00 UTC 2012,1,103,172,205
Mo Sep 03 08:00:00 UTC 2012,1,27,27,26
Mo Sep 03 09:00:00 UTC 2012,1,39,12,37
Mo Sep 03 10:00:00 UTC 2012,1,64,50,67
Mo Sep 03 11:00:00 UTC 2012,1,16,11,20
Mo Sep 03 12:00:00 UTC 2012,1,216,201,166
Mo Sep 03 13:00:00 UTC 2012,1,162,166,147
Mo Sep 03 14:00:00 UTC 2012,1,206,206,171
Mo Sep 03 15:00:00 UTC 2012,1,172,167,150
Mo Sep 03 16:00:00 UTC 2012,1,28,21,23
Mo Sep 03 17:00:00 UTC 2012,1,34,33,34
Mo Sep 03 18:00:00 UTC 2012,1,78,49,53
Mo Sep 03 19:00:00 UTC 2012,1,38,12,7
Mo Sep 03 20:00:00 UTC 2012,1,167,162,157
Mo Sep 03 21:00:00 UTC 2012,1,189,38,84
Mo Sep 03 22:00:00 UTC 2012,1,7,6,11
Mo Sep 03 23:00:00 UTC 2012,1,98,103,103
Di Sep 04 00:00:00 UTC 2012,0,-,-,-
Di Sep 04 01:00:00 UTC 2012,1,10,35,209
Di Sep 04 02:00:00 UTC 2012,1,27,0,25
Di Sep 04 03:00:00 UTC 2012,1,212,204,165
Di Sep 04 04:00:00 UTC 2012,1,36,34,30
Di Sep 04 05:00:00 UTC 2012,1,70,51,39
Di Sep 04 06:00:00 UTC 2012,1,42,39,34
Di Sep 04 07:00:00 UTC 2012,1,151,75,48
Di Sep 04 08:00:00 UTC 2012,1,28,31,37
Di Sep 04 09:00:00 UTC 2012,1,28,29,23
Di Sep 04 10:00:00 UTC 2012,1,15,12,13
Di Sep 04 11:00:00 UTC 2012,1,157,30,27
Di Sep 04 12:00:00 UTC 2012,1,242,236,225
Di Sep 04 13:00:00 UTC 2012,1,16,7,23
Di Sep 04 14:00:00 UTC 2012,1,23,19,17
Di Sep 04 15:00:00 UTC 2012,1,4,9,40
Di Sep 04 16:00:00 UTC 2012,1,246,245,240
Di Sep 04 17:00:00 UTC 2012,1,46,23,30
Di Sep 04 18:00:00 UTC 2012,1,138,182,217
Di Sep 04 19:00:00 UTC 2012,1,18,14,42
Di Sep 04 20:00:00 UTC 2012,1,27,19,17
Di Sep 04 21:00:00 UTC 2012,1,4,10,35
Di Sep 04 22:00:00 UTC 2012,1,244,248,241
Di Sep 04 23:00:00 UTC 2012,1,41,11,34
Mi Sep 05 00:00:00 UTC 2012,1,38,14,40
Mi Sep 05 01:00:00 UTC 2012,1,247,245,237
Mi Sep 05 02:00:00 UTC 2012,1,18,22,32
Mi Sep 05 03:00:00 UTC 2012,1,69,54,65
Mi Sep 05 04:00:00 UTC 2012,1,175,212,170
Mi Sep 05 05:00:00 UTC 2012,0,-,-,-
Mi Sep 05 06:00:00 UTC 2012,1,30,22,4
Mi Sep 05 07:00:00 UTC 2012,1,13,10,32
Mi Sep 05 08:00:00 UTC 2012,1,25,21,18
Mi Sep 05 09:00:00 UTC 2012,1,33,36,13
Mi Sep 05 10:00:00 UTC 2012,1,20,22,13
Mi Sep 05 11:00:00 UTC 2012,1,165,163,156
