time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,37,26,17,29
Mon Sep 03 01:00:00 UTC 2012,22,26,11,23
Mon Sep 03 02:00:00 UTC 2012,10,22,12,18
Mon Sep 03 03:00:00 UTC 2012,5,16,13,14
Mon Sep 03 04:00:00 UTC 2012,2,16,15,14
Mon Sep 03 05:00:00 UTC 2012,5,14,11,16
Mon Sep 03 06:00:00 UTC 2012,4,30,14,27
Mon Sep 03 07:00:00 UTC 2012,15,70,50,59
Mon Sep 03 08:00:00 UTC 2012,13,20,15,18
Mon Sep 03 09:00:00 UTC 2012,23,28,17,28
Mon Sep 03 10:00:00 UTC 2012,30,81,69,75
Mon Sep 03 11:00:00 UTC 2012,58,67,48,63
Mon Sep 03 12:00:00 UTC 2012,79,67,52,59
Mon Sep 03 13:00:00 UTC 2012,112,25,19,26
Mon Sep 03 14:00:00 UTC 2012,45,25,16,26
Mon Sep 03 15:00:00 UTC 2012,0,-,-,-
Mon Sep 03 16:00:00 UTC 2012,83,25,16,29
Mon Sep 03 17:00:00 UTC 2012,103,25,17,27
Mon Sep 03 18:00:00 UTC 2012,75,81,65,71
Mon Sep 03 19:00:00 UTC 2012,87,28,17,25
Mon Sep 03 20:00:00 UTC 2012,55,30,16,28
Mon Sep 03 21:00:00 UTC 2012,40,27,17,21
Mon Sep 03 22:00:00 UTC 2012,37,24,13,23
Mon Sep 03 23:00:00 UTC 2012,25,26,15,27
Tue Sep 04 00:00:00 UTC 2012,24,22,13,17
Tue Sep 04 01:00:00 UTC 2012,5,63,52,64
Tue Sep 04 02:00:00 UTC 2012,2,21,14,39
Tue Sep 04 03:00:00 UTC 2012,3,43,29,37
Tue Sep 04 04:00:00 UTC 2012,6,222,232,209
Tue Sep 04 05:00:00 UTC 2012,3,34,10,22
Tue Sep 04 06:00:00 UTC 2012,4,30,25,36
Tue Sep 04 07:00:00 UTC 2012,11,71,50,59
Tue Sep 04 08:00:00 UTC 2012,8,50,41,49
Tue Sep 04 09:00:00 UTC 2012,24,28,15,27
Tue Sep 04 10:00:00 UTC 2012,29,84,64,69
Tue Sep 04 11:00:00 UTC 2012,35,78,66,76
Tue Sep 04 12:00:00 UTC 2012,54,27,20,24
Tue Sep 04 13:00:00 UTC 2012,47,31,20,27
Tue Sep 04 14:00:00 UTC 2012,49,86,65,73
Tue Sep 04 15:00:00 UTC 2012,50,197,184,167
Tue Sep 04 16:00:00 UTC 2012,51,73,50,54
Tue Sep 04 17:00:00 UTC 2012,51,70,51,57
Tue Sep 04 18:00:00 UTC 2012,89,72,55,56
Tue Sep 04 19:00:00 UTC 2012,73,67,52,60
Tue Sep 04 20:00:00 UTC 2012,43,78,58,75
Tue Sep 04 21:00:00 UTC 2012,75,27,13,25
Tue Sep 04 22:00:00 UTC 2012,76,27,15,27
Tue Sep 04 23:00:00 UTC 2012,33,24,15,23
Wed Sep 05 00:00:00 UTC 2012,19,23,16,22
Wed Sep 05 01:00:00 UTC 2012,11,33,14,22
Wed Sep 05 02:00:00 UTC 2012,1,32,48,83
Wed Sep 05 03:00:00 UTC 2012,3,34,13,21
Wed Sep 05 04:00:00 UTC 2012,1,15,7,5
Wed Sep 05 05:00:00 UTC 2012,3,12,11,17
Wed Sep 05 06:00:00 UTC 2012,7,34,16,23
Wed Sep 05 07:00:00 UTC 2012,7,22,15,13
Wed Sep 05 08:00:00 UTC 2012,25,65,50,61
Wed Sep 05 09:00:00 UTC 2012,32,82,69,71
Wed Sep 05 10:00:00 UTC 2012,36,188,184,166
Wed Sep 05 11:00:00 UTC 2012,38,88,68,67
Wed Sep 05 12:00:00 UTC 2012,38,27,18,30
Wed Sep 05 13:00:00 UTC 2012,23,26,17,25
Wed Sep 05 14:00:00 UTC 2012,0,-,-,-
Wed Sep 05 15:00:00 UTC 2012,0,-,-,-
