time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,3,215,128,79
Mon Sep 03 01:00:00 UTC 2012,1,231,167,127
Mon Sep 03 02:00:00 UTC 2012,2,114,85,88
Mon Sep 03 03:00:00 UTC 2012,1,232,223,196
Mon Sep 03 04:00:00 UTC 2012,1,221,206,175
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,2,202,201,182
Mon Sep 03 07:00:00 UTC 2012,3,110,170,203
Mon Sep 03 08:00:00 UTC 2012,11,50,34,56
Mon Sep 03 09:00:00 UTC 2012,13,208,192,162
Mon Sep 03 10:00:00 UTC 2012,13,234,238,230
Mon Sep 03 11:00:00 UTC 2012,5,215,204,182
Mon Sep 03 12:00:00 UTC 2012,12,199,175,157
Mon Sep 03 13:00:00 UTC 2012,12,210,194,160
Mon Sep 03 14:00:00 UTC 2012,18,199,190,159
Mon Sep 03 15:00:00 UTC 2012,9,212,129,108
Mon Sep 03 16:00:00 UTC 2012,20,198,185,153
Mon Sep 03 17:00:00 UTC 2012,14,230,233,222
Mon Sep 03 18:00:00 UTC 2012,20,204,185,160
Mon Sep 03 19:00:00 UTC 2012,18,214,177,141
Mon Sep 03 20:00:00 UTC 2012,19,194,181,172
Mon Sep 03 21:00:00 UTC 2012,11,222,182,161
Mon Sep 03 22:00:00 UTC 2012,18,203,182,159
Mon Sep 03 23:00:00 UTC 2012,2,205,180,155
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,6,236,237,216
Tue Sep 04 02:00:00 UTC 2012,1,28,0,22
Tue Sep 04 03:00:00 UTC 2012,1,233,213,129
Tue Sep 04 04:00:00 UTC 2012,3,232,193,179
Tue Sep 04 05:00:00 UTC 2012,1,239,230,216
Tue Sep 04 06:00:00 UTC 2012,1,228,203,148
Tue Sep 04 07:00:00 UTC 2012,4,203,167,144
Tue Sep 04 08:00:00 UTC 2012,9,200,195,167
Tue Sep 04 09:00:00 UTC 2012,12,199,190,172
Tue Sep 04 10:00:00 UTC 2012,11,227,166,143
Tue Sep 04 11:00:00 UTC 2012,13,222,212,160
Tue Sep 04 12:00:00 UTC 2012,14,238,239,231
Tue Sep 04 13:00:00 UTC 2012,11,208,185,155
Tue Sep 04 14:00:00 UTC 2012,13,179,180,196
Tue Sep 04 15:00:00 UTC 2012,10,96,144,202
Tue Sep 04 16:00:00 UTC 2012,19,238,238,232
Tue Sep 04 17:00:00 UTC 2012,16,208,178,149
Tue Sep 04 18:00:00 UTC 2012,15,184,173,177
Tue Sep 04 19:00:00 UTC 2012,17,202,187,170
Tue Sep 04 20:00:00 UTC 2012,22,210,194,186
Tue Sep 04 21:00:00 UTC 2012,35,190,180,168
Tue Sep 04 22:00:00 UTC 2012,29,207,175,157
