time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,77,213,178,149
Mon Sep 03 01:00:00 UTC 2012,20,220,205,190
Mon Sep 03 02:00:00 UTC 2012,10,218,205,177
Mon Sep 03 03:00:00 UTC 2012,18,212,175,152
Mon Sep 03 04:00:00 UTC 2012,5,219,170,148
Mon Sep 03 05:00:00 UTC 2012,5,246,243,228
Mon Sep 03 06:00:00 UTC 2012,12,239,238,225
Mon Sep 03 07:00:00 UTC 2012,38,205,173,160
Mon Sep 03 08:00:00 UTC 2012,61,205,188,154
Mon Sep 03 09:00:00 UTC 2012,104,200,178,163
Mon Sep 03 10:00:00 UTC 2012,71,235,234,224
Mon Sep 03 11:00:00 UTC 2012,101,203,178,159
Mon Sep 03 12:00:00 UTC 2012,109,200,182,170
Mon Sep 03 13:00:00 UTC 2012,129,200,183,167
Mon Sep 03 14:00:00 UTC 2012,183,206,182,160
Mon Sep 03 15:00:00 UTC 2012,148,230,232,223
Mon Sep 03 16:00:00 UTC 2012,132,196,183,169
Mon Sep 03 17:00:00 UTC 2012,142,235,236,222
Mon Sep 03 18:00:00 UTC 2012,169,201,182,163
Mon Sep 03 19:00:00 UTC 2012,174,205,181,159
Mon Sep 03 20:00:00 UTC 2012,132,212,181,146
Mon Sep 03 21:00:00 UTC 2012,130,216,200,180
Mon Sep 03 22:00:00 UTC 2012,37,219,206,182
Mon Sep 03 23:00:00 UTC 2012,0,-,-,-
Tue Sep 04 00:00:00 UTC 2012,35,215,152,114
Tue Sep 04 01:00:00 UTC 2012,37,233,234,226
Tue Sep 04 02:00:00 UTC 2012,31,237,234,219
Tue Sep 04 03:00:00 UTC 2012,8,242,240,232
Tue Sep 04 04:00:00 UTC 2012,9,235,237,217
Tue Sep 04 05:00:00 UTC 2012,4,230,243,221
Tue Sep 04 06:00:00 UTC 2012,28,204,180,165
Tue Sep 04 07:00:00 UTC 2012,37,212,177,150
Tue Sep 04 08:00:00 UTC 2012,76,237,236,224
Tue Sep 04 09:00:00 UTC 2012,97,198,178,167
Tue Sep 04 10:00:00 UTC 2012,135,199,178,165
Tue Sep 04 11:00:00 UTC 2012,122,234,233,221
