time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,3,206,207,192
Mon Sep 03 01:00:00 UTC 2012,1,186,106,96
Mon Sep 03 02:00:00 UTC 2012,2,189,191,180
Mon Sep 03 03:00:00 UTC 2012,1,216,210,184
Mon Sep 03 04:00:00 UTC 2012,1,198,200,174
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,2,183,191,179
Mon Sep 03 07:00:00 UTC 2012,3,207,200,189
Mon Sep 03 08:00:00 UTC 2012,11,202,203,190
Mon Sep 03 09:00:00 UTC 2012,13,206,202,188
Mon Sep 03 10:00:00 UTC 2012,13,208,210,201
Mon Sep 03 11:00:00 UTC 2012,5,201,199,180
Mon Sep 03 12:00:00 UTC 2012,12,209,205,193
Mon Sep 03 13:00:00 UTC 2012,12,210,206,186
Mon Sep 03 14:00:00 UTC 2012,18,206,209,193
Mon Sep 03 15:00:00 UTC 2012,9,198,192,184
Mon Sep 03 16:00:00 UTC 2012,20,205,207,198
Mon Sep 03 17:00:00 UTC 2012,14,195,198,190
Mon Sep 03 18:00:00 UTC 2012,20,204,201,188
Mon Sep 03 19:00:00 UTC 2012,18,212,208,193
Mon Sep 03 20:00:00 UTC 2012,19,204,202,194
Mon Sep 03 21:00:00 UTC 2012,11,201,194,178
Mon Sep 03 22:00:00 UTC 2012,18,212,210,202
Mon Sep 03 23:00:00 UTC 2012,2,201,200,191
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,6,215,211,195
Tue Sep 04 02:00:00 UTC 2012,1,228,188,87
Tue Sep 04 03:00:00 UTC 2012,1,213,204,166
Tue Sep 04 04:00:00 UTC 2012,3,219,200,187
Tue Sep 04 05:00:00 UTC 2012,1,216,205,186
Tue Sep 04 06:00:00 UTC 2012,1,205,187,147
Tue Sep 04 07:00:00 UTC 2012,4,199,186,173
Tue Sep 04 08:00:00 UTC 2012,9,202,202,189
Tue Sep 04 09:00:00 UTC 2012,12,201,200,192
Tue Sep 04 10:00:00 UTC 2012,11,217,207,188
Tue Sep 04 11:00:00 UTC 2012,13,196,193,179
Tue Sep 04 12:00:00 UTC 2012,14,209,208,197
Tue Sep 04 13:00:00 UTC 2012,11,216,214,200
Tue Sep 04 14:00:00 UTC 2012,13,193,197,195
Tue Sep 04 15:00:00 UTC 2012,10,188,188,181
Tue Sep 04 16:00:00 UTC 2012,19,207,209,203
Tue Sep 04 17:00:00 UTC 2012,16,210,203,190
Tue Sep 04 18:00:00 UTC 2012,15,196,201,198
Tue Sep 04 19:00:00 UTC 2012,17,202,201,187
Tue Sep 04 20:00:00 UTC 2012,22,200,205,196
Tue Sep 04 21:00:00 UTC 2012,35,200,203,196
Tue Sep 04 22:00:00 UTC 2012,29,214,210,202
Tue Sep 04 23:00:00 UTC 2012,13,211,203,187
Wed Sep 05 00:00:00 UTC 2012,15,205,201,186
Wed Sep 05 01:00:00 UTC 2012,3,250,249,246
Wed Sep 05 02:00:00 UTC 2012,2,230,212,179
Wed Sep 05 03:00:00 UTC 2012,4,229,222,202
Wed Sep 05 04:00:00 UTC 2012,2,179,196,146
Wed Sep 05 05:00:00 UTC 2012,0,-,-,-
Wed Sep 05 06:00:00 UTC 2012,3,232,217,186
Wed Sep 05 07:00:00 UTC 2012,1,195,148,126
Wed Sep 05 08:00:00 UTC 2012,9,208,202,199
Wed Sep 05 09:00:00 UTC 2012,11,206,200,191
Wed Sep 05 10:00:00 UTC 2012,8,211,199,178
Wed Sep 05 11:00:00 UTC 2012,7,204,205,195
Wed Sep 05 12:00:00 UTC 2012,14,200,199,188
Wed Sep 05 13:00:00 UTC 2012,6,210,204,187
Wed Sep 05 14:00:00 UTC 2012,10,194,196,182
Wed Sep 05 15:00:00 UTC 2012,18,206,202,189
Wed Sep 05 16:00:00 UTC 2012,6,198,204,199
Wed Sep 05 17:00:00 UTC 2012,13,212,205,191
Wed Sep 05 18:00:00 UTC 2012,23,199,195,181
Wed Sep 05 19:00:00 UTC 2012,20,201,204,198
Wed Sep 05 20:00:00 UTC 2012,23,205,200,196
Wed Sep 05 21:00:00 UTC 2012,22,201,199,197
Wed Sep 05 22:00:00 UTC 2012,15,211,213,202
Wed Sep 05 23:00:00 UTC 2012,0,-,-,-
Thu Sep 06 00:00:00 UTC 2012,0,-,-,-
Thu Sep 06 01:00:00 UTC 2012,3,204,199,186
Thu Sep 06 02:00:00 UTC 2012,3,213,204,177
Thu Sep 06 03:00:00 UTC 2012,2,228,226,201
Thu Sep 06 04:00:00 UTC 2012,0,-,-,-
Thu Sep 06 05:00:00 UTC 2012,0,-,-,-
Thu Sep 06 06:00:00 UTC 2012,1,213,214,168
Thu Sep 06 07:00:00 UTC 2012,2,206,207,182
Thu Sep 06 08:00:00 UTC 2012,7,204,207,211
Thu Sep 06 09:00:00 UTC 2012,6,210,201,184
Thu Sep 06 10:00:00 UTC 2012,13,200,202,195
Thu Sep 06 11:00:00 UTC 2012,18,202,204,200
Thu Sep 06 12:00:00 UTC 2012,14,201,208,201
Thu Sep 06 13:00:00 UTC 2012,13,206,206,190
Thu Sep 06 14:00:00 UTC 2012,20,200,198,186
Thu Sep 06 15:00:00 UTC 2012,20,210,206,192
Thu Sep 06 16:00:00 UTC 2012,13,205,196,182
Thu Sep 06 17:00:00 UTC 2012,17,206,197,182
Thu Sep 06 18:00:00 UTC 2012,16,203,197,180
Thu Sep 06 19:00:00 UTC 2012,15,206,199,189
Thu Sep 06 20:00:00 UTC 2012,21,195,199,194
Thu Sep 06 21:00:00 UTC 2012,15,207,205,188
Thu Sep 06 22:00:00 UTC 2012,15,209,203,187
Thu Sep 06 23:00:00 UTC 2012,18,216,210,199
Fri Sep 07 00:00:00 UTC 2012,11,204,203,184
Fri Sep 07 01:00:00 UTC 2012,2,166,172,171
Fri Sep 07 02:00:00 UTC 2012,1,214,237,212
Fri Sep 07 03:00:00 UTC 2012,0,-,-,-
Fri Sep 07 04:00:00 UTC 2012,0,-,-,-
Fri Sep 07 05:00:00 UTC 2012,1,199,91,185
Fri Sep 07 06:00:00 UTC 2012,0,-,-,-
Fri Sep 07 07:00:00 UTC 2012,2,219,214,206
Fri Sep 07 08:00:00 UTC 2012,5,209,202,174
Fri Sep 07 09:00:00 UTC 2012,10,200,197,177
Fri Sep 07 10:00:00 UTC 2012,15,215,211,198
Fri Sep 07 11:00:00 UTC 2012,19,204,206,195
Fri Sep 07 12:00:00 UTC 2012,17,214,211,198
Fri Sep 07 13:00:00 UTC 2012,14,233,235,215
Fri Sep 07 14:00:00 UTC 2012,20,213,204,193
Fri Sep 07 15:00:00 UTC 2012,28,208,201,185
Fri Sep 07 16:00:00 UTC 2012,17,216,208,187
Fri Sep 07 17:00:00 UTC 2012,20,200,195,185
Fri Sep 07 18:00:00 UTC 2012,12,214,208,194
Fri Sep 07 19:00:00 UTC 2012,14,212,204,191
Fri Sep 07 20:00:00 UTC 2012,12,215,205,187
Fri Sep 07 21:00:00 UTC 2012,7,208,204,191
Fri Sep 07 22:00:00 UTC 2012,8,196,188,168
Fri Sep 07 23:00:00 UTC 2012,19,201,194,180
Sat Sep 08 00:00:00 UTC 2012,17,198,197,206
Sat Sep 08 01:00:00 UTC 2012,9,214,209,186
Sat Sep 08 02:00:00 UTC 2012,9,198,194,200
Sat Sep 08 03:00:00 UTC 2012,12,204,199,187
Sat Sep 08 04:00:00 UTC 2012,2,207,190,166
Sat Sep 08 05:00:00 UTC 2012,2,228,225,187
Sat Sep 08 06:00:00 UTC 2012,2,183,189,189
Sat Sep 08 07:00:00 UTC 2012,0,-,-,-
Sat Sep 08 08:00:00 UTC 2012,4,197,190,183
Sat Sep 08 09:00:00 UTC 2012,10,204,194,193
Sat Sep 08 10:00:00 UTC 2012,13,211,206,183
Sat Sep 08 11:00:00 UTC 2012,20,213,207,196
Sat Sep 08 12:00:00 UTC 2012,18,203,202,190
Sat Sep 08 13:00:00 UTC 2012,18,203,201,190
Sat Sep 08 14:00:00 UTC 2012,19,212,203,189
Sat Sep 08 15:00:00 UTC 2012,22,204,203,195
Sat Sep 08 16:00:00 UTC 2012,17,200,199,185
Sat Sep 08 17:00:00 UTC 2012,19,205,199,186
Sat Sep 08 18:00:00 UTC 2012,22,206,205,190
Sat Sep 08 19:00:00 UTC 2012,18,212,209,193
Sat Sep 08 20:00:00 UTC 2012,13,214,211,191
Sat Sep 08 21:00:00 UTC 2012,7,193,191,184
Sat Sep 08 22:00:00 UTC 2012,9,222,206,186
Sat Sep 08 23:00:00 UTC 2012,13,217,207,184
Sun Sep 09 00:00:00 UTC 2012,18,210,204,188
Sun Sep 09 01:00:00 UTC 2012,7,211,214,190
Sun Sep 09 02:00:00 UTC 2012,3,214,198,184
Sun Sep 09 03:00:00 UTC 2012,15,203,197,182
Sun Sep 09 04:00:00 UTC 2012,5,200,208,213
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,2,205,184,163
Sun Sep 09 07:00:00 UTC 2012,1,219,208,198
Sun Sep 09 08:00:00 UTC 2012,3,190,163,146
Sun Sep 09 09:00:00 UTC 2012,7,219,210,191
Sun Sep 09 10:00:00 UTC 2012,17,198,193,189
Sun Sep 09 11:00:00 UTC 2012,13,204,205,195
Sun Sep 09 12:00:00 UTC 2012,15,203,200,183
Sun Sep 09 13:00:00 UTC 2012,11,214,209,193
Sun Sep 09 14:00:00 UTC 2012,16,205,202,186
Sun Sep 09 15:00:00 UTC 2012,17,203,199,188
Sun Sep 09 16:00:00 UTC 2012,47,205,205,192
Sun Sep 09 17:00:00 UTC 2012,31,210,208,197
Sun Sep 09 18:00:00 UTC 2012,18,210,209,205
Sun Sep 09 19:00:00 UTC 2012,23,205,207,191
Sun Sep 09 20:00:00 UTC 2012,17,169,171,169
Sun Sep 09 21:00:00 UTC 2012,7,191,189,181
Sun Sep 09 22:00:00 UTC 2012,17,223,206,192
Sun Sep 09 23:00:00 UTC 2012,15,194,195,180
