time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,3,206,207,192
Mon Sep 03 01:00:00 UTC 2012,1,15,12,37
Mon Sep 03 02:00:00 UTC 2012,2,74,56,64
Mon Sep 03 03:00:00 UTC 2012,1,41,9,42
Mon Sep 03 04:00:00 UTC 2012,1,11,8,24
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,2,183,191,179
Mon Sep 03 07:00:00 UTC 2012,3,207,200,189
Mon Sep 03 08:00:00 UTC 2012,11,70,54,78
Mon Sep 03 09:00:00 UTC 2012,13,206,202,188
Mon Sep 03 10:00:00 UTC 2012,13,208,210,201
Mon Sep 03 11:00:00 UTC 2012,5,60,41,50
Mon Sep 03 12:00:00 UTC 2012,12,54,43,41
Mon Sep 03 13:00:00 UTC 2012,12,210,206,186
Mon Sep 03 14:00:00 UTC 2012,18,84,67,76
Mon Sep 03 15:00:00 UTC 2012,9,60,52,49
Mon Sep 03 16:00:00 UTC 2012,20,56,47,56
Mon Sep 03 17:00:00 UTC 2012,14,82,73,79
Mon Sep 03 18:00:00 UTC 2012,20,204,201,188
Mon Sep 03 19:00:00 UTC 2012,18,82,71,70
Mon Sep 03 20:00:00 UTC 2012,19,85,69,67
Mon Sep 03 21:00:00 UTC 2012,11,51,38,48
Mon Sep 03 22:00:00 UTC 2012,18,86,72,65
Mon Sep 03 23:00:00 UTC 2012,2,98,103,103
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,6,135,136,131
Tue Sep 04 02:00:00 UTC 2012,1,28,0,26
Tue Sep 04 03:00:00 UTC 2012,1,63,50,35
Tue Sep 04 04:00:00 UTC 2012,3,62,32,45
Tue Sep 04 05:00:00 UTC 2012,1,216,205,186
Tue Sep 04 06:00:00 UTC 2012,1,43,40,35
Tue Sep 04 07:00:00 UTC 2012,4,70,44,46
Tue Sep 04 08:00:00 UTC 2012,9,202,202,189
Tue Sep 04 09:00:00 UTC 2012,12,201,200,192
Tue Sep 04 10:00:00 UTC 2012,11,65,44,49
Tue Sep 04 11:00:00 UTC 2012,13,196,193,179
Tue Sep 04 12:00:00 UTC 2012,14,54,39,50
Tue Sep 04 13:00:00 UTC 2012,11,83,70,75
Tue Sep 04 14:00:00 UTC 2012,13,193,197,195
Tue Sep 04 15:00:00 UTC 2012,10,93,127,153
Tue Sep 04 16:00:00 UTC 2012,19,207,209,203
Tue Sep 04 17:00:00 UTC 2012,16,59,41,52
Tue Sep 04 18:00:00 UTC 2012,15,134,130,125
Tue Sep 04 19:00:00 UTC 2012,17,202,201,187
Tue Sep 04 20:00:00 UTC 2012,22,77,59,67
Tue Sep 04 21:00:00 UTC 2012,35,79,64,75
Tue Sep 04 22:00:00 UTC 2012,29,77,60,71
Tue Sep 04 23:00:00 UTC 2012,13,82,60,64
Wed Sep 05 00:00:00 UTC 2012,15,58,44,53
Wed Sep 05 01:00:00 UTC 2012,3,12,11,9
Wed Sep 05 02:00:00 UTC 2012,2,61,46,78
Wed Sep 05 03:00:00 UTC 2012,4,84,65,54
Wed Sep 05 04:00:00 UTC 2012,2,5,4,8
Wed Sep 05 05:00:00 UTC 2012,0,-,-,-
Wed Sep 05 06:00:00 UTC 2012,3,27,17,15
Wed Sep 05 07:00:00 UTC 2012,1,14,10,33
Wed Sep 05 08:00:00 UTC 2012,9,208,202,199
Wed Sep 05 09:00:00 UTC 2012,11,63,50,54
Wed Sep 05 10:00:00 UTC 2012,8,23,17,22
Wed Sep 05 11:00:00 UTC 2012,7,77,76,68
Wed Sep 05 12:00:00 UTC 2012,14,200,199,188
Wed Sep 05 13:00:00 UTC 2012,6,65,43,50
Wed Sep 05 14:00:00 UTC 2012,10,194,196,182
Wed Sep 05 15:00:00 UTC 2012,18,88,76,76
Wed Sep 05 16:00:00 UTC 2012,6,198,204,199
Wed Sep 05 17:00:00 UTC 2012,13,53,39,47
Wed Sep 05 18:00:00 UTC 2012,23,62,44,56
Wed Sep 05 19:00:00 UTC 2012,20,201,204,198
Wed Sep 05 20:00:00 UTC 2012,23,53,30,46
Wed Sep 05 21:00:00 UTC 2012,22,45,25,48
Wed Sep 05 22:00:00 UTC 2012,15,16,11,16
Wed Sep 05 23:00:00 UTC 2012,0,-,-,-
Thu Sep 06 00:00:00 UTC 2012,0,-,-,-
Thu Sep 06 01:00:00 UTC 2012,3,204,199,186
Thu Sep 06 02:00:00 UTC 2012,3,38,23,35
Thu Sep 06 03:00:00 UTC 2012,2,52,38,49
Thu Sep 06 04:00:00 UTC 2012,0,-,-,-
Thu Sep 06 05:00:00 UTC 2012,0,-,-,-
Thu Sep 06 06:00:00 UTC 2012,1,213,214,168
Thu Sep 06 07:00:00 UTC 2012,2,206,207,182
Thu Sep 06 08:00:00 UTC 2012,7,204,207,211
Thu Sep 06 09:00:00 UTC 2012,6,60,48,74
Thu Sep 06 10:00:00 UTC 2012,13,200,202,195
Thu Sep 06 11:00:00 UTC 2012,18,48,41,45
Thu Sep 06 12:00:00 UTC 2012,14,201,208,201
Thu Sep 06 13:00:00 UTC 2012,13,206,206,190
Thu Sep 06 14:00:00 UTC 2012,20,82,64,68
Thu Sep 06 15:00:00 UTC 2012,20,210,206,192
Thu Sep 06 16:00:00 UTC 2012,13,58,44,50
Thu Sep 06 17:00:00 UTC 2012,17,206,197,182
Thu Sep 06 18:00:00 UTC 2012,16,203,197,180
Thu Sep 06 19:00:00 UTC 2012,15,71,62,76
Thu Sep 06 20:00:00 UTC 2012,21,78,60,63
Thu Sep 06 21:00:00 UTC 2012,15,54,28,36
Thu Sep 06 22:00:00 UTC 2012,15,80,61,60
Thu Sep 06 23:00:00 UTC 2012,18,44,30,44
Fri Sep 07 00:00:00 UTC 2012,11,17,6,22
Fri Sep 07 01:00:00 UTC 2012,2,41,10,23
Fri Sep 07 02:00:00 UTC 2012,1,9,24,11
Fri Sep 07 03:00:00 UTC 2012,0,-,-,-
Fri Sep 07 04:00:00 UTC 2012,0,-,-,-
Fri Sep 07 05:00:00 UTC 2012,1,30,9,27
Fri Sep 07 06:00:00 UTC 2012,0,-,-,-
Fri Sep 07 07:00:00 UTC 2012,2,14,12,14
Fri Sep 07 08:00:00 UTC 2012,5,50,37,44
Fri Sep 07 09:00:00 UTC 2012,10,200,197,177
Fri Sep 07 10:00:00 UTC 2012,15,215,211,198
Fri Sep 07 11:00:00 UTC 2012,19,204,206,195
Fri Sep 07 12:00:00 UTC 2012,17,50,41,49
Fri Sep 07 13:00:00 UTC 2012,14,57,42,45
Fri Sep 07 14:00:00 UTC 2012,20,55,43,42
Fri Sep 07 15:00:00 UTC 2012,28,208,201,185
Fri Sep 07 16:00:00 UTC 2012,17,216,208,187
Fri Sep 07 17:00:00 UTC 2012,20,200,195,185
Fri Sep 07 18:00:00 UTC 2012,12,58,43,44
Fri Sep 07 19:00:00 UTC 2012,14,212,204,191
Fri Sep 07 20:00:00 UTC 2012,12,59,34,49
Fri Sep 07 21:00:00 UTC 2012,7,82,55,66
