time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,3,189,78,18
Mon Sep 03 01:00:00 UTC 2012,1,15,12,37
Mon Sep 03 02:00:00 UTC 2012,2,145,101,96
Mon Sep 03 03:00:00 UTC 2012,1,41,9,42
Mon Sep 03 04:00:00 UTC 2012,1,11,8,24
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,2,45,35,39
Mon Sep 03 07:00:00 UTC 2012,3,97,164,193
Mon Sep 03 08:00:00 UTC 2012,11,29,16,27
Mon Sep 03 09:00:00 UTC 2012,13,23,15,19
Mon Sep 03 10:00:00 UTC 2012,13,30,21,23
Mon Sep 03 11:00:00 UTC 2012,5,153,99,81
Mon Sep 03 12:00:00 UTC 2012,12,169,67,59
Mon Sep 03 13:00:00 UTC 2012,12,173,156,103
Mon Sep 03 14:00:00 UTC 2012,18,28,20,35
Mon Sep 03 15:00:00 UTC 2012,9,176,64,62
Mon Sep 03 16:00:00 UTC 2012,20,167,65,73
Mon Sep 03 17:00:00 UTC 2012,14,32,23,31
Mon Sep 03 18:00:00 UTC 2012,20,157,95,86
Mon Sep 03 19:00:00 UTC 2012,18,166,116,89
Mon Sep 03 20:00:00 UTC 2012,19,146,116,107
Mon Sep 03 21:00:00 UTC 2012,11,181,51,64
Mon Sep 03 22:00:00 UTC 2012,18,164,125,87
Mon Sep 03 23:00:00 UTC 2012,2,54,62,24
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,6,21,31,194
Tue Sep 04 02:00:00 UTC 2012,1,28,0,26
Tue Sep 04 03:00:00 UTC 2012,1,156,104,31
Tue Sep 04 04:00:00 UTC 2012,3,172,41,80
Tue Sep 04 05:00:00 UTC 2012,1,169,60,52
Tue Sep 04 06:00:00 UTC 2012,1,205,187,147
Tue Sep 04 07:00:00 UTC 2012,4,150,92,69
Tue Sep 04 08:00:00 UTC 2012,9,25,20,29
Tue Sep 04 09:00:00 UTC 2012,12,149,124,100
Tue Sep 04 10:00:00 UTC 2012,11,186,81,75
Tue Sep 04 11:00:00 UTC 2012,13,163,115,84
Tue Sep 04 12:00:00 UTC 2012,14,170,65,65
Tue Sep 04 13:00:00 UTC 2012,11,159,123,102
Tue Sep 04 14:00:00 UTC 2012,13,139,112,124
Tue Sep 04 15:00:00 UTC 2012,10,197,170,79
Tue Sep 04 16:00:00 UTC 2012,19,147,112,110
Tue Sep 04 17:00:00 UTC 2012,16,166,76,68
Tue Sep 04 18:00:00 UTC 2012,15,27,20,25
Tue Sep 04 19:00:00 UTC 2012,17,159,128,107
Tue Sep 04 20:00:00 UTC 2012,22,145,99,99
Tue Sep 04 21:00:00 UTC 2012,35,23,13,23
Tue Sep 04 22:00:00 UTC 2012,29,30,18,28
Tue Sep 04 23:00:00 UTC 2012,13,170,126,87
Wed Sep 05 00:00:00 UTC 2012,15,152,96,81
Wed Sep 05 01:00:00 UTC 2012,3,250,249,246
Wed Sep 05 02:00:00 UTC 2012,2,230,212,179
Wed Sep 05 03:00:00 UTC 2012,4,170,121,54
Wed Sep 05 04:00:00 UTC 2012,2,149,53,30
Wed Sep 05 05:00:00 UTC 2012,0,-,-,-
Wed Sep 05 06:00:00 UTC 2012,3,183,116,56
Wed Sep 05 07:00:00 UTC 2012,1,14,10,33
Wed Sep 05 08:00:00 UTC 2012,9,29,17,18
Wed Sep 05 09:00:00 UTC 2012,11,159,104,87
Wed Sep 05 10:00:00 UTC 2012,8,211,199,178
Wed Sep 05 11:00:00 UTC 2012,7,154,115,82
Wed Sep 05 12:00:00 UTC 2012,14,186,77,79
Wed Sep 05 13:00:00 UTC 2012,6,157,90,73
Wed Sep 05 14:00:00 UTC 2012,10,25,15,35
Wed Sep 05 15:00:00 UTC 2012,18,156,127,102
Wed Sep 05 16:00:00 UTC 2012,6,15,10,25
Wed Sep 05 17:00:00 UTC 2012,13,162,90,72
Wed Sep 05 18:00:00 UTC 2012,23,159,91,84
Wed Sep 05 19:00:00 UTC 2012,20,24,13,19
Wed Sep 05 20:00:00 UTC 2012,23,171,79,69
Wed Sep 05 21:00:00 UTC 2012,22,168,77,72
Wed Sep 05 22:00:00 UTC 2012,15,16,11,16
Wed Sep 05 23:00:00 UTC 2012,0,-,-,-
Thu Sep 06 00:00:00 UTC 2012,0,-,-,-
Thu Sep 06 01:00:00 UTC 2012,3,26,21,41
Thu Sep 06 02:00:00 UTC 2012,3,183,84,62
Thu Sep 06 03:00:00 UTC 2012,2,208,182,82
Thu Sep 06 04:00:00 UTC 2012,0,-,-,-
Thu Sep 06 05:00:00 UTC 2012,0,-,-,-
Thu Sep 06 06:00:00 UTC 2012,1,213,214,168
Thu Sep 06 07:00:00 UTC 2012,2,62,38,65
Thu Sep 06 08:00:00 UTC 2012,7,48,39,49
Thu Sep 06 09:00:00 UTC 2012,6,210,201,184
Thu Sep 06 10:00:00 UTC 2012,13,150,130,109
Thu Sep 06 11:00:00 UTC 2012,18,200,179,74
Thu Sep 06 12:00:00 UTC 2012,14,32,25,31
Thu Sep 06 13:00:00 UTC 2012,13,184,165,103
Thu Sep 06 14:00:00 UTC 2012,20,28,17,27
Thu Sep 06 15:00:00 UTC 2012,20,25,14,22
Thu Sep 06 16:00:00 UTC 2012,13,188,153,105
Thu Sep 06 17:00:00 UTC 2012,17,206,197,182
Thu Sep 06 18:00:00 UTC 2012,16,30,18,32
Thu Sep 06 19:00:00 UTC 2012,15,163,130,107
Thu Sep 06 20:00:00 UTC 2012,21,162,124,84
Thu Sep 06 21:00:00 UTC 2012,15,172,50,39
Thu Sep 06 22:00:00 UTC 2012,15,30,16,25
Thu Sep 06 23:00:00 UTC 2012,18,184,59,51
Fri Sep 07 00:00:00 UTC 2012,11,17,6,22
Fri Sep 07 01:00:00 UTC 2012,2,41,10,23
Fri Sep 07 02:00:00 UTC 2012,1,73,190,79
Fri Sep 07 03:00:00 UTC 2012,0,-,-,-
Fri Sep 07 04:00:00 UTC 2012,0,-,-,-
Fri Sep 07 05:00:00 UTC 2012,1,84,25,68
Fri Sep 07 06:00:00 UTC 2012,0,-,-,-
Fri Sep 07 07:00:00 UTC 2012,2,173,138,93
Fri Sep 07 08:00:00 UTC 2012,5,177,150,110
Fri Sep 07 09:00:00 UTC 2012,10,170,116,67
Fri Sep 07 10:00:00 UTC 2012,15,25,17,30
Fri Sep 07 11:00:00 UTC 2012,19,157,126,102
Fri Sep 07 12:00:00 UTC 2012,17,173,57,61
Fri Sep 07 13:00:00 UTC 2012,14,233,235,215
Fri Sep 07 14:00:00 UTC 2012,20,179,68,51
Fri Sep 07 15:00:00 UTC 2012,28,30,17,31
Fri Sep 07 16:00:00 UTC 2012,17,155,100,87
Fri Sep 07 17:00:00 UTC 2012,20,21,17,29
Fri Sep 07 18:00:00 UTC 2012,12,170,80,52
Fri Sep 07 19:00:00 UTC 2012,14,200,169,79
Fri Sep 07 20:00:00 UTC 2012,12,164,77,65
Fri Sep 07 21:00:00 UTC 2012,7,34,20,32
Fri Sep 07 22:00:00 UTC 2012,8,177,58,47
Fri Sep 07 23:00:00 UTC 2012,19,33,17,29
Sat Sep 08 00:00:00 UTC 2012,17,22,12,31
Sat Sep 08 01:00:00 UTC 2012,9,32,15,36
Sat Sep 08 02:00:00 UTC 2012,9,31,48,209
Sat Sep 08 03:00:00 UTC 2012,12,30,17,26
Sat Sep 08 04:00:00 UTC 2012,2,36,7,31
Sat Sep 08 05:00:00 UTC 2012,2,16,9,35
Sat Sep 08 06:00:00 UTC 2012,2,37,38,211
Sat Sep 08 07:00:00 UTC 2012,0,-,-,-
Sat Sep 08 08:00:00 UTC 2012,4,182,159,85
Sat Sep 08 09:00:00 UTC 2012,10,32,10,12
Sat Sep 08 10:00:00 UTC 2012,13,171,123,89
Sat Sep 08 11:00:00 UTC 2012,20,162,73,65
Sat Sep 08 12:00:00 UTC 2012,18,158,98,82
Sat Sep 08 13:00:00 UTC 2012,18,152,96,81
Sat Sep 08 14:00:00 UTC 2012,19,23,18,28
Sat Sep 08 15:00:00 UTC 2012,22,152,121,106
Sat Sep 08 16:00:00 UTC 2012,17,161,130,98
Sat Sep 08 17:00:00 UTC 2012,19,20,14,22
Sat Sep 08 18:00:00 UTC 2012,22,32,22,27
Sat Sep 08 19:00:00 UTC 2012,18,26,19,30
Sat Sep 08 20:00:00 UTC 2012,13,30,16,34
Sat Sep 08 21:00:00 UTC 2012,7,27,17,30
Sat Sep 08 22:00:00 UTC 2012,9,20,11,26
Sat Sep 08 23:00:00 UTC 2012,13,26,13,30
Sun Sep 09 00:00:00 UTC 2012,18,23,14,21
Sun Sep 09 01:00:00 UTC 2012,7,20,8,19
Sun Sep 09 02:00:00 UTC 2012,3,26,10,26
Sun Sep 09 03:00:00 UTC 2012,15,163,86,61
Sun Sep 09 04:00:00 UTC 2012,5,24,18,28
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,2,168,116,85
Sun Sep 09 07:00:00 UTC 2012,1,35,194,216
Sun Sep 09 08:00:00 UTC 2012,3,27,13,10
Sun Sep 09 09:00:00 UTC 2012,7,22,14,32
Sun Sep 09 10:00:00 UTC 2012,17,28,18,30
Sun Sep 09 11:00:00 UTC 2012,13,146,128,107
Sun Sep 09 12:00:00 UTC 2012,15,171,71,71
Sun Sep 09 13:00:00 UTC 2012,11,177,165,90
Sun Sep 09 14:00:00 UTC 2012,16,30,17,31
Sun Sep 09 15:00:00 UTC 2012,17,28,20,32
Sun Sep 09 16:00:00 UTC 2012,47,28,16,25
Sun Sep 09 17:00:00 UTC 2012,31,168,91,64
Sun Sep 09 18:00:00 UTC 2012,18,23,17,22
Sun Sep 09 19:00:00 UTC 2012,23,20,13,24
Sun Sep 09 20:00:00 UTC 2012,17,174,45,60
Sun Sep 09 21:00:00 UTC 2012,7,161,73,82
Sun Sep 09 22:00:00 UTC 2012,17,183,57,59
Sun Sep 09 23:00:00 UTC 2012,15,161,122,93
