time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,1,164,202,224
Mon Sep 03 01:00:00 UTC 2012,0,-,-,-
Mon Sep 03 02:00:00 UTC 2012,0,-,-,-
Mon Sep 03 03:00:00 UTC 2012,0,-,-,-
Mon Sep 03 04:00:00 UTC 2012,0,-,-,-
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,0,-,-,-
Mon Sep 03 07:00:00 UTC 2012,0,-,-,-
Mon Sep 03 08:00:00 UTC 2012,0,-,-,-
Mon Sep 03 09:00:00 UTC 2012,0,-,-,-
Mon Sep 03 10:00:00 UTC 2012,1,232,231,209
Mon Sep 03 11:00:00 UTC 2012,1,195,176,66
Mon Sep 03 12:00:00 UTC 2012,0,-,-,-
Mon Sep 03 13:00:00 UTC 2012,0,-,-,-
Mon Sep 03 14:00:00 UTC 2012,1,150,112,89
Mon Sep 03 15:00:00 UTC 2012,0,-,-,-
Mon Sep 03 16:00:00 UTC 2012,2,84,134,168
Mon Sep 03 17:00:00 UTC 2012,1,75,29,23
Mon Sep 03 18:00:00 UTC 2012,0,-,-,-
Mon Sep 03 19:00:00 UTC 2012,5,193,147,105
Mon Sep 03 20:00:00 UTC 2012,3,205,149,105
Mon Sep 03 21:00:00 UTC 2012,0,-,-,-
Mon Sep 03 22:00:00 UTC 2012,0,-,-,-
Mon Sep 03 23:00:00 UTC 2012,0,-,-,-
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,0,-,-,-
Tue Sep 04 02:00:00 UTC 2012,0,-,-,-
Tue Sep 04 03:00:00 UTC 2012,0,-,-,-
Tue Sep 04 04:00:00 UTC 2012,0,-,-,-
Tue Sep 04 05:00:00 UTC 2012,0,-,-,-
Tue Sep 04 06:00:00 UTC 2012,0,-,-,-
Tue Sep 04 07:00:00 UTC 2012,0,-,-,-
Tue Sep 04 08:00:00 UTC 2012,0,-,-,-
Tue Sep 04 09:00:00 UTC 2012,0,-,-,-
Tue Sep 04 10:00:00 UTC 2012,0,-,-,-
Tue Sep 04 11:00:00 UTC 2012,1,211,6,7
