time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,77,154,135,126
Mon Sep 03 01:00:00 UTC 2012,20,152,139,132
Mon Sep 03 02:00:00 UTC 2012,10,156,142,122
Mon Sep 03 03:00:00 UTC 2012,18,157,144,136
Mon Sep 03 04:00:00 UTC 2012,5,162,130,124
Mon Sep 03 05:00:00 UTC 2012,5,246,243,228
Mon Sep 03 06:00:00 UTC 2012,12,139,133,144
Mon Sep 03 07:00:00 UTC 2012,38,205,173,160
Mon Sep 03 08:00:00 UTC 2012,61,159,134,121
Mon Sep 03 09:00:00 UTC 2012,104,153,137,132
Mon Sep 03 10:00:00 UTC 2012,71,151,137,129
Mon Sep 03 11:00:00 UTC 2012,101,155,138,132
Mon Sep 03 12:00:00 UTC 2012,109,151,136,132
Mon Sep 03 13:00:00 UTC 2012,129,152,138,133
Mon Sep 03 14:00:00 UTC 2012,183,155,137,128
Mon Sep 03 15:00:00 UTC 2012,148,150,137,135
Mon Sep 03 16:00:00 UTC 2012,132,153,135,128
Mon Sep 03 17:00:00 UTC 2012,142,154,133,128
Mon Sep 03 18:00:00 UTC 2012,169,154,135,130
Mon Sep 03 19:00:00 UTC 2012,174,154,137,129
Mon Sep 03 20:00:00 UTC 2012,132,154,132,122
Mon Sep 03 21:00:00 UTC 2012,130,216,200,180
Mon Sep 03 22:00:00 UTC 2012,37,219,206,182
Mon Sep 03 23:00:00 UTC 2012,0,-,-,-
Tue Sep 04 00:00:00 UTC 2012,35,156,133,121
Tue Sep 04 01:00:00 UTC 2012,37,146,134,130
Tue Sep 04 02:00:00 UTC 2012,31,154,131,127
Tue Sep 04 03:00:00 UTC 2012,8,139,138,143
Tue Sep 04 04:00:00 UTC 2012,9,148,139,140
Tue Sep 04 05:00:00 UTC 2012,4,160,139,128
Tue Sep 04 06:00:00 UTC 2012,28,149,137,134
Tue Sep 04 07:00:00 UTC 2012,37,159,135,127
Tue Sep 04 08:00:00 UTC 2012,76,149,139,133
Tue Sep 04 09:00:00 UTC 2012,97,149,139,137
Tue Sep 04 10:00:00 UTC 2012,135,154,135,128
Tue Sep 04 11:00:00 UTC 2012,122,151,135,131
Tue Sep 04 12:00:00 UTC 2012,126,148,138,133
Tue Sep 04 13:00:00 UTC 2012,139,152,135,131
Tue Sep 04 14:00:00 UTC 2012,146,151,137,137
Tue Sep 04 15:00:00 UTC 2012,147,153,137,132
Tue Sep 04 16:00:00 UTC 2012,131,153,136,129
Tue Sep 04 17:00:00 UTC 2012,126,153,139,132
Tue Sep 04 18:00:00 UTC 2012,192,156,136,128
Tue Sep 04 19:00:00 UTC 2012,185,153,135,128
Tue Sep 04 20:00:00 UTC 2012,164,223,199,180
Tue Sep 04 21:00:00 UTC 2012,157,155,129,119
Tue Sep 04 22:00:00 UTC 2012,125,158,130,119
Tue Sep 04 23:00:00 UTC 2012,107,218,204,187
Wed Sep 05 00:00:00 UTC 2012,49,156,137,124
Wed Sep 05 01:00:00 UTC 2012,29,152,129,127
Wed Sep 05 02:00:00 UTC 2012,18,153,128,131
Wed Sep 05 03:00:00 UTC 2012,7,242,241,226
Wed Sep 05 04:00:00 UTC 2012,1,161,138,118
Wed Sep 05 05:00:00 UTC 2012,1,159,132,115
Wed Sep 05 06:00:00 UTC 2012,11,155,142,141
Wed Sep 05 07:00:00 UTC 2012,22,154,139,129
Wed Sep 05 08:00:00 UTC 2012,85,140,135,138
Wed Sep 05 09:00:00 UTC 2012,97,147,133,134
Wed Sep 05 10:00:00 UTC 2012,122,150,133,133
Wed Sep 05 11:00:00 UTC 2012,99,150,134,133
Wed Sep 05 12:00:00 UTC 2012,102,152,136,131
Wed Sep 05 13:00:00 UTC 2012,133,148,131,131
Wed Sep 05 14:00:00 UTC 2012,171,150,132,129
Wed Sep 05 15:00:00 UTC 2012,68,148,135,137
Wed Sep 05 16:00:00 UTC 2012,202,151,137,134
Wed Sep 05 17:00:00 UTC 2012,167,152,135,130
Wed Sep 05 18:00:00 UTC 2012,211,150,133,132
Wed Sep 05 19:00:00 UTC 2012,195,154,133,127
Wed Sep 05 20:00:00 UTC 2012,168,148,129,127
Wed Sep 05 21:00:00 UTC 2012,88,213,194,180
Wed Sep 05 22:00:00 UTC 2012,0,-,-,-
Wed Sep 05 23:00:00 UTC 2012,0,-,-,-
Thu Sep 06 00:00:00 UTC 2012,14,155,138,132
Thu Sep 06 01:00:00 UTC 2012,27,148,136,129
Thu Sep 06 02:00:00 UTC 2012,10,226,200,174
Thu Sep 06 03:00:00 UTC 2012,8,163,126,102
Thu Sep 06 04:00:00 UTC 2012,3,200,175,158
Thu Sep 06 05:00:00 UTC 2012,3,231,228,224
Thu Sep 06 06:00:00 UTC 2012,16,222,202,178
Thu Sep 06 07:00:00 UTC 2012,25,155,134,122
Thu Sep 06 08:00:00 UTC 2012,52,148,136,134
Thu Sep 06 09:00:00 UTC 2012,49,152,128,127
Thu Sep 06 10:00:00 UTC 2012,121,150,137,134
Thu Sep 06 11:00:00 UTC 2012,121,152,133,131
Thu Sep 06 12:00:00 UTC 2012,134,157,135,126
Thu Sep 06 13:00:00 UTC 2012,171,155,137,129
Thu Sep 06 14:00:00 UTC 2012,119,155,136,127
Thu Sep 06 15:00:00 UTC 2012,136,157,136,127
Thu Sep 06 16:00:00 UTC 2012,153,155,135,129
Thu Sep 06 17:00:00 UTC 2012,127,151,137,134
Thu Sep 06 18:00:00 UTC 2012,192,154,135,131
Thu Sep 06 19:00:00 UTC 2012,284,156,130,126
Thu Sep 06 20:00:00 UTC 2012,226,220,197,180
Thu Sep 06 21:00:00 UTC 2012,179,219,200,185
Thu Sep 06 22:00:00 UTC 2012,191,155,126,119
Thu Sep 06 23:00:00 UTC 2012,112,153,128,125
Fri Sep 07 00:00:00 UTC 2012,58,158,137,128
Fri Sep 07 01:00:00 UTC 2012,40,216,195,190
Fri Sep 07 02:00:00 UTC 2012,17,151,132,133
Fri Sep 07 03:00:00 UTC 2012,10,242,242,239
Fri Sep 07 04:00:00 UTC 2012,10,178,185,182
Fri Sep 07 05:00:00 UTC 2012,30,160,141,132
Fri Sep 07 06:00:00 UTC 2012,17,150,136,136
Fri Sep 07 07:00:00 UTC 2012,55,196,173,170
Fri Sep 07 08:00:00 UTC 2012,65,146,134,135
Fri Sep 07 09:00:00 UTC 2012,123,146,134,138
Fri Sep 07 10:00:00 UTC 2012,169,148,132,133
Fri Sep 07 11:00:00 UTC 2012,144,151,133,131
Fri Sep 07 12:00:00 UTC 2012,124,151,131,129
Fri Sep 07 13:00:00 UTC 2012,153,148,134,135
Fri Sep 07 14:00:00 UTC 2012,154,152,132,129
Fri Sep 07 15:00:00 UTC 2012,175,148,135,134
Fri Sep 07 16:00:00 UTC 2012,161,149,133,134
Fri Sep 07 17:00:00 UTC 2012,184,147,133,135
Fri Sep 07 18:00:00 UTC 2012,213,148,134,133
Fri Sep 07 19:00:00 UTC 2012,242,154,132,127
Fri Sep 07 20:00:00 UTC 2012,165,153,128,122
Fri Sep 07 21:00:00 UTC 2012,105,214,201,189
Fri Sep 07 22:00:00 UTC 2012,146,153,127,122
Fri Sep 07 23:00:00 UTC 2012,92,155,127,118
Sat Sep 08 00:00:00 UTC 2012,70,154,126,120
Sat Sep 08 01:00:00 UTC 2012,44,154,134,122
Sat Sep 08 02:00:00 UTC 2012,27,152,119,121
Sat Sep 08 03:00:00 UTC 2012,10,159,128,119
Sat Sep 08 04:00:00 UTC 2012,2,167,77,66
Sat Sep 08 05:00:00 UTC 2012,0,-,-,-
Sat Sep 08 06:00:00 UTC 2012,11,159,129,125
