time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,2,175,59,74
Mon Sep 03 01:00:00 UTC 2012,0,-,-,-
Mon Sep 03 02:00:00 UTC 2012,3,201,155,84
Mon Sep 03 03:00:00 UTC 2012,2,75,63,69
Mon Sep 03 04:00:00 UTC 2012,0,-,-,-
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,0,-,-,-
Mon Sep 03 07:00:00 UTC 2012,0,-,-,-
Mon Sep 03 08:00:00 UTC 2012,2,159,77,78
Mon Sep 03 09:00:00 UTC 2012,0,-,-,-
Mon Sep 03 10:00:00 UTC 2012,1,0,0,0
Mon Sep 03 11:00:00 UTC 2012,0,-,-,-
Mon Sep 03 12:00:00 UTC 2012,2,42,75,141
Mon Sep 03 13:00:00 UTC 2012,1,51,5,60
Mon Sep 03 14:00:00 UTC 2012,1,16,21,40
Mon Sep 03 15:00:00 UTC 2012,0,-,-,-
Mon Sep 03 16:00:00 UTC 2012,1,144,134,105
Mon Sep 03 17:00:00 UTC 2012,4,189,153,43
Mon Sep 03 18:00:00 UTC 2012,10,156,90,69
Mon Sep 03 19:00:00 UTC 2012,5,179,75,51
Mon Sep 03 20:00:00 UTC 2012,2,23,6,5
Mon Sep 03 21:00:00 UTC 2012,5,159,96,52
Mon Sep 03 22:00:00 UTC 2012,2,25,13,16
Mon Sep 03 23:00:00 UTC 2012,0,-,-,-
Tue Sep 04 00:00:00 UTC 2012,2,157,120,94
Tue Sep 04 01:00:00 UTC 2012,0,-,-,-
Tue Sep 04 02:00:00 UTC 2012,0,-,-,-
Tue Sep 04 03:00:00 UTC 2012,0,-,-,-
Tue Sep 04 04:00:00 UTC 2012,0,-,-,-
Tue Sep 04 05:00:00 UTC 2012,0,-,-,-
Tue Sep 04 06:00:00 UTC 2012,1,207,202,31
Tue Sep 04 07:00:00 UTC 2012,1,163,67,22
Tue Sep 04 08:00:00 UTC 2012,2,183,159,106
Tue Sep 04 09:00:00 UTC 2012,2,21,12,8
Tue Sep 04 10:00:00 UTC 2012,2,141,142,119
Tue Sep 04 11:00:00 UTC 2012,2,167,67,79
Tue Sep 04 12:00:00 UTC 2012,3,160,126,95
Tue Sep 04 13:00:00 UTC 2012,5,188,197,205
Tue Sep 04 14:00:00 UTC 2012,0,-,-,-
Tue Sep 04 15:00:00 UTC 2012,3,104,144,215
Tue Sep 04 16:00:00 UTC 2012,5,160,94,81
Tue Sep 04 17:00:00 UTC 2012,4,231,196,90
Tue Sep 04 18:00:00 UTC 2012,2,170,71,36
Tue Sep 04 19:00:00 UTC 2012,0,-,-,-
Tue Sep 04 20:00:00 UTC 2012,1,0,0,0
Tue Sep 04 21:00:00 UTC 2012,7,146,105,93
Tue Sep 04 22:00:00 UTC 2012,2,194,150,96
Tue Sep 04 23:00:00 UTC 2012,2,28,19,18
Wed Sep 05 00:00:00 UTC 2012,0,-,-,-
Wed Sep 05 01:00:00 UTC 2012,2,160,84,76
Wed Sep 05 02:00:00 UTC 2012,0,-,-,-
Wed Sep 05 03:00:00 UTC 2012,0,-,-,-
Wed Sep 05 04:00:00 UTC 2012,0,-,-,-
Wed Sep 05 05:00:00 UTC 2012,0,-,-,-
Wed Sep 05 06:00:00 UTC 2012,1,174,194,221
Wed Sep 05 07:00:00 UTC 2012,0,-,-,-
Wed Sep 05 08:00:00 UTC 2012,0,-,-,-
Wed Sep 05 09:00:00 UTC 2012,1,22,18,47
Wed Sep 05 10:00:00 UTC 2012,3,217,147,85
Wed Sep 05 11:00:00 UTC 2012,2,222,161,9
Wed Sep 05 12:00:00 UTC 2012,2,194,41,51
Wed Sep 05 13:00:00 UTC 2012,3,28,13,22
Wed Sep 05 14:00:00 UTC 2012,0,-,-,-
Wed Sep 05 15:00:00 UTC 2012,0,-,-,-
Wed Sep 05 16:00:00 UTC 2012,6,158,83,53
Wed Sep 05 17:00:00 UTC 2012,7,174,65,76
