time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,3,234,193,131
Mon Sep 03 01:00:00 UTC 2012,6,165,85,72
Mon Sep 03 02:00:00 UTC 2012,0,-,-,-
Mon Sep 03 03:00:00 UTC 2012,0,-,-,-
Mon Sep 03 04:00:00 UTC 2012,0,-,-,-
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,0,-,-,-
Mon Sep 03 07:00:00 UTC 2012,0,-,-,-
Mon Sep 03 08:00:00 UTC 2012,2,200,201,187
Mon Sep 03 09:00:00 UTC 2012,5,169,88,56
Mon Sep 03 10:00:00 UTC 2012,2,96,73,64
Mon Sep 03 11:00:00 UTC 2012,3,176,150,108
Mon Sep 03 12:00:00 UTC 2012,3,166,131,66
Mon Sep 03 13:00:00 UTC 2012,5,23,16,28
Mon Sep 03 14:00:00 UTC 2012,3,166,114,56
Mon Sep 03 15:00:00 UTC 2012,5,160,89,53
Mon Sep 03 16:00:00 UTC 2012,2,197,201,210
Mon Sep 03 17:00:00 UTC 2012,6,191,57,40
Mon Sep 03 18:00:00 UTC 2012,3,43,20,36
Mon Sep 03 19:00:00 UTC 2012,4,203,162,94
Mon Sep 03 20:00:00 UTC 2012,10,173,59,48
Mon Sep 03 21:00:00 UTC 2012,2,207,160,61
Mon Sep 03 22:00:00 UTC 2012,1,245,247,239
Mon Sep 03 23:00:00 UTC 2012,2,33,8,33
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,1,209,197,187
Tue Sep 04 02:00:00 UTC 2012,0,-,-,-
Tue Sep 04 03:00:00 UTC 2012,0,-,-,-
Tue Sep 04 04:00:00 UTC 2012,0,-,-,-
Tue Sep 04 05:00:00 UTC 2012,0,-,-,-
Tue Sep 04 06:00:00 UTC 2012,0,-,-,-
Tue Sep 04 07:00:00 UTC 2012,0,-,-,-
Tue Sep 04 08:00:00 UTC 2012,1,182,80,14
Tue Sep 04 09:00:00 UTC 2012,2,176,153,102
Tue Sep 04 10:00:00 UTC 2012,8,161,153,103
Tue Sep 04 11:00:00 UTC 2012,2,149,122,114
Tue Sep 04 12:00:00 UTC 2012,1,169,91,70
Tue Sep 04 13:00:00 UTC 2012,3,200,168,96
Tue Sep 04 14:00:00 UTC 2012,4,177,83,58
Tue Sep 04 15:00:00 UTC 2012,3,207,195,181
Tue Sep 04 16:00:00 UTC 2012,2,221,241,231
Tue Sep 04 17:00:00 UTC 2012,3,38,16,20
Tue Sep 04 18:00:00 UTC 2012,2,10,11,41
Tue Sep 04 19:00:00 UTC 2012,5,180,85,69
Tue Sep 04 20:00:00 UTC 2012,7,203,165,96
Tue Sep 04 21:00:00 UTC 2012,6,24,11,14
Tue Sep 04 22:00:00 UTC 2012,5,171,155,92
Tue Sep 04 23:00:00 UTC 2012,2,234,193,51
Wed Sep 05 00:00:00 UTC 2012,0,-,-,-
Wed Sep 05 01:00:00 UTC 2012,1,76,51,18
Wed Sep 05 02:00:00 UTC 2012,0,-,-,-
Wed Sep 05 03:00:00 UTC 2012,0,-,-,-
Wed Sep 05 04:00:00 UTC 2012,1,10,14,24
Wed Sep 05 05:00:00 UTC 2012,0,-,-,-
Wed Sep 05 06:00:00 UTC 2012,0,-,-,-
Wed Sep 05 07:00:00 UTC 2012,1,226,225,207
Wed Sep 05 08:00:00 UTC 2012,1,128,86,81
Wed Sep 05 09:00:00 UTC 2012,1,1,25,242
Wed Sep 05 10:00:00 UTC 2012,2,171,173,159
Wed Sep 05 11:00:00 UTC 2012,3,193,175,66
Wed Sep 05 12:00:00 UTC 2012,5,35,13,36
Wed Sep 05 13:00:00 UTC 2012,5,155,96,65
Wed Sep 05 14:00:00 UTC 2012,4,24,20,30
Wed Sep 05 15:00:00 UTC 2012,10,203,178,96
Wed Sep 05 16:00:00 UTC 2012,0,-,-,-
Wed Sep 05 17:00:00 UTC 2012,12,155,99,78
Wed Sep 05 18:00:00 UTC 2012,6,32,20,31
Wed Sep 05 19:00:00 UTC 2012,5,158,116,92
Wed Sep 05 20:00:00 UTC 2012,9,153,111,85
Wed Sep 05 21:00:00 UTC 2012,10,174,114,55
Wed Sep 05 22:00:00 UTC 2012,0,-,-,-
