time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,222,222,206,187
Mon Sep 03 01:00:00 UTC 2012,222,222,200,185
Mon Sep 03 02:00:00 UTC 2012,113,154,127,128
Mon Sep 03 03:00:00 UTC 2012,82,150,131,126
Mon Sep 03 04:00:00 UTC 2012,46,215,196,183
Mon Sep 03 05:00:00 UTC 2012,26,139,129,132
Mon Sep 03 06:00:00 UTC 2012,40,157,131,126
Mon Sep 03 07:00:00 UTC 2012,33,150,142,138
Mon Sep 03 08:00:00 UTC 2012,76,157,142,131
Mon Sep 03 09:00:00 UTC 2012,109,155,136,128
Mon Sep 03 10:00:00 UTC 2012,171,156,137,129
Mon Sep 03 11:00:00 UTC 2012,204,155,139,130
Mon Sep 03 12:00:00 UTC 2012,286,155,137,129
Mon Sep 03 13:00:00 UTC 2012,240,155,133,125
Mon Sep 03 14:00:00 UTC 2012,302,155,136,129
Mon Sep 03 15:00:00 UTC 2012,334,155,136,126
Mon Sep 03 16:00:00 UTC 2012,335,156,137,127
Mon Sep 03 17:00:00 UTC 2012,102,156,138,129
Mon Sep 03 18:00:00 UTC 2012,0,-,-,-
Mon Sep 03 19:00:00 UTC 2012,270,155,130,125
Mon Sep 03 20:00:00 UTC 2012,287,220,201,178
Mon Sep 03 21:00:00 UTC 2012,247,222,204,183
Mon Sep 03 22:00:00 UTC 2012,230,222,206,189
Mon Sep 03 23:00:00 UTC 2012,187,156,132,124
Tue Sep 04 00:00:00 UTC 2012,139,219,203,182
Tue Sep 04 01:00:00 UTC 2012,86,155,129,121
Tue Sep 04 02:00:00 UTC 2012,39,156,131,117
Tue Sep 04 03:00:00 UTC 2012,52,158,131,126
Tue Sep 04 04:00:00 UTC 2012,18,221,211,194
Tue Sep 04 05:00:00 UTC 2012,18,238,235,226
Tue Sep 04 06:00:00 UTC 2012,23,153,135,124
Tue Sep 04 07:00:00 UTC 2012,70,152,133,133
Tue Sep 04 08:00:00 UTC 2012,95,234,235,228
Tue Sep 04 09:00:00 UTC 2012,131,155,134,129
Tue Sep 04 10:00:00 UTC 2012,149,156,141,131
Tue Sep 04 11:00:00 UTC 2012,170,157,139,130
Tue Sep 04 12:00:00 UTC 2012,153,158,137,125
Tue Sep 04 13:00:00 UTC 2012,180,157,134,125
Tue Sep 04 14:00:00 UTC 2012,187,157,135,124
Tue Sep 04 15:00:00 UTC 2012,177,155,138,128
Tue Sep 04 16:00:00 UTC 2012,197,156,135,127
Tue Sep 04 17:00:00 UTC 2012,177,155,132,126
Tue Sep 04 18:00:00 UTC 2012,237,157,136,125
Tue Sep 04 19:00:00 UTC 2012,265,158,131,121
Tue Sep 04 20:00:00 UTC 2012,316,156,131,120
Tue Sep 04 21:00:00 UTC 2012,265,157,130,119
Tue Sep 04 22:00:00 UTC 2012,172,221,202,184
Tue Sep 04 23:00:00 UTC 2012,73,157,134,125
Wed Sep 05 00:00:00 UTC 2012,148,158,130,119
Wed Sep 05 01:00:00 UTC 2012,97,150,129,128
Wed Sep 05 02:00:00 UTC 2012,49,157,128,117
Wed Sep 05 03:00:00 UTC 2012,28,235,231,219
Wed Sep 05 04:00:00 UTC 2012,14,159,145,128
Wed Sep 05 05:00:00 UTC 2012,18,148,143,135
Wed Sep 05 06:00:00 UTC 2012,31,151,131,127
Wed Sep 05 07:00:00 UTC 2012,62,157,135,119
Wed Sep 05 08:00:00 UTC 2012,114,158,135,126
Wed Sep 05 09:00:00 UTC 2012,164,155,136,126
Wed Sep 05 10:00:00 UTC 2012,70,156,136,127
Wed Sep 05 11:00:00 UTC 2012,227,157,138,126
Wed Sep 05 12:00:00 UTC 2012,200,157,136,127
