time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,0,-,-,-
Mon Sep 03 01:00:00 UTC 2012,0,-,-,-
Mon Sep 03 02:00:00 UTC 2012,0,-,-,-
Mon Sep 03 03:00:00 UTC 2012,0,-,-,-
Mon Sep 03 04:00:00 UTC 2012,0,-,-,-
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,0,-,-,-
Mon Sep 03 07:00:00 UTC 2012,0,-,-,-
Mon Sep 03 08:00:00 UTC 2012,0,-,-,-
Mon Sep 03 09:00:00 UTC 2012,0,-,-,-
Mon Sep 03 10:00:00 UTC 2012,0,-,-,-
Mon Sep 03 11:00:00 UTC 2012,0,-,-,-
Mon Sep 03 12:00:00 UTC 2012,0,-,-,-
Mon Sep 03 13:00:00 UTC 2012,0,-,-,-
Mon Sep 03 14:00:00 UTC 2012,0,-,-,-
Mon Sep 03 15:00:00 UTC 2012,0,-,-,-
Mon Sep 03 16:00:00 UTC 2012,0,-,-,-
Mon Sep 03 17:00:00 UTC 2012,0,-,-,-
Mon Sep 03 18:00:00 UTC 2012,1,231,228,219
Mon Sep 03 19:00:00 UTC 2012,0,-,-,-
Mon Sep 03 20:00:00 UTC 2012,0,-,-,-
Mon Sep 03 21:00:00 UTC 2012,0,-,-,-
Mon Sep 03 22:00:00 UTC 2012,0,-,-,-
Mon Sep 03 23:00:00 UTC 2012,0,-,-,-
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,0,-,-,-
Tue Sep 04 02:00:00 UTC 2012,0,-,-,-
Tue Sep 04 03:00:00 UTC 2012,0,-,-,-
Tue Sep 04 04:00:00 UTC 2012,0,-,-,-
Tue Sep 04 05:00:00 UTC 2012,0,-,-,-
Tue Sep 04 06:00:00 UTC 2012,0,-,-,-
Tue Sep 04 07:00:00 UTC 2012,0,-,-,-
Tue Sep 04 08:00:00 UTC 2012,0,-,-,-
Tue Sep 04 09:00:00 UTC 2012,0,-,-,-
Tue Sep 04 10:00:00 UTC 2012,0,-,-,-
Tue Sep 04 11:00:00 UTC 2012,0,-,-,-
Tue Sep 04 12:00:00 UTC 2012,0,-,-,-
Tue Sep 04 13:00:00 UTC 2012,0,-,-,-
Tue Sep 04 14:00:00 UTC 2012,0,-,-,-
Tue Sep 04 15:00:00 UTC 2012,0,-,-,-
Tue Sep 04 16:00:00 UTC 2012,0,-,-,-
Tue Sep 04 17:00:00 UTC 2012,0,-,-,-
Tue Sep 04 18:00:00 UTC 2012,0,-,-,-
Tue Sep 04 19:00:00 UTC 2012,0,-,-,-
Tue Sep 04 20:00:00 UTC 2012,0,-,-,-
Tue Sep 04 21:00:00 UTC 2012,0,-,-,-
Tue Sep 04 22:00:00 UTC 2012,0,-,-,-
Tue Sep 04 23:00:00 UTC 2012,0,-,-,-
Wed Sep 05 00:00:00 UTC 2012,0,-,-,-
Wed Sep 05 01:00:00 UTC 2012,0,-,-,-
Wed Sep 05 02:00:00 UTC 2012,0,-,-,-
Wed Sep 05 03:00:00 UTC 2012,0,-,-,-
Wed Sep 05 04:00:00 UTC 2012,0,-,-,-
Wed Sep 05 05:00:00 UTC 2012,0,-,-,-
Wed Sep 05 06:00:00 UTC 2012,0,-,-,-
Wed Sep 05 07:00:00 UTC 2012,0,-,-,-
Wed Sep 05 08:00:00 UTC 2012,1,25,21,19
Wed Sep 05 09:00:00 UTC 2012,0,-,-,-
Wed Sep 05 10:00:00 UTC 2012,0,-,-,-
Wed Sep 05 11:00:00 UTC 2012,0,-,-,-
Wed Sep 05 12:00:00 UTC 2012,0,-,-,-
Wed Sep 05 13:00:00 UTC 2012,0,-,-,-
Wed Sep 05 14:00:00 UTC 2012,0,-,-,-
Wed Sep 05 15:00:00 UTC 2012,1,43,15,26
Wed Sep 05 16:00:00 UTC 2012,1,70,108,152
Wed Sep 05 17:00:00 UTC 2012,0,-,-,-
Wed Sep 05 18:00:00 UTC 2012,0,-,-,-
Wed Sep 05 19:00:00 UTC 2012,1,45,14,40
Wed Sep 05 20:00:00 UTC 2012,0,-,-,-
Wed Sep 05 21:00:00 UTC 2012,0,-,-,-
Wed Sep 05 22:00:00 UTC 2012,0,-,-,-
Wed Sep 05 23:00:00 UTC 2012,0,-,-,-
Thu Sep 06 00:00:00 UTC 2012,0,-,-,-
Thu Sep 06 01:00:00 UTC 2012,0,-,-,-
Thu Sep 06 02:00:00 UTC 2012,0,-,-,-
Thu Sep 06 03:00:00 UTC 2012,0,-,-,-
Thu Sep 06 04:00:00 UTC 2012,0,-,-,-
Thu Sep 06 05:00:00 UTC 2012,0,-,-,-
Thu Sep 06 06:00:00 UTC 2012,0,-,-,-
Thu Sep 06 07:00:00 UTC 2012,0,-,-,-
Thu Sep 06 08:00:00 UTC 2012,0,-,-,-
Thu Sep 06 09:00:00 UTC 2012,0,-,-,-
Thu Sep 06 10:00:00 UTC 2012,0,-,-,-
Thu Sep 06 11:00:00 UTC 2012,0,-,-,-
Thu Sep 06 12:00:00 UTC 2012,0,-,-,-
Thu Sep 06 13:00:00 UTC 2012,0,-,-,-
Thu Sep 06 14:00:00 UTC 2012,2,177,153,119
Thu Sep 06 15:00:00 UTC 2012,0,-,-,-
Thu Sep 06 16:00:00 UTC 2012,0,-,-,-
Thu Sep 06 17:00:00 UTC 2012,0,-,-,-
Thu Sep 06 18:00:00 UTC 2012,0,-,-,-
Thu Sep 06 19:00:00 UTC 2012,0,-,-,-
Thu Sep 06 20:00:00 UTC 2012,0,-,-,-
Thu Sep 06 21:00:00 UTC 2012,0,-,-,-
Thu Sep 06 22:00:00 UTC 2012,0,-,-,-
Thu Sep 06 23:00:00 UTC 2012,0,-,-,-
Fri Sep 07 00:00:00 UTC 2012,0,-,-,-
Fri Sep 07 01:00:00 UTC 2012,0,-,-,-
Fri Sep 07 02:00:00 UTC 2012,0,-,-,-
Fri Sep 07 03:00:00 UTC 2012,0,-,-,-
Fri Sep 07 04:00:00 UTC 2012,0,-,-,-
Fri Sep 07 05:00:00 UTC 2012,0,-,-,-
Fri Sep 07 06:00:00 UTC 2012,0,-,-,-
Fri Sep 07 07:00:00 UTC 2012,0,-,-,-
Fri Sep 07 08:00:00 UTC 2012,0,-,-,-
Fri Sep 07 09:00:00 UTC 2012,0,-,-,-
Fri Sep 07 10:00:00 UTC 2012,0,-,-,-
Fri Sep 07 11:00:00 UTC 2012,0,-,-,-
Fri Sep 07 12:00:00 UTC 2012,1,250,249,232
Fri Sep 07 13:00:00 UTC 2012,0,-,-,-
Fri Sep 07 14:00:00 UTC 2012,1,11,34,80
Fri Sep 07 15:00:00 UTC 2012,0,-,-,-
Fri Sep 07 16:00:00 UTC 2012,0,-,-,-
Fri Sep 07 17:00:00 UTC 2012,0,-,-,-
Fri Sep 07 18:00:00 UTC 2012,0,-,-,-
Fri Sep 07 19:00:00 UTC 2012,0,-,-,-
Fri Sep 07 20:00:00 UTC 2012,0,-,-,-
Fri Sep 07 21:00:00 UTC 2012,0,-,-,-
Fri Sep 07 22:00:00 UTC 2012,0,-,-,-
Fri Sep 07 23:00:00 UTC 2012,0,-,-,-
Sat Sep 08 00:00:00 UTC 2012,0,-,-,-
Sat Sep 08 01:00:00 UTC 2012,0,-,-,-
Sat Sep 08 02:00:00 UTC 2012,0,-,-,-
Sat Sep 08 03:00:00 UTC 2012,0,-,-,-
Sat Sep 08 04:00:00 UTC 2012,0,-,-,-
Sat Sep 08 05:00:00 UTC 2012,0,-,-,-
Sat Sep 08 06:00:00 UTC 2012,0,-,-,-
Sat Sep 08 07:00:00 UTC 2012,0,-,-,-
Sat Sep 08 08:00:00 UTC 2012,0,-,-,-
Sat Sep 08 09:00:00 UTC 2012,0,-,-,-
Sat Sep 08 10:00:00 UTC 2012,0,-,-,-
Sat Sep 08 11:00:00 UTC 2012,0,-,-,-
Sat Sep 08 12:00:00 UTC 2012,0,-,-,-
Sat Sep 08 13:00:00 UTC 2012,0,-,-,-
Sat Sep 08 14:00:00 UTC 2012,0,-,-,-
Sat Sep 08 15:00:00 UTC 2012,0,-,-,-
Sat Sep 08 16:00:00 UTC 2012,0,-,-,-
Sat Sep 08 17:00:00 UTC 2012,1,222,206,177
Sat Sep 08 18:00:00 UTC 2012,0,-,-,-
Sat Sep 08 19:00:00 UTC 2012,0,-,-,-
Sat Sep 08 20:00:00 UTC 2012,0,-,-,-
Sat Sep 08 21:00:00 UTC 2012,0,-,-,-
Sat Sep 08 22:00:00 UTC 2012,0,-,-,-
Sat Sep 08 23:00:00 UTC 2012,0,-,-,-
Sun Sep 09 00:00:00 UTC 2012,0,-,-,-
Sun Sep 09 01:00:00 UTC 2012,0,-,-,-
Sun Sep 09 02:00:00 UTC 2012,0,-,-,-
Sun Sep 09 03:00:00 UTC 2012,0,-,-,-
Sun Sep 09 04:00:00 UTC 2012,0,-,-,-
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,0,-,-,-
Sun Sep 09 07:00:00 UTC 2012,0,-,-,-
Sun Sep 09 08:00:00 UTC 2012,0,-,-,-
Sun Sep 09 09:00:00 UTC 2012,0,-,-,-
Sun Sep 09 10:00:00 UTC 2012,1,143,129,101
Sun Sep 09 11:00:00 UTC 2012,0,-,-,-
Sun Sep 09 12:00:00 UTC 2012,0,-,-,-
Sun Sep 09 13:00:00 UTC 2012,0,-,-,-
Sun Sep 09 14:00:00 UTC 2012,0,-,-,-
Sun Sep 09 15:00:00 UTC 2012,0,-,-,-
Sun Sep 09 16:00:00 UTC 2012,0,-,-,-
Sun Sep 09 17:00:00 UTC 2012,0,-,-,-
Sun Sep 09 18:00:00 UTC 2012,0,-,-,-
Sun Sep 09 19:00:00 UTC 2012,0,-,-,-
Sun Sep 09 20:00:00 UTC 2012,0,-,-,-
Sun Sep 09 21:00:00 UTC 2012,1,16,16,17
Sun Sep 09 22:00:00 UTC 2012,0,-,-,-
Sun Sep 09 23:00:00 UTC 2012,0,-,-,-
