time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,37,218,203,190
Mon Sep 03 01:00:00 UTC 2012,22,159,122,113
Mon Sep 03 02:00:00 UTC 2012,10,113,86,77
Mon Sep 03 03:00:00 UTC 2012,5,226,223,219
Mon Sep 03 04:00:00 UTC 2012,2,215,196,218
Mon Sep 03 05:00:00 UTC 2012,5,143,147,146
Mon Sep 03 06:00:00 UTC 2012,4,237,234,220
Mon Sep 03 07:00:00 UTC 2012,15,147,127,132
Mon Sep 03 08:00:00 UTC 2012,13,233,233,229
Mon Sep 03 09:00:00 UTC 2012,23,152,134,131
Mon Sep 03 10:00:00 UTC 2012,30,155,141,135
Mon Sep 03 11:00:00 UTC 2012,58,154,136,133
Mon Sep 03 12:00:00 UTC 2012,79,151,135,131
Mon Sep 03 13:00:00 UTC 2012,112,152,136,129
Mon Sep 03 14:00:00 UTC 2012,45,154,139,131
Mon Sep 03 15:00:00 UTC 2012,0,-,-,-
Mon Sep 03 16:00:00 UTC 2012,83,149,138,134
Mon Sep 03 17:00:00 UTC 2012,103,147,132,132
Mon Sep 03 18:00:00 UTC 2012,75,150,133,131
Mon Sep 03 19:00:00 UTC 2012,87,149,131,131
Mon Sep 03 20:00:00 UTC 2012,55,155,132,122
Mon Sep 03 21:00:00 UTC 2012,40,157,139,124
Mon Sep 03 22:00:00 UTC 2012,37,159,128,115
Mon Sep 03 23:00:00 UTC 2012,25,221,205,184
Tue Sep 04 00:00:00 UTC 2012,24,157,133,128
Tue Sep 04 01:00:00 UTC 2012,5,148,133,141
Tue Sep 04 02:00:00 UTC 2012,2,225,212,163
Tue Sep 04 03:00:00 UTC 2012,3,147,105,121
Tue Sep 04 04:00:00 UTC 2012,6,222,231,209
Tue Sep 04 05:00:00 UTC 2012,3,240,237,219
Tue Sep 04 06:00:00 UTC 2012,4,145,140,139
Tue Sep 04 07:00:00 UTC 2012,11,159,143,136
Tue Sep 04 08:00:00 UTC 2012,8,154,142,141
Tue Sep 04 09:00:00 UTC 2012,24,155,144,139
Tue Sep 04 10:00:00 UTC 2012,29,189,184,185
Tue Sep 04 11:00:00 UTC 2012,35,153,141,137
Tue Sep 04 12:00:00 UTC 2012,54,232,234,227
Tue Sep 04 13:00:00 UTC 2012,47,153,132,127
Tue Sep 04 14:00:00 UTC 2012,49,157,139,134
Tue Sep 04 15:00:00 UTC 2012,50,155,131,119
Tue Sep 04 16:00:00 UTC 2012,51,155,137,132
Tue Sep 04 17:00:00 UTC 2012,51,149,133,130
Tue Sep 04 18:00:00 UTC 2012,89,155,134,126
Tue Sep 04 19:00:00 UTC 2012,73,151,131,128
Tue Sep 04 20:00:00 UTC 2012,43,152,135,133
Tue Sep 04 21:00:00 UTC 2012,75,155,128,120
Tue Sep 04 22:00:00 UTC 2012,76,221,202,180
Tue Sep 04 23:00:00 UTC 2012,33,224,197,174
Wed Sep 05 00:00:00 UTC 2012,19,159,125,113
Wed Sep 05 01:00:00 UTC 2012,11,216,199,172
Wed Sep 05 02:00:00 UTC 2012,1,218,127,96
Wed Sep 05 03:00:00 UTC 2012,3,229,210,188
Wed Sep 05 04:00:00 UTC 2012,1,114,79,34
Wed Sep 05 05:00:00 UTC 2012,3,163,125,104
Wed Sep 05 06:00:00 UTC 2012,7,155,120,99
Wed Sep 05 07:00:00 UTC 2012,7,216,209,193
Wed Sep 05 08:00:00 UTC 2012,25,236,237,219
Wed Sep 05 09:00:00 UTC 2012,32,197,185,173
Wed Sep 05 10:00:00 UTC 2012,36,234,238,222
Wed Sep 05 11:00:00 UTC 2012,38,158,140,126
Wed Sep 05 12:00:00 UTC 2012,38,233,233,221
Wed Sep 05 13:00:00 UTC 2012,23,148,138,134
Wed Sep 05 14:00:00 UTC 2012,0,-,-,-
Wed Sep 05 15:00:00 UTC 2012,0,-,-,-
Wed Sep 05 16:00:00 UTC 2012,29,213,173,145
Wed Sep 05 17:00:00 UTC 2012,53,156,139,127
Wed Sep 05 18:00:00 UTC 2012,87,155,140,135
Wed Sep 05 19:00:00 UTC 2012,312,159,124,135
Wed Sep 05 20:00:00 UTC 2012,91,157,121,129
Wed Sep 05 21:00:00 UTC 2012,64,152,120,127
Wed Sep 05 22:00:00 UTC 2012,46,219,195,182
Wed Sep 05 23:00:00 UTC 2012,44,219,187,193
Thu Sep 06 00:00:00 UTC 2012,13,153,122,112
Thu Sep 06 01:00:00 UTC 2012,8,153,93,124
Thu Sep 06 02:00:00 UTC 2012,5,161,113,96
Thu Sep 06 03:00:00 UTC 2012,2,246,246,237
Thu Sep 06 04:00:00 UTC 2012,2,225,202,193
Thu Sep 06 05:00:00 UTC 2012,1,156,96,83
Thu Sep 06 06:00:00 UTC 2012,4,146,130,127
Thu Sep 06 07:00:00 UTC 2012,13,153,140,137
Thu Sep 06 08:00:00 UTC 2012,23,159,137,124
Thu Sep 06 09:00:00 UTC 2012,26,158,138,129
Thu Sep 06 10:00:00 UTC 2012,38,152,132,137
Thu Sep 06 11:00:00 UTC 2012,47,148,133,134
Thu Sep 06 12:00:00 UTC 2012,61,148,136,136
Thu Sep 06 13:00:00 UTC 2012,64,153,135,128
Thu Sep 06 14:00:00 UTC 2012,69,155,136,129
Thu Sep 06 15:00:00 UTC 2012,62,151,134,130
Thu Sep 06 16:00:00 UTC 2012,46,148,136,135
Thu Sep 06 17:00:00 UTC 2012,53,150,141,135
Thu Sep 06 18:00:00 UTC 2012,90,152,134,132
Thu Sep 06 19:00:00 UTC 2012,116,155,133,126
Thu Sep 06 20:00:00 UTC 2012,89,220,200,182
Thu Sep 06 21:00:00 UTC 2012,73,153,127,118
Thu Sep 06 22:00:00 UTC 2012,49,159,133,118
Thu Sep 06 23:00:00 UTC 2012,41,151,126,117
Fri Sep 07 00:00:00 UTC 2012,29,159,135,124
Fri Sep 07 01:00:00 UTC 2012,22,220,194,176
Fri Sep 07 02:00:00 UTC 2012,6,163,118,96
Fri Sep 07 03:00:00 UTC 2012,2,38,141,228
Fri Sep 07 04:00:00 UTC 2012,5,155,128,121
Fri Sep 07 05:00:00 UTC 2012,2,170,154,148
Fri Sep 07 06:00:00 UTC 2012,7,218,175,175
Fri Sep 07 07:00:00 UTC 2012,14,206,215,208
Fri Sep 07 08:00:00 UTC 2012,26,147,135,138
Fri Sep 07 09:00:00 UTC 2012,31,152,142,139
