time,day,hour,minute,user,text
Thu Sep 06 10:55:08 UTC 2012,3,10,655,deanna,I've finally found an upshot of autocorrect... Fixing all the bad German spellings I've evidently thought were right for the last 20 years.
Mon Sep 03 17:57:22 UTC 2012,0,17,1077,caschy,verzehrt vs. verzerrt… m(
Mon Sep 03 20:10:08 UTC 2012,0,20,1210,HerthaBSC,"Thomas Kraft fällt kurzfristig aus. Für ihn rückt Sprint in den Kader und Burchert in den Kasten! Du packst das, Sascha! #HaHoHe"
Mon Sep 03 17:33:10 UTC 2012,0,17,1053,petezin,"Un alemán me ofrece chocolatitos mientras habla por teléfono. Parece que tras dos semanas por aquí, me aceptan."
Tue Sep 04 15:18:25 UTC 2012,1,15,918,RealTimeWWII,"Hitler mocking British bombing raids to vast crowd in Berlin Sportspalast: ""I had not yet ordered retaliation to this nonsensical behaviour"""
Mon Sep 03 05:58:11 UTC 2012,0,5,358,a_antonellis,models are just actors that dont make movies
Tue Sep 04 15:22:39 UTC 2012,1,15,922,mspro,"die angst, des bahnmitarbeiters vor dem qr-code-scan vom monitor. sollte man mal ne psychopathologische studie drüber machen."
Mon Sep 03 05:51:44 UTC 2012,0,5,351,semerssuaq,ma perché siete già svegli?
Sun Sep 09 14:52:57 UTC 2012,6,14,892,gillyberlin,"Ohje, da wird Vettel nachher im Interview wieder rumheulen ""Rennleitung ist immer so gemein zu mir"" #F1"
Sat Sep 08 22:29:20 UTC 2012,5,22,1349,matteo_colombo,l'unico posto al mondo dove sulla metro i mendicanti suonano lykke li
Mon Sep 10 07:53:49 UTC 2012,0,7,473,tchebotarev,Got sick and slept 12 hours straight in Berlin.
Sun Sep 02 23:14:54 UTC 2012,6,23,1394,antonnewcombe,bubbles2k12
Wed Sep 05 09:26:26 UTC 2012,2,9,566,markguim,"Microsoft's #msnext event starts in about 5 mins. Will we see new phones? Doubt it, but I'll be live tweeting"
Fri Sep 07 21:19:46 UTC 2012,4,21,1279,DonDahlmann,Nicky statt Flausch.
Wed Sep 05 10:26:09 UTC 2012,2,10,626,7l_o,"베를린은 비가 추적추적, 낭만적이다."
Thu Sep 06 22:08:24 UTC 2012,3,22,1328,martinlofqvist,"Wait! What if it is the iPhone 5 event next week that the maya indians have been referring to all the time, but just got the dates mixed up?"
Sat Sep 08 16:56:32 UTC 2012,5,16,1016,johnrenaud,Positive energy for my aunt. Everything is gonna be awesome! Such a fighter such an amazing woman.
Sat Sep 08 00:05:49 UTC 2012,5,0,5,cervus,#n8lbn
Fri Sep 07 20:13:53 UTC 2012,4,20,1213,WillyWonkaW,Reise Gruppe Unsympathisch hat endlich Techno gefunden! #berlinfestival
Mon Sep 03 12:47:02 UTC 2012,0,12,767,trendlupe,Ob ihr es glaubt oder nicht aber ich habe gerade ein iPhone 5 Dummy in der Hand gehalten Halle 15.1 / #IFA2012 #IFAreporter
Wed Sep 05 00:56:29 UTC 2012,2,0,56,Suyutong,#释放朱承志 我在柏林文学节，看着这个自由国度的人用最大的想象去理解中国的专制！朱承志足以让他们理解，9月5日，朱承志老师被邵阳警方非法羁押89天，周强、李晓葵放人
Sat Sep 08 02:48:29 UTC 2012,5,2,168,philipsteffan,Morgen Frühstück?
Sat Sep 08 10:52:53 UTC 2012,5,10,652,withoutfield,10 vor Kindergeburtstagsparty. *uff*
Fri Sep 07 10:50:17 UTC 2012,4,10,650,343max,Wie heißt der italienische Max Mustermann?
Tue Sep 04 21:33:10 UTC 2012,1,21,1293,Milenskaya,Hab n halbes Glas Sekt getrunken und fühle mich als hätt ich ne Vodkaflasche geäxt.
Sat Sep 08 06:52:48 UTC 2012,5,6,412,Oswald,Heizung. Langsam.
Wed Sep 05 16:59:08 UTC 2012,2,16,1019,janole,"Floating lens, more light, less camera shake … definitely interesting. Where are some photo samples? ;-) #Nokia #Lumia920"
Thu Sep 06 19:30:06 UTC 2012,3,19,1170,iam_timm,"I think Apple is trolling everyone with all these ""leaks""! #youhearditfirsthere"
Wed Sep 05 13:45:56 UTC 2012,2,13,825,pawell,zalando.pl odpalilo. zobaczymy jak dadza rade.
Tue Sep 04 17:55:55 UTC 2012,1,17,1075,nayef965,ان تجد مكاناً تصلي فيه في مطارات العالم فهذه معاناة كبيرهوهنا دور المراكز الاسلاميه الغائب
Mon Sep 03 08:31:41 UTC 2012,0,8,511,MatrixSpucky,Eieiei ... das wird ein langer Tag. Nach einer kurzen Nacht.
Wed Sep 05 11:43:06 UTC 2012,2,11,703,MrPelz,"Ich glaube, ich installiere heute iOS 6."
