time,day,hour,minute,user,text
Tue Sep 04 12:18:00 UTC 2012,1,12,738,JPBarlow,New Bumper Sticker: We Hope He'll Change! Obama. Sorta.
Wed Sep 05 19:32:28 UTC 2012,2,19,1172,johnolilly,*the sound of millions picking up undrafted Ogletree on waivers*
Thu Sep 06 23:17:43 UTC 2012,3,23,1397,dweekly,"BCC Swap: The (very common) action taken when A emails B and C to introduce them, B moves C to To and moves A to BCC. Hard to do on mobile!"
Sun Sep 09 21:03:04 UTC 2012,6,21,1263,Glennia,I love Care Grant. Seriously.
Fri Sep 07 20:49:58 UTC 2012,4,20,1249,JessicaGomez13,Good Incubus performance! #linkinpark
Mon Sep 03 22:21:05 UTC 2012,0,22,1341,squeakytoy,OHAI you’re still using the same Grindr pic you had when I left here almost a year ago!
Thu Sep 06 16:39:21 UTC 2012,3,16,999,addison,Taggin' trees is a lot better than chasing monsters.
Sat Sep 08 10:39:50 UTC 2012,5,10,639,JosephPMathews,Nothing fuels my post-run feel good like looking for parking for 15-20 minutes.
Sat Sep 08 17:55:45 UTC 2012,5,17,1075,Siv,Was just convinced to move into an apt without a microwave. Wish me luck.
Fri Sep 07 12:40:47 UTC 2012,4,12,760,noahkagan,You can't go wrong when you listen to your self.
Sat Sep 08 16:38:38 UTC 2012,5,16,998,SacchiPatel,Touchdown! #GoOrange
Thu Sep 06 00:43:40 UTC 2012,3,0,43,ninateu,"If u go against the grain, u get splinters."
Sun Sep 02 14:50:10 UTC 2012,6,14,890,rlux,"Looking at a Samsung Series 9 ultrabook. Nice hardware, not enough hard drive space though."
Wed Sep 05 12:55:33 UTC 2012,2,12,775,kellymcgonigal,More GSB culture shock: Presentation on being an effective teacher started w/Stanford U org chart and financial statements. Naturally.
Tue Sep 04 11:54:12 UTC 2012,1,11,714,Jury,KVOh…
Thu Sep 06 18:38:42 UTC 2012,3,18,1118,mediajunkie,"biden makes common ""enormity"" mistake"
Fri Sep 07 09:04:19 UTC 2012,4,9,544,michellelentz,"Techie friends, eLearning friends, mobile dev friends, talk to me: Appcelerator vs Phone Gap? Differences? Advantages? Go! :)"
