time,day,hour,minute,user,text
Wed Sep 05 11:43:06 UTC 2012,2,11,703,MrPelz,"Ich glaube, ich installiere heute iOS 6."
Thu Sep 06 14:44:42 UTC 2012,3,14,884,schmarsten,Aaaahhhhh eine spinne!!!!! #Wald #pilzesammeln
Wed Sep 05 19:00:54 UTC 2012,2,19,1140,DanielRJStecher,"Airline Forum 2012 with huge attendance and demand for #NetLine/Ops ++ at #IOCC Lounge and during Ops ++ Track Sessions. Now, evening event."
Thu Sep 06 16:46:37 UTC 2012,3,16,1006,Mitgezwitschert,"Wenn es nicht wüsste,dass es statistisch ummöglich ist,würde ich behaupten,dass ich an dieser verdammten Tram-Haltestelle immer Pech habe!!!"
Sun Sep 09 22:37:34 UTC 2012,6,22,1357,DerRostocker,"Habe eben entdeckt, dass am 21.9. das neue Album von Mumford &amp; Sons auf den Markt kommt, freue mich drauf und bin gespannt."
Sun Sep 09 21:37:13 UTC 2012,6,21,1297,NicoMarquardt,Resultat nach 12 Stunden Lektorat: Drei Kapitel und ein Charakter gestrichen. #RushHourPhysik #Buch
Sat Sep 08 23:31:14 UTC 2012,5,23,1411,xxlhonk,Sie machen sich selbst immer unglaubwürdiger und verzichtbarer
Fri Sep 07 22:41:37 UTC 2012,4,22,1361,interfilm_Bln,Please feel with us ... 7000 submissions ...!
Tue Sep 04 21:56:21 UTC 2012,1,21,1316,fjoelnir,"heut mal im JHA zustimmend für einen Antrag der GrünInnen gesprochen,allerdings aus Piratensicht und wurde deshalb trotzdem gebissen #bvvlbg"
Fri Sep 07 01:38:37 UTC 2012,4,1,98,_BB_RADIO_MUSIC,#nowplaying #fridagold ~ Frida Gold | Wovon sollen wir träumen ||| BB RADIO - In #Berlin #GER auf 107.5
Wed Sep 05 11:01:11 UTC 2012,2,11,661,vladkero,"в 15 лет ты хочешь выглядеть серьёзно, но выглядишь глупо, а в 30 надо выглядеть серьёзно, но ты специально выглядишь глупо."
Wed Sep 05 22:01:45 UTC 2012,2,22,1321,waldrebe,M100 Colloquium Potsdam startet im IASS bei mildem Abendwetter dank Töpfers Klimaingenieuren. Morgen hier Draghi + Schäuble: Klima ungewiss
Wed Sep 05 18:40:42 UTC 2012,2,18,1120,SebSemmi,"so, Brillenkauf - was beachten?"
Wed Sep 05 07:20:10 UTC 2012,2,7,440,BerlinPolitics,Heute um 16.00 beginnt die konstituierende Vollversammlung der #IHK #Berlin. Hashtag für den Live-Ticker auf Twitter: #ihkvv
Thu Sep 06 16:21:07 UTC 2012,3,16,981,veroniqueschyns,"Ik zeg niet wie deze presentatie geeft, maar wat is dit saai.. Verheug me op de volgende: Felix Hallwachs CEO Little Sun"
Sat Sep 08 04:33:15 UTC 2012,5,4,273,JBertissolli,Oooooooooooooi vcs
Tue Sep 04 05:52:37 UTC 2012,1,5,352,RadioTeddyMusic,#nowplaying #frankundseinefreunde ~ Frank und seine Freunde | Das große Fest ||| Radio TEDDY - In #Schwerin #MV #GER auf 102.9
Fri Sep 07 07:18:17 UTC 2012,4,7,438,lessicul,"auch wenn du dich hier immer so'n bisschen autistisch benimmst, biste ja eigentlich doch 'n soziales kind. - ayo, tschüss muddi"
Sun Sep 09 15:25:06 UTC 2012,6,15,925,snowflakeonair,Facebook kann man wenigstens erkennen wer fake ist.
Sat Sep 08 00:47:22 UTC 2012,5,0,47,boriscepeda,"Sufridores, vendepatrias, injuriosos, horrorosos. El penal será regalado, pero es regalo de un país hermano, revolucionario."
Sat Sep 08 10:20:46 UTC 2012,5,10,620,RobyBSC1892,Guten Morgen aus Potsdam!
Mon Sep 10 08:50:11 UTC 2012,0,8,530,AxelNennker,"disk encryption password, windows password, SIM pin, VPN pin, Firefox Masterpassword. Hmpf."
Mon Sep 03 14:09:39 UTC 2012,0,14,849,zinduKhujista,"AA 3064 WF yang punya siapa ya ?? love yu ya bang :* , ternyata parkirnya di samping ruang audotorium"
Sat Sep 08 13:06:26 UTC 2012,5,13,786,xIAmFamous,ich hasse pubertierende kinder die sich im internet immer so sicher fühlen man..
Wed Sep 05 16:12:00 UTC 2012,2,16,972,MaHa583,Laut singend mit offener Fenster durch den Potsdamer Feierabendverkehr... &lt;3
Mon Sep 10 09:11:38 UTC 2012,0,9,551,IDFWoman,甚麼鬼 FB常幫我加一些不認識的人現在又鎖我訊息是.... (T_T)
Tue Sep 04 12:00:07 UTC 2012,1,12,720,AlessioVr46,Bello vedere che ci sono ancora ragazzi che scelgono la MTB (o un qualsiasi altro sport) invece della la PlayStation
Tue Sep 04 23:55:25 UTC 2012,1,23,1435,NokiaLera,"Сём, ЕМА в этом году 11 ноября будет. Это воскресенье блять =\"
Mon Sep 10 09:52:20 UTC 2012,0,9,592,kingsley1976,"Moin. Ich habe Urlaub, die zweite Woche. Ihr dürft dies ruhig wissen.Es ist Montag und es ist mir egal! #fb"
Sun Sep 09 09:28:44 UTC 2012,6,9,568,MakaberMKM,Der Vadda aus der LBS Werbung erzählt gerade Helge Schneider Insiderstorys #weiseraltermann
Mon Sep 03 22:08:23 UTC 2012,0,22,1328,pelle2011,Heute nicht viel schönen Fussball gesehen... Aber Sieg!! Was soll's? #hertha #Union
Fri Sep 07 00:37:05 UTC 2012,4,0,37,maigrueen,"Ohne Hunger ins Bett gehen und dann so lange wach sein, bis man doch wieder Hunger hat..."
Wed Sep 05 15:39:28 UTC 2012,2,15,939,sebroeder,"OK, ich nutze ab jetzt wieder Textmate 2."
Wed Sep 05 12:29:12 UTC 2012,2,12,749,Event_Detection,Just detected the event 'brandenburg' right here!
Fri Sep 07 09:52:59 UTC 2012,4,9,592,angelpage,Test
Sun Sep 09 23:10:27 UTC 2012,6,23,1390,ahlbaeck,Klangkarussell makes the Berlin boys go crazy. My fave was DaPayk! #LIVE #Berlin #Sunday
Fri Sep 07 13:57:23 UTC 2012,4,13,837,MusinaMaria,"у нас два часа, сходили на обед и как всегда выкатились. смешные у меня коллеги!) я в Потсдаме работаю с коллегами из Саратова) Слава Богу)"
Fri Sep 07 15:55:24 UTC 2012,4,15,955,rain_room,Vögel bringen mich doch immer wieder zum lachen.
Mon Sep 03 13:05:17 UTC 2012,0,13,785,musumappa,ポツダム駅なう。サンスージ宮殿に向かいます
Thu Sep 06 17:01:05 UTC 2012,3,17,1021,cathyvanorten,Friends hilft immer. Immer.
Fri Sep 07 17:57:25 UTC 2012,4,17,1077,maxbuon,"Moin Moin, Kopfschmerzen erst mal ne Pille klinken, Duschen und Rasieren dann gehts ab nach Paris und ich hab keine Lust"
Fri Sep 07 23:25:14 UTC 2012,4,23,1405,whitney_orth,It's killing me that I have no way to watch Mike Birbiglia's movie Sleep Walk With Me in Berlin.
