time,day,hour,minute,user,text
Wed Sep 05 07:22:53 UTC 2012,2,7,442,scheibo_,Jetzt erstmal Auto zum TÜV und schauen was wir für einen Mietwagen bekommen…
Sun Sep 09 01:03:10 UTC 2012,6,1,63,JDoubleK,Menschen im Zug anpöbeln! &lt;3
Fri Sep 07 11:49:47 UTC 2012,4,11,709,machead83,"So, bin verkabelt, bin bald dran. #fb"
Wed Sep 05 16:39:52 UTC 2012,2,16,999,schuppsi,2:30 am Kickoff! Can’t wait to see the Big Blue Wrecking Crew again! Go #Giants!
Sat Sep 08 07:40:21 UTC 2012,5,7,460,in2code_de,Wir freuen uns auf das #TYPO3 Camp in München. Bis nachher. #t3cm12
Wed Sep 05 21:14:33 UTC 2012,2,21,1274,in2code_stefan,Trotz 3G keine Daten - grrrrrrr so kann ich nicht arbeiten #Telekom
Mon Sep 03 16:32:22 UTC 2012,0,16,992,MoniDG,VACATION!!! YAYYYYY :-)
Mon Sep 03 19:53:18 UTC 2012,0,19,1193,TefoBuhur,SENELER BOYU CHELSEADE LİVERPOOLDA JUVEDE OYNAYAN FUTBOLCULARA AYKUT'UN VERECEK ÖGRETECEK HİCBİRSEYİ OLAMAZZZZZ !!!!!
Sat Sep 08 09:38:21 UTC 2012,5,9,578,leslielovesblue,On the way to Herrenchiemsee with the Münchkins! First time to ride the train!
Sun Sep 09 14:30:33 UTC 2012,6,14,870,Miss_Tomate,"Meine Freunde fragen mich manchmal, wieso ich eine Zigarette nach der anderen rauche &amp; nichts zu einem bestimmten Thema sage."
Thu Sep 06 20:16:57 UTC 2012,3,20,1216,subarashi2,schon über 120 Stunden an Final Fantasy Theatrhytm gezockt. Hammer Game #3DS
Thu Sep 06 16:11:42 UTC 2012,3,16,971,pennybags_,Sgrxbtsdgh
Sat Sep 08 17:58:13 UTC 2012,5,17,1078,zeitiger,"Gerade gesehen das ich gestern eine Kanne #Tee vergessen habe, schmeckt aber dank Brita Wasser auch kalt prima."
Wed Sep 05 16:20:16 UTC 2012,2,16,980,Teresa__x3,Going home with a lot of new CD's :)
Mon Sep 03 23:05:09 UTC 2012,0,23,1385,roxicipriano,Ich muss wieder zum Fitness Center fahren...das ist die einzige Hobby das ich habe..Sport treiben!!!
Mon Sep 03 00:52:28 UTC 2012,0,0,52,PradaBaby26,(:
Sun Sep 09 03:27:04 UTC 2012,6,3,207,JovanDrago,All around on me are losers !!!!
