time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,135,اللي=8
Mon Sep 03 01:00:00 UTC 2012,100,video=10
Mon Sep 03 02:00:00 UTC 2012,58,jajaja=2_alter=2_vuelvoo=2_lassen=2_away=2
Mon Sep 03 03:00:00 UTC 2012,27,heute=2_allah=2_photo=2_posted=2_tövbe=2
Mon Sep 03 04:00:00 UTC 2012,25,mauerpark=2_museum=2_voy=2_platz=2_potsdam=2
Mon Sep 03 05:00:00 UTC 2012,26,guten=5_morgen=5
Mon Sep 03 06:00:00 UTC 2012,58,vorhersage=6
Mon Sep 03 07:00:00 UTC 2012,84,morgen=6
Mon Sep 03 08:00:00 UTC 2012,162,morgen=9
Mon Sep 03 09:00:00 UTC 2012,209,ifa=15
Mon Sep 03 10:00:00 UTC 2012,240,ifa=20
Mon Sep 03 11:00:00 UTC 2012,191,ifa=16
Mon Sep 03 12:00:00 UTC 2012,183,ifa=20
Mon Sep 03 13:00:00 UTC 2012,184,ifa=13
Mon Sep 03 14:00:00 UTC 2012,167,ifa=6
Mon Sep 03 15:00:00 UTC 2012,179,ifa=13
Mon Sep 03 16:00:00 UTC 2012,195,wall=9
Mon Sep 03 17:00:00 UTC 2012,201,ifa=13
Mon Sep 03 18:00:00 UTC 2012,223,ifa=9
Mon Sep 03 19:00:00 UTC 2012,238,hoşgeldinleylailemecnun=17
Mon Sep 03 20:00:00 UTC 2012,245,time=7
Mon Sep 03 21:00:00 UTC 2012,181,morgen=4_iphone=4_igers=4_bitte=4_wer=4
Mon Sep 03 22:00:00 UTC 2012,182,nacht=6
Mon Sep 03 23:00:00 UTC 2012,63,krankheit=4
Tue Sep 04 00:00:00 UTC 2012,0,""
Tue Sep 04 01:00:00 UTC 2012,65,gue=5
Tue Sep 04 02:00:00 UTC 2012,68,fuck=13
Tue Sep 04 03:00:00 UTC 2012,44,einfach=3_french=3
Tue Sep 04 04:00:00 UTC 2012,52,soninha=4_yok=4_não=4
Tue Sep 04 05:00:00 UTC 2012,25,levy=5
Tue Sep 04 06:00:00 UTC 2012,35,vorhersage=7
Tue Sep 04 07:00:00 UTC 2012,71,ber=7
Tue Sep 04 08:00:00 UTC 2012,131,morgen=17
Tue Sep 04 09:00:00 UTC 2012,164,ifa=6
Tue Sep 04 10:00:00 UTC 2012,167,smile=6_frankfurt=6
Tue Sep 04 11:00:00 UTC 2012,188,drucker=9
Tue Sep 04 12:00:00 UTC 2012,189,ifa=8
Tue Sep 04 13:00:00 UTC 2012,206,vorhersage=9
Tue Sep 04 14:00:00 UTC 2012,191,ifa=10
Tue Sep 04 15:00:00 UTC 2012,181,ifa=8
Tue Sep 04 16:00:00 UTC 2012,197,hotel=8
Tue Sep 04 17:00:00 UTC 2012,242,ifa=6
Tue Sep 04 18:00:00 UTC 2012,238,ifa=10
Tue Sep 04 19:00:00 UTC 2012,266,para=9
Tue Sep 04 20:00:00 UTC 2012,232,time=7
Tue Sep 04 21:00:00 UTC 2012,243,golf=12
Tue Sep 04 22:00:00 UTC 2012,253,golf=14
Tue Sep 04 23:00:00 UTC 2012,224,ben=6
Wed Sep 05 00:00:00 UTC 2012,125,posted=6_photo=6
Wed Sep 05 01:00:00 UTC 2012,100,domian=25
Wed Sep 05 02:00:00 UTC 2012,54,love=5
Wed Sep 05 03:00:00 UTC 2012,34,jaja=5
Wed Sep 05 04:00:00 UTC 2012,30,marica=2_nacht=2_wisner=2_hanna=2_freiwilliger=2
Wed Sep 05 05:00:00 UTC 2012,13,moin=2
Wed Sep 05 06:00:00 UTC 2012,60,wowereit=23
Wed Sep 05 07:00:00 UTC 2012,98,guten=8
Wed Sep 05 08:00:00 UTC 2012,130,morgen=8_guten=8
Wed Sep 05 09:00:00 UTC 2012,181,ifa=8
Wed Sep 05 10:00:00 UTC 2012,189,gut=5
Wed Sep 05 11:00:00 UTC 2012,175,heute=6
Wed Sep 05 12:00:00 UTC 2012,185,jajaja=5_non=5_ifa=5
Wed Sep 05 13:00:00 UTC 2012,187,vorhersage=9
Wed Sep 05 14:00:00 UTC 2012,177,ifa=7
Wed Sep 05 15:00:00 UTC 2012,186,silverwings=6
Wed Sep 05 16:00:00 UTC 2012,226,fatihaksoyukınıyoruz=7
Wed Sep 05 17:00:00 UTC 2012,227,fatihaksoyukınıyoruz=7_lumia=7
Wed Sep 05 18:00:00 UTC 2012,237,ifa=6
Wed Sep 05 19:00:00 UTC 2012,217,time=4_weird=4_see=4_danke=4_kadewe=4
Wed Sep 05 20:00:00 UTC 2012,232,starbucks=7
Wed Sep 05 21:00:00 UTC 2012,228,ifa=7
Wed Sep 05 22:00:00 UTC 2012,167,cbase=5
Wed Sep 05 23:00:00 UTC 2012,0,""
Thu Sep 06 00:00:00 UTC 2012,0,""
Thu Sep 06 01:00:00 UTC 2012,61,domian=15
Thu Sep 06 02:00:00 UTC 2012,37,del=3
Thu Sep 06 03:00:00 UTC 2012,51,muy=4
Thu Sep 06 04:00:00 UTC 2012,52,con=2_una=2_por=2_eso=2_one=2
Thu Sep 06 05:00:00 UTC 2012,24,airport=4
Thu Sep 06 06:00:00 UTC 2012,36,vorhersage=7
Thu Sep 06 07:00:00 UTC 2012,59,denewsblog=3
Thu Sep 06 08:00:00 UTC 2012,119,airport=5
Thu Sep 06 09:00:00 UTC 2012,180,wer=5
Thu Sep 06 10:00:00 UTC 2012,185,gerade=5_foto=5
Thu Sep 06 11:00:00 UTC 2012,194,uhr=6
Thu Sep 06 12:00:00 UTC 2012,132,one=4_good=4_heute=4_van=4
Thu Sep 06 13:00:00 UTC 2012,196,vorhersage=9
Thu Sep 06 14:00:00 UTC 2012,216,love=7
Thu Sep 06 15:00:00 UTC 2012,184,one=5
Thu Sep 06 16:00:00 UTC 2012,228,gema=6
Thu Sep 06 17:00:00 UTC 2012,191,gerade=4_one=4_many=4_immer=4_gema=4
Thu Sep 06 18:00:00 UTC 2012,223,new=6
Thu Sep 06 19:00:00 UTC 2012,206,haus=6
Thu Sep 06 20:00:00 UTC 2012,238,drp=11
Thu Sep 06 21:00:00 UTC 2012,247,drp=7
Thu Sep 06 22:00:00 UTC 2012,191,para=5_haha=5
Thu Sep 06 23:00:00 UTC 2012,174,جزء=4_travelling=4_ausweg=4_love=4_twittering=4
Fri Sep 07 00:00:00 UTC 2012,209,heutige=8_specialff=8
Fri Sep 07 01:00:00 UTC 2012,51,avere=4_non=4_like=4
Fri Sep 07 02:00:00 UTC 2012,49,إذا=5
Fri Sep 07 03:00:00 UTC 2012,43,estoy=4
Fri Sep 07 04:00:00 UTC 2012,44,like=4_tengo=4
Fri Sep 07 05:00:00 UTC 2012,32,really=4
Fri Sep 07 06:00:00 UTC 2012,50,vorhersage=7
Fri Sep 07 07:00:00 UTC 2012,55,moin=5
Fri Sep 07 08:00:00 UTC 2012,118,morgen=5
Fri Sep 07 09:00:00 UTC 2012,214,heute=7_specialff=7_شـكـرا=7
Fri Sep 07 10:00:00 UTC 2012,160,frauen=4_اللهم=4
Fri Sep 07 11:00:00 UTC 2012,235,park=6_nom=6
Fri Sep 07 12:00:00 UTC 2012,173,berlinische=5_galerie=5_one=5
Fri Sep 07 13:00:00 UTC 2012,187,ойна́=11
Fri Sep 07 14:00:00 UTC 2012,202,berlinfestival=7
Fri Sep 07 15:00:00 UTC 2012,215,flughafen=8_festival=8_tempelhof=8
Fri Sep 07 16:00:00 UTC 2012,274,festival=10
Fri Sep 07 17:00:00 UTC 2012,172,festival=7
Fri Sep 07 18:00:00 UTC 2012,208,festival=10
Fri Sep 07 19:00:00 UTC 2012,200,festival=5_restaurant=5
Fri Sep 07 20:00:00 UTC 2012,210,bisschen=4_tebe=4_get=4_hätte=4_club=4
Fri Sep 07 21:00:00 UTC 2012,154,Антону=4_Литиненко=4_Поможем=4_tebe=4
Fri Sep 07 22:00:00 UTC 2012,207,love=7
Fri Sep 07 23:00:00 UTC 2012,212,like=6
Sat Sep 08 00:00:00 UTC 2012,147,berlinfestival=10
Sat Sep 08 01:00:00 UTC 2012,91,arena=4_club=4_nice=4_لأنها=4
Sat Sep 08 02:00:00 UTC 2012,129,schlafen=5
Sat Sep 08 03:00:00 UTC 2012,69,ehem=6_tempelhof=6_flughafen=6
Sat Sep 08 04:00:00 UTC 2012,48,around=2_falsch=2_hear=2_pero=2_someone=2
Sat Sep 08 05:00:00 UTC 2012,46,summer=3
Sat Sep 08 06:00:00 UTC 2012,31,vorhersage=7
Sat Sep 08 07:00:00 UTC 2012,26,birthday=3_morgen=3
Sat Sep 08 08:00:00 UTC 2012,55,it's=3
Sat Sep 08 09:00:00 UTC 2012,115,morgen=6
Sat Sep 08 10:00:00 UTC 2012,152,good=5
Sat Sep 08 11:00:00 UTC 2012,143,tempelhof=8_ehem=8_flughafen=8
Sat Sep 08 12:00:00 UTC 2012,163,festival=6
Sat Sep 08 13:00:00 UTC 2012,200,vorhersage=9
Sat Sep 08 14:00:00 UTC 2012,155,festival=8
Sat Sep 08 15:00:00 UTC 2012,190,ойна́=17
Sat Sep 08 16:00:00 UTC 2012,189,berlinfestival=7
Sat Sep 08 17:00:00 UTC 2012,142,festival=7
Sat Sep 08 18:00:00 UTC 2012,186,ойна́=12
Sat Sep 08 19:00:00 UTC 2012,237,we're=12
Sat Sep 08 20:00:00 UTC 2012,168,berlinfestival=8
Sat Sep 08 21:00:00 UTC 2012,201,franz=4_على=4_love=4_ferdinand=4
Sat Sep 08 22:00:00 UTC 2012,162,por=3_galician=3_haha=3_denewsblog=3_viele=3
Sat Sep 08 23:00:00 UTC 2012,201,festival=7
Sun Sep 09 00:00:00 UTC 2012,112,festival=6
Sun Sep 09 01:00:00 UTC 2012,120,nacht=4_fuck=4_berlinfestival=4_grade=4
Sun Sep 09 02:00:00 UTC 2012,147,letztes=6
Sun Sep 09 03:00:00 UTC 2012,106,festival=8
Sun Sep 09 04:00:00 UTC 2012,37,festival=6
Sun Sep 09 05:00:00 UTC 2012,29,gut=3
Sun Sep 09 06:00:00 UTC 2012,27,vorhersage=7
Sun Sep 09 07:00:00 UTC 2012,25,connect=2_well=2_gefühle=2_see=2_gravity=2
Sun Sep 09 08:00:00 UTC 2012,33,morgen=2_что=2_heute=2_film=2_ganz=2
Sun Sep 09 09:00:00 UTC 2012,62,guten=5
Sun Sep 09 10:00:00 UTC 2012,138,berlinfestival=11
Sun Sep 09 11:00:00 UTC 2012,142,morgen=6
Sun Sep 09 12:00:00 UTC 2012,148,run=13
Sun Sep 09 13:00:00 UTC 2012,194,vorhersage=9
Sun Sep 09 14:00:00 UTC 2012,171,een=6
Sun Sep 09 15:00:00 UTC 2012,154,festival=5
Sun Sep 09 16:00:00 UTC 2012,188,garten=25
Sun Sep 09 17:00:00 UTC 2012,195,pizza=6_park=6
Sun Sep 09 18:00:00 UTC 2012,129,young=9
Sun Sep 09 19:00:00 UTC 2012,189,wel=6
Sun Sep 09 20:00:00 UTC 2012,168,gmd3eekfollowspree=8
Sun Sep 09 21:00:00 UTC 2012,156,tatort=5
Sun Sep 09 22:00:00 UTC 2012,235,good=7
Sun Sep 09 23:00:00 UTC 2012,193,twitter=6
