time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,10,forrest=2_java=2_tweet=2
Mon Sep 03 01:00:00 UTC 2012,4,""
Mon Sep 03 02:00:00 UTC 2012,5,""
Mon Sep 03 03:00:00 UTC 2012,3,okay=2
Mon Sep 03 04:00:00 UTC 2012,5,beseech=2_thee=2_lord=2
Mon Sep 03 05:00:00 UTC 2012,0,""
Mon Sep 03 06:00:00 UTC 2012,0,""
Mon Sep 03 07:00:00 UTC 2012,1,""
Mon Sep 03 08:00:00 UTC 2012,4,""
Mon Sep 03 09:00:00 UTC 2012,10,labor=3_happy=3_bbq=3
Mon Sep 03 10:00:00 UTC 2012,3,hours=2
Mon Sep 03 11:00:00 UTC 2012,8,gracias=2_trick=2_treat=2
Mon Sep 03 12:00:00 UTC 2012,8,apple=4
Mon Sep 03 13:00:00 UTC 2012,8,""
Mon Sep 03 14:00:00 UTC 2012,2,""
Mon Sep 03 15:00:00 UTC 2012,0,""
Mon Sep 03 16:00:00 UTC 2012,22,apple=4
Mon Sep 03 17:00:00 UTC 2012,14,space=2_preserve=2_hands=2_lemonade=2_fremont=2
Mon Sep 03 18:00:00 UTC 2012,23,networks=3
Mon Sep 03 19:00:00 UTC 2012,19,benihana=5
Mon Sep 03 20:00:00 UTC 2012,36,labor=7
Mon Sep 03 21:00:00 UTC 2012,14,hope=10_labor=10
Mon Sep 03 22:00:00 UTC 2012,17,free=3
Mon Sep 03 23:00:00 UTC 2012,6,want=2_right=2
Tue Sep 04 00:00:00 UTC 2012,7,gardenstate=3
Tue Sep 04 01:00:00 UTC 2012,3,""
Tue Sep 04 02:00:00 UTC 2012,6,haha=4
Tue Sep 04 03:00:00 UTC 2012,2,""
Tue Sep 04 04:00:00 UTC 2012,8,cont…=4_…cont=4
Tue Sep 04 05:00:00 UTC 2012,3,""
Tue Sep 04 06:00:00 UTC 2012,0,""
