time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,2217,night=42_people=42
Mon Sep 03 01:00:00 UTC 2012,1401,night=34
Mon Sep 03 02:00:00 UTC 2012,964,sleep=24
Mon Sep 03 03:00:00 UTC 2012,652,say=16
Mon Sep 03 04:00:00 UTC 2012,456,price=15_sep=15
Mon Sep 03 05:00:00 UTC 2012,420,voteonedirection=14
Mon Sep 03 06:00:00 UTC 2012,733,morning=38
Mon Sep 03 07:00:00 UTC 2012,1224,morning=80
Mon Sep 03 08:00:00 UTC 2012,1938,morning=86
Mon Sep 03 09:00:00 UTC 2012,2210,morning=90
Mon Sep 03 10:00:00 UTC 2012,2492,morning=57
Mon Sep 03 11:00:00 UTC 2012,2949,work=58_haha=58
Mon Sep 03 12:00:00 UTC 2012,2828,well=58
Mon Sep 03 13:00:00 UTC 2012,2974,need=58
Mon Sep 03 14:00:00 UTC 2012,3068,happy=57
Mon Sep 03 15:00:00 UTC 2012,3005,votebieber=180
Mon Sep 03 16:00:00 UTC 2012,2946,votebieber=152
Mon Sep 03 17:00:00 UTC 2012,3103,work=57
Mon Sep 03 18:00:00 UTC 2012,3175,olympic=94
Mon Sep 03 19:00:00 UTC 2012,3535,think=71
Mon Sep 03 20:00:00 UTC 2012,4052,haha=71
Mon Sep 03 21:00:00 UTC 2012,4480,think=112
Mon Sep 03 22:00:00 UTC 2012,1364,think=39
Mon Sep 03 23:00:00 UTC 2012,0,""
Tue Sep 04 00:00:00 UTC 2012,2679,need=54
Tue Sep 04 01:00:00 UTC 2012,1868,night=38
Tue Sep 04 02:00:00 UTC 2012,1172,nocapricho=78
Tue Sep 04 03:00:00 UTC 2012,746,sleep=17
Tue Sep 04 04:00:00 UTC 2012,669,price=18_sep=18
Tue Sep 04 05:00:00 UTC 2012,510,voteonedirection=16
Tue Sep 04 06:00:00 UTC 2012,571,morning=55
Tue Sep 04 07:00:00 UTC 2012,1383,morning=83
Tue Sep 04 08:00:00 UTC 2012,2160,morning=86
Tue Sep 04 09:00:00 UTC 2012,2241,olympic=75
Tue Sep 04 10:00:00 UTC 2012,2727,work=62
Tue Sep 04 11:00:00 UTC 2012,2959,votebieber=81
Tue Sep 04 12:00:00 UTC 2012,2962,think=62
Tue Sep 04 13:00:00 UTC 2012,3010,think=53
Tue Sep 04 14:00:00 UTC 2012,3341,tweet=145
Tue Sep 04 15:00:00 UTC 2012,2915,think=59
Tue Sep 04 16:00:00 UTC 2012,3059,haha=56
Tue Sep 04 17:00:00 UTC 2012,3262,haha=72
Tue Sep 04 18:00:00 UTC 2012,3625,please=93
Tue Sep 04 19:00:00 UTC 2012,3808,olympic=80
Tue Sep 04 20:00:00 UTC 2012,4231,well=97
Tue Sep 04 21:00:00 UTC 2012,4605,think=97
Tue Sep 04 22:00:00 UTC 2012,4597,think=105
