time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,38,someone=3_guy=3
Mon Sep 03 01:00:00 UTC 2012,15,never=3
Mon Sep 03 02:00:00 UTC 2012,5,real=2_a61k=2
Mon Sep 03 03:00:00 UTC 2012,5,""
Mon Sep 03 04:00:00 UTC 2012,12,più=2_hipster=2_famiglia=2_ragazza=2_che=2
Mon Sep 03 05:00:00 UTC 2012,7,sono=2
Mon Sep 03 06:00:00 UTC 2012,12,khunnie=2_play=2_game=2_wanna=2_map=2
Mon Sep 03 07:00:00 UTC 2012,26,net=3
Mon Sep 03 08:00:00 UTC 2012,37,friend=4_can't=4
Mon Sep 03 09:00:00 UTC 2012,21,right=2_nuna=2_hug=2_everything=2_justin=2
Mon Sep 03 10:00:00 UTC 2012,32,getting=3_white=3_america=3_teaparty=3_cspandnc=3
Mon Sep 03 11:00:00 UTC 2012,27,bay=2_forge=2_mtn=2_think=2_sound=2
Mon Sep 03 12:00:00 UTC 2012,38,game=4_play=4_map=4
Mon Sep 03 13:00:00 UTC 2012,17,feeling=2_wakey=2_lives=2
Mon Sep 03 14:00:00 UTC 2012,11,""
Mon Sep 03 15:00:00 UTC 2012,0,""
Mon Sep 03 16:00:00 UTC 2012,52,look=3_che=3_redwood=3_wait=3
Mon Sep 03 17:00:00 UTC 2012,135,algo=7
Mon Sep 03 18:00:00 UTC 2012,65,justin=6
Mon Sep 03 19:00:00 UTC 2012,44,world=5
Mon Sep 03 20:00:00 UTC 2012,57,tell=4
Mon Sep 03 21:00:00 UTC 2012,50,haha=5
Mon Sep 03 22:00:00 UTC 2012,49,barber=3
Mon Sep 03 23:00:00 UTC 2012,24,tomorrow=2_easter=2_movie=2_vertigo=2
Tue Sep 04 00:00:00 UTC 2012,17,redwood=2_paid=2
Tue Sep 04 01:00:00 UTC 2012,7,""
Tue Sep 04 02:00:00 UTC 2012,2,coast=2
Tue Sep 04 03:00:00 UTC 2012,14,interesting=2
Tue Sep 04 04:00:00 UTC 2012,6,""
Tue Sep 04 05:00:00 UTC 2012,6,""
Tue Sep 04 06:00:00 UTC 2012,14,che=2_holiday=2_dollari=2_solo=2
Tue Sep 04 07:00:00 UTC 2012,17,esthetician=3
Tue Sep 04 08:00:00 UTC 2012,34,change=4
Tue Sep 04 09:00:00 UTC 2012,20,wakka=2_better=2_work=2_thank=2
Tue Sep 04 10:00:00 UTC 2012,57,mumble=4
Tue Sep 04 11:00:00 UTC 2012,50,sam=4
Tue Sep 04 12:00:00 UTC 2012,61,speech=6
Tue Sep 04 13:00:00 UTC 2012,44,stanford=4_google=4
Tue Sep 04 14:00:00 UTC 2012,43,dnc=4
Tue Sep 04 15:00:00 UTC 2012,61,life=6
Tue Sep 04 16:00:00 UTC 2012,112,dnc=7
Tue Sep 04 17:00:00 UTC 2012,86,eres=5
Tue Sep 04 18:00:00 UTC 2012,125,people=7
Tue Sep 04 19:00:00 UTC 2012,96,obama=6
Tue Sep 04 20:00:00 UTC 2012,82,dnc=9
Tue Sep 04 21:00:00 UTC 2012,71,foundry=6
Tue Sep 04 22:00:00 UTC 2012,31,way=2_older=2_god=2_relationships=2_allora=2
Tue Sep 04 23:00:00 UTC 2012,28,tonight=2_brief=2_two=2
Wed Sep 05 00:00:00 UTC 2012,27,looking=3_guy=3_moment=3_away=3_cold=3
Wed Sep 05 01:00:00 UTC 2012,19,ikea=3
Wed Sep 05 02:00:00 UTC 2012,1,""
Wed Sep 05 03:00:00 UTC 2012,1,""
Wed Sep 05 04:00:00 UTC 2012,4,justin=2
Wed Sep 05 05:00:00 UTC 2012,10,""
Wed Sep 05 06:00:00 UTC 2012,20,students=2_called=2_people=2_public=2_far=2
Wed Sep 05 07:00:00 UTC 2012,44,someone=3_free=3_app=3
Wed Sep 05 08:00:00 UTC 2012,54,justin=6
Wed Sep 05 09:00:00 UTC 2012,62,justin=5
Wed Sep 05 10:00:00 UTC 2012,64,who's=4_votebieber=4_it’s=4_stanford=4
Wed Sep 05 11:00:00 UTC 2012,46,stanford=5
Wed Sep 05 12:00:00 UTC 2012,55,really=3
Wed Sep 05 13:00:00 UTC 2012,35,work=4
Wed Sep 05 14:00:00 UTC 2012,0,""
Wed Sep 05 15:00:00 UTC 2012,0,""
Wed Sep 05 16:00:00 UTC 2012,46,justin=11
Wed Sep 05 17:00:00 UTC 2012,74,stanford=8
Wed Sep 05 18:00:00 UTC 2012,74,justin=7
