time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,56,che=3_اللهم=3_ولا=3
Mon Sep 03 01:00:00 UTC 2012,81,nao=14
Mon Sep 03 02:00:00 UTC 2012,40,nao=6
Mon Sep 03 03:00:00 UTC 2012,1,""
Mon Sep 03 04:00:00 UTC 2012,10,human=3
Mon Sep 03 05:00:00 UTC 2012,5,""
Mon Sep 03 06:00:00 UTC 2012,21,bewölkt=3_wetter=3
Mon Sep 03 07:00:00 UTC 2012,12,freut=2_macht=2_dumm=2
Mon Sep 03 08:00:00 UTC 2012,49,gut=4
Mon Sep 03 09:00:00 UTC 2012,83,morning=4
Mon Sep 03 10:00:00 UTC 2012,60,eisenbahn=3_vermutlich=3_الله=3_say=3_a7sn=3
Mon Sep 03 11:00:00 UTC 2012,99,على=4
Mon Sep 03 12:00:00 UTC 2012,88,não=6
Mon Sep 03 13:00:00 UTC 2012,88,wetter=4
Mon Sep 03 14:00:00 UTC 2012,63,mld€=3_live=3_danke=3_recruitment=3
Mon Sep 03 15:00:00 UTC 2012,54,على=3
Mon Sep 03 16:00:00 UTC 2012,61,nie=5
Mon Sep 03 17:00:00 UTC 2012,97,arena=4
Mon Sep 03 18:00:00 UTC 2012,87,نرفضالعبثبالدوائر=5
Mon Sep 03 19:00:00 UTC 2012,135,beats=4_apple=4
Mon Sep 03 20:00:00 UTC 2012,117,sushi=6
Mon Sep 03 21:00:00 UTC 2012,158,voteonedirection=4_się=4
Mon Sep 03 22:00:00 UTC 2012,143,mdr=5
Mon Sep 03 23:00:00 UTC 2012,34,goodnight=2_wählen=2_kaya=2
Tue Sep 04 00:00:00 UTC 2012,0,""
Tue Sep 04 01:00:00 UTC 2012,87,pas=4
Tue Sep 04 02:00:00 UTC 2012,35,kik=14
Tue Sep 04 03:00:00 UTC 2012,5,can't=4
Tue Sep 04 04:00:00 UTC 2012,2,""
Tue Sep 04 05:00:00 UTC 2012,3,happy=2
Tue Sep 04 06:00:00 UTC 2012,24,wetter=4
Tue Sep 04 07:00:00 UTC 2012,25,جداً=3_كبير=3
Tue Sep 04 08:00:00 UTC 2012,62,gmbh=4
Tue Sep 04 09:00:00 UTC 2012,86,gmbh=3
Tue Sep 04 10:00:00 UTC 2012,104,cold=2_الليل=2_wypowiedzi=2_الناس=2_flip=2
Tue Sep 04 11:00:00 UTC 2012,93,valencia=4
Tue Sep 04 12:00:00 UTC 2012,94,على=4
Tue Sep 04 13:00:00 UTC 2012,86,wetter=5
Tue Sep 04 14:00:00 UTC 2012,93,please=4
Tue Sep 04 15:00:00 UTC 2012,108,allianz=4_arena=4
Tue Sep 04 16:00:00 UTC 2012,94,áfon=5
Tue Sep 04 17:00:00 UTC 2012,78,marienplatz=3_bien=3_average=3_ach=3
Tue Sep 04 18:00:00 UTC 2012,144,hotel=6_qui=6_les=6
Tue Sep 04 19:00:00 UTC 2012,111,gillies=5_want=5_daniel=5
Tue Sep 04 20:00:00 UTC 2012,174,fotospam=17
Tue Sep 04 21:00:00 UTC 2012,135,mais=6
Tue Sep 04 22:00:00 UTC 2012,160,على=7
