time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,3021,don't=70
Mon Sep 03 01:00:00 UTC 2012,3059,night=69
Mon Sep 03 02:00:00 UTC 2012,2072,shit=47
Mon Sep 03 03:00:00 UTC 2012,1310,don't=41
Mon Sep 03 04:00:00 UTC 2012,780,sleep=34
Mon Sep 03 05:00:00 UTC 2012,571,night=19
Mon Sep 03 06:00:00 UTC 2012,485,work=17
Mon Sep 03 07:00:00 UTC 2012,663,morning=19
Mon Sep 03 08:00:00 UTC 2012,1101,labor=77
Mon Sep 03 09:00:00 UTC 2012,1697,labor=107
Mon Sep 03 10:00:00 UTC 2012,2369,labor=85
Mon Sep 03 11:00:00 UTC 2012,2614,labor=65
Mon Sep 03 12:00:00 UTC 2012,2858,don't=77
Mon Sep 03 13:00:00 UTC 2012,2956,time=66
Mon Sep 03 14:00:00 UTC 2012,2753,it's=64
Mon Sep 03 15:00:00 UTC 2012,2892,time=79
Mon Sep 03 16:00:00 UTC 2012,3123,don't=70
Mon Sep 03 17:00:00 UTC 2012,939,followmetom=42
Mon Sep 03 18:00:00 UTC 2012,0,""
Mon Sep 03 19:00:00 UTC 2012,3142,don't=67
Mon Sep 03 20:00:00 UTC 2012,4065,job=144
Mon Sep 03 21:00:00 UTC 2012,3539,time=73
Mon Sep 03 22:00:00 UTC 2012,3870,don't=87
Mon Sep 03 23:00:00 UTC 2012,3732,don't=103
Tue Sep 04 00:00:00 UTC 2012,3020,don't=95
Tue Sep 04 01:00:00 UTC 2012,2405,don't=88
Tue Sep 04 02:00:00 UTC 2012,1483,don't=49
Tue Sep 04 03:00:00 UTC 2012,981,don't=31
Tue Sep 04 04:00:00 UTC 2012,619,sleep=20_shit=20
Tue Sep 04 05:00:00 UTC 2012,433,airport=19
Tue Sep 04 06:00:00 UTC 2012,620,morning=27
Tue Sep 04 07:00:00 UTC 2012,982,work=44
Tue Sep 04 08:00:00 UTC 2012,1700,morning=86
Tue Sep 04 09:00:00 UTC 2012,2052,morning=86
Tue Sep 04 10:00:00 UTC 2012,2568,don't=75
Tue Sep 04 11:00:00 UTC 2012,2718,school=69
Tue Sep 04 12:00:00 UTC 2012,2719,school=62
Tue Sep 04 13:00:00 UTC 2012,2753,school=66
Tue Sep 04 14:00:00 UTC 2012,3018,think=75
Tue Sep 04 15:00:00 UTC 2012,2931,it's=62
Tue Sep 04 16:00:00 UTC 2012,3133,one=67
Tue Sep 04 17:00:00 UTC 2012,3174,time=71
Tue Sep 04 18:00:00 UTC 2012,3526,don't=84
Tue Sep 04 19:00:00 UTC 2012,3805,one=85
Tue Sep 04 20:00:00 UTC 2012,4252,job=143
Tue Sep 04 21:00:00 UTC 2012,4336,dnc=177
Tue Sep 04 22:00:00 UTC 2012,3961,dnc=316
Tue Sep 04 23:00:00 UTC 2012,4516,dnc=221
Wed Sep 05 00:00:00 UTC 2012,3421,don't=106
Wed Sep 05 01:00:00 UTC 2012,2227,one=75
Wed Sep 05 02:00:00 UTC 2012,1437,don't=53
Wed Sep 05 03:00:00 UTC 2012,869,sleep=30
Wed Sep 05 04:00:00 UTC 2012,446,sleep=21
Wed Sep 05 05:00:00 UTC 2012,481,still=16
Wed Sep 05 06:00:00 UTC 2012,748,school=37
Wed Sep 05 07:00:00 UTC 2012,1397,school=69
Wed Sep 05 08:00:00 UTC 2012,1942,school=85
Wed Sep 05 09:00:00 UTC 2012,2627,morning=107
Wed Sep 05 10:00:00 UTC 2012,2846,today=76
Wed Sep 05 11:00:00 UTC 2012,3039,it's=92
Wed Sep 05 12:00:00 UTC 2012,3185,school=77
