time,count,top_words
Mon Sep 03 00:00:00 UTC 2012,343,miss=7
Mon Sep 03 01:00:00 UTC 2012,303,people=9
Mon Sep 03 02:00:00 UTC 2012,151,الله=8
Mon Sep 03 03:00:00 UTC 2012,130,ugly=7
Mon Sep 03 04:00:00 UTC 2012,222,الله=11
Mon Sep 03 05:00:00 UTC 2012,135,على=7
Mon Sep 03 06:00:00 UTC 2012,274,sfo=8
Mon Sep 03 07:00:00 UTC 2012,428,morning=11_على=11
Mon Sep 03 08:00:00 UTC 2012,538,على=10
Mon Sep 03 09:00:00 UTC 2012,609,fue=16
Mon Sep 03 10:00:00 UTC 2012,621,27cosassobremi=53
Mon Sep 03 11:00:00 UTC 2012,824,todo=18
Mon Sep 03 12:00:00 UTC 2012,808,não=16
Mon Sep 03 13:00:00 UTC 2012,951,giants=33
Mon Sep 03 14:00:00 UTC 2012,354,giants=12_27cosassobremi=12
Mon Sep 03 15:00:00 UTC 2012,0,""
Mon Sep 03 16:00:00 UTC 2012,1172,sfgiants=30
Mon Sep 03 17:00:00 UTC 2012,1539,gracias=103
Mon Sep 03 18:00:00 UTC 2012,1450,esta=29
Mon Sep 03 19:00:00 UTC 2012,1256,bebe=26
Mon Sep 03 20:00:00 UTC 2012,988,tengo=16
Mon Sep 03 21:00:00 UTC 2012,803,todo=15
Mon Sep 03 22:00:00 UTC 2012,581,night=12_haha=12_well=12_التويتر=12
Mon Sep 03 23:00:00 UTC 2012,508,haha=22
Tue Sep 04 00:00:00 UTC 2012,312,على=8
Tue Sep 04 01:00:00 UTC 2012,179,haha=9
Tue Sep 04 02:00:00 UTC 2012,151,على=12
Tue Sep 04 03:00:00 UTC 2012,243,على=12
Tue Sep 04 04:00:00 UTC 2012,187,رونالدو=8
Tue Sep 04 05:00:00 UTC 2012,206,não=18
Tue Sep 04 06:00:00 UTC 2012,303,ang=26
Tue Sep 04 07:00:00 UTC 2012,393,morning=9
Tue Sep 04 08:00:00 UTC 2012,597,27cosassobremi=22
Tue Sep 04 09:00:00 UTC 2012,699,27cosassobremi=33
Tue Sep 04 10:00:00 UTC 2012,794,amor=19
Tue Sep 04 11:00:00 UTC 2012,693,poptoo=10_right=10_darkness=10_thanks=10
Tue Sep 04 12:00:00 UTC 2012,954,todo=20
Tue Sep 04 13:00:00 UTC 2012,927,tweet=18
Tue Sep 04 14:00:00 UTC 2012,1041,¿follow=20
Tue Sep 04 15:00:00 UTC 2012,1085,todo=24
Tue Sep 04 16:00:00 UTC 2012,1225,jajajaja=21
Tue Sep 04 17:00:00 UTC 2012,1281,eltopxígeno=104_aquetelarompo=104_numero=104
Tue Sep 04 18:00:00 UTC 2012,1404,union=37
Tue Sep 04 19:00:00 UTC 2012,1112,giants=38
Tue Sep 04 20:00:00 UTC 2012,1256,michelle=36
Tue Sep 04 21:00:00 UTC 2012,1058,sfgiants=39
Tue Sep 04 22:00:00 UTC 2012,805,sfgiants=27
Tue Sep 04 23:00:00 UTC 2012,529,haha=14
Wed Sep 05 00:00:00 UTC 2012,273,sleep=9_الله=9
Wed Sep 05 01:00:00 UTC 2012,203,يستر=7_الله=7
Wed Sep 05 02:00:00 UTC 2012,147,حاجهنفسيتختفي=11
Wed Sep 05 03:00:00 UTC 2012,112,الختان=5_على=5
Wed Sep 05 04:00:00 UTC 2012,137,انا=5
Wed Sep 05 05:00:00 UTC 2012,238,battery=31
Wed Sep 05 06:00:00 UTC 2012,291,laptop=19
Wed Sep 05 07:00:00 UTC 2012,368,single=16
Wed Sep 05 08:00:00 UTC 2012,748,hay=13
Wed Sep 05 09:00:00 UTC 2012,860,hoy=18
Wed Sep 05 10:00:00 UTC 2012,837,way=17
Wed Sep 05 11:00:00 UTC 2012,927,quiero=21
Wed Sep 05 12:00:00 UTC 2012,884,next=13
Wed Sep 05 13:00:00 UTC 2012,546,eso=10
Wed Sep 05 14:00:00 UTC 2012,0,""
Wed Sep 05 15:00:00 UTC 2012,0,""
Wed Sep 05 16:00:00 UTC 2012,759,امين=26
Wed Sep 05 17:00:00 UTC 2012,1397,numero=110
Wed Sep 05 18:00:00 UTC 2012,1364,giants=24
Wed Sep 05 19:00:00 UTC 2012,1941,rainbow=296
Wed Sep 05 20:00:00 UTC 2012,1416,rainbow=55
Wed Sep 05 21:00:00 UTC 2012,1124,haha=21
Wed Sep 05 22:00:00 UTC 2012,816,jafj=27
Wed Sep 05 23:00:00 UTC 2012,531,rainbow=14
Thu Sep 06 00:00:00 UTC 2012,249,home=7
Thu Sep 06 01:00:00 UTC 2012,217,home=5_way=5_great=5_что=5_well=5
Thu Sep 06 02:00:00 UTC 2012,175,sleep=5
Thu Sep 06 03:00:00 UTC 2012,142,الله=7
Thu Sep 06 04:00:00 UTC 2012,116,engineering=4_على=4
Thu Sep 06 05:00:00 UTC 2012,207,battery=18
Thu Sep 06 06:00:00 UTC 2012,304,laptop=52
Thu Sep 06 07:00:00 UTC 2012,475,bateria=20_laptop=20
Thu Sep 06 08:00:00 UTC 2012,616,morning=16
Thu Sep 06 09:00:00 UTC 2012,705,الله=19
Thu Sep 06 10:00:00 UTC 2012,723,class=12_poptoo=12
Thu Sep 06 11:00:00 UTC 2012,783,thanks=15
Thu Sep 06 12:00:00 UTC 2012,866,não=23
Thu Sep 06 13:00:00 UTC 2012,1043,esta=18
Thu Sep 06 14:00:00 UTC 2012,1173,todo=20
Thu Sep 06 15:00:00 UTC 2012,1118,hoy=18
Thu Sep 06 16:00:00 UTC 2012,1308,esta=22_quiero=22
Thu Sep 06 17:00:00 UTC 2012,1621,numero=113_eltopxígeno=113_aquetelarompo=113
Thu Sep 06 18:00:00 UTC 2012,1638,esta=33
Thu Sep 06 19:00:00 UTC 2012,1728,dnc=59
Thu Sep 06 20:00:00 UTC 2012,1411,dnc=39
Thu Sep 06 21:00:00 UTC 2012,1151,quiero=18
Thu Sep 06 22:00:00 UTC 2012,727,haha=12
Thu Sep 06 23:00:00 UTC 2012,507,woop=17
Fri Sep 07 00:00:00 UTC 2012,319,amazing=8_diiv=8
Fri Sep 07 01:00:00 UTC 2012,186,really=6_ruby=6_skye=6_obama=6_成田発=6
Fri Sep 07 02:00:00 UTC 2012,130,unya=4
Fri Sep 07 03:00:00 UTC 2012,134,quiero=4
Fri Sep 07 04:00:00 UTC 2012,135,sfo=5
Fri Sep 07 05:00:00 UTC 2012,199,battery=11_woop=11
Fri Sep 07 06:00:00 UTC 2012,350,woop=13
Fri Sep 07 07:00:00 UTC 2012,551,morning=15
Fri Sep 07 08:00:00 UTC 2012,1000,hoy=26
Fri Sep 07 09:00:00 UTC 2012,849,hoy=16
Fri Sep 07 10:00:00 UTC 2012,686,right=12
Fri Sep 07 11:00:00 UTC 2012,941,eso=13
Fri Sep 07 12:00:00 UTC 2012,844,right=12
Fri Sep 07 13:00:00 UTC 2012,1075,واحدةمنأهممشاكلمصر=17_amote=17
Fri Sep 07 14:00:00 UTC 2012,1091,colombia=23
Fri Sep 07 15:00:00 UTC 2012,1116,ياريس=21_colombia=21
Fri Sep 07 16:00:00 UTC 2012,961,esta=20
Fri Sep 07 17:00:00 UTC 2012,1319,esta=27_quiero=27
Fri Sep 07 18:00:00 UTC 2012,1404,eso=25_todo=25
Fri Sep 07 19:00:00 UTC 2012,1546,dodgers=30_beatla=30
Fri Sep 07 20:00:00 UTC 2012,1281,todo=24
Fri Sep 07 21:00:00 UTC 2012,1087,beatla=30
Fri Sep 07 22:00:00 UTC 2012,815,game=21
Fri Sep 07 23:00:00 UTC 2012,551,night=18
Sat Sep 08 00:00:00 UTC 2012,436,fuck=9
Sat Sep 08 01:00:00 UTC 2012,354,want=6_linkin=6_成田発=6_really=6
Sat Sep 08 02:00:00 UTC 2012,209,night=9
Sat Sep 08 03:00:00 UTC 2012,153,best=5
Sat Sep 08 04:00:00 UTC 2012,120,الله=5_اللي=5
Sat Sep 08 05:00:00 UTC 2012,151,tem=8
Sat Sep 08 06:00:00 UTC 2012,421,bateria=78_laptop=78
Sat Sep 08 07:00:00 UTC 2012,469,orsiputo=13
Sat Sep 08 08:00:00 UTC 2012,561,morning=12
Sat Sep 08 09:00:00 UTC 2012,840,todo=20
Sat Sep 08 10:00:00 UTC 2012,846,hoy=14_ser=14_vida=14
Sat Sep 08 11:00:00 UTC 2012,1010,hay=18
Sat Sep 08 12:00:00 UTC 2012,1084,giants=19
Sat Sep 08 13:00:00 UTC 2012,1124,giants=30
Sat Sep 08 14:00:00 UTC 2012,1026,dodgers=15
Sat Sep 08 15:00:00 UTC 2012,1068,voy=17
Sat Sep 08 16:00:00 UTC 2012,934,eso=15
Sat Sep 08 17:00:00 UTC 2012,960,job=19
Sat Sep 08 18:00:00 UTC 2012,1108,bien=18_esta=18
Sat Sep 08 19:00:00 UTC 2012,1054,quiero=24
Sat Sep 08 20:00:00 UTC 2012,1084,todo=23
