time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,135,اللي=8
Mon Sep 03 01:00:00 UTC 2012,0,1,60,100,video=10
Mon Sep 03 02:00:00 UTC 2012,0,2,120,58,ain’t=2_lassen=2_ahora=2_jajaja=2_show=2
Mon Sep 03 03:00:00 UTC 2012,0,3,180,27,sabir=2_gine=2_allah=2_photo=2_nacht=2
Mon Sep 03 04:00:00 UTC 2012,0,4,240,25,potsdam=2_museum=2_mauerpark=2_voy=2_potsdamer=2
Mon Sep 03 05:00:00 UTC 2012,0,5,300,26,guten=5_morgen=5
Mon Sep 03 06:00:00 UTC 2012,0,6,360,58,denewsblog=3_morgen=3_wetter=3
Mon Sep 03 07:00:00 UTC 2012,0,7,420,84,morgen=6
Mon Sep 03 08:00:00 UTC 2012,0,8,480,162,morgen=9
Mon Sep 03 09:00:00 UTC 2012,0,9,540,209,ifa=15
Mon Sep 03 10:00:00 UTC 2012,0,10,600,240,ifa=20
Mon Sep 03 11:00:00 UTC 2012,0,11,660,191,ifa=16
Mon Sep 03 12:00:00 UTC 2012,0,12,720,183,ifa=20
Mon Sep 03 13:00:00 UTC 2012,0,13,780,184,ifa=13
Mon Sep 03 14:00:00 UTC 2012,0,14,840,167,ifa=6
Mon Sep 03 15:00:00 UTC 2012,0,15,900,179,ifa=13
Mon Sep 03 16:00:00 UTC 2012,0,16,960,195,wall=9
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,201,ifa=13
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,223,ifa=9
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,238,hoşgeldinleylailemecnun=17
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,245,tor=6_steuergeldverbrennung=6_ber=6_schuldenaufnahme=6_landesbibliothek=6
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,181,potsdamer=4_wer=4_igers=4_latergram=4_morgen=4
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,182,nacht=6
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,63,krankheit=4
Tue Sep 04 00:00:00 UTC 2012,1,0,0,0,""
Tue Sep 04 01:00:00 UTC 2012,1,1,60,65,gue=5
Tue Sep 04 02:00:00 UTC 2012,1,2,120,68,fuck=13
Tue Sep 04 03:00:00 UTC 2012,1,3,180,44,einfach=3_french=3
Tue Sep 04 04:00:00 UTC 2012,1,4,240,52,não=4_yok=4_soninha=4
Tue Sep 04 05:00:00 UTC 2012,1,5,300,25,levy=5
Tue Sep 04 06:00:00 UTC 2012,1,6,360,35,morgen=5
Tue Sep 04 07:00:00 UTC 2012,1,7,420,71,ber=7
Tue Sep 04 08:00:00 UTC 2012,1,8,480,131,morgen=17
Tue Sep 04 09:00:00 UTC 2012,1,9,540,164,ifa=6
Tue Sep 04 10:00:00 UTC 2012,1,10,600,167,smile=6_frankfurt=6
Tue Sep 04 11:00:00 UTC 2012,1,11,660,188,drucker=9
Tue Sep 04 12:00:00 UTC 2012,1,12,720,189,ifa=8
Tue Sep 04 13:00:00 UTC 2012,1,13,780,206,berliner=7
Tue Sep 04 14:00:00 UTC 2012,1,14,840,191,ifa=10
Tue Sep 04 15:00:00 UTC 2012,1,15,900,181,ifa=8
Tue Sep 04 16:00:00 UTC 2012,1,16,960,197,hotel=8
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,242,ifa=6
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,238,ifa=10
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,266,foto=6
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,232,want=5
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,243,golf=12
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,253,golf=14
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,224,ben=6
Wed Sep 05 00:00:00 UTC 2012,2,0,0,125,posted=6_photo=6
Wed Sep 05 01:00:00 UTC 2012,2,1,60,100,domian=25
Wed Sep 05 02:00:00 UTC 2012,2,2,120,54,thanks=3
Wed Sep 05 03:00:00 UTC 2012,2,3,180,34,jaja=5
Wed Sep 05 04:00:00 UTC 2012,2,4,240,30,sea=2_eres=2_nacht=2_marica=2_bellevue=2
Wed Sep 05 05:00:00 UTC 2012,2,5,300,13,moin=2
Wed Sep 05 06:00:00 UTC 2012,2,6,360,60,wowereit=23
Wed Sep 05 07:00:00 UTC 2012,2,7,420,98,guten=8
Wed Sep 05 08:00:00 UTC 2012,2,8,480,130,guten=8_morgen=8
Wed Sep 05 09:00:00 UTC 2012,2,9,540,181,ifa=8
Wed Sep 05 10:00:00 UTC 2012,2,10,600,189,gut=5
Wed Sep 05 11:00:00 UTC 2012,2,11,660,175,heute=6
Wed Sep 05 12:00:00 UTC 2012,2,12,720,185,ifa=5_non=5_jajaja=5
Wed Sep 05 13:00:00 UTC 2012,2,13,780,187,wetter=5
Wed Sep 05 14:00:00 UTC 2012,2,14,840,177,ifa=7
Wed Sep 05 15:00:00 UTC 2012,2,15,900,186,silverwings=6
Wed Sep 05 16:00:00 UTC 2012,2,16,960,226,fatihaksoyukınıyoruz=7
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,227,fatihaksoyukınıyoruz=7_lumia=7
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,237,ifa=6
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,217,kadewe=4_room=4_menschen=4_weird=4_olympiastadion=4
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,232,starbucks=7
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,228,ifa=7
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,167,cbase=5
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,0,""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,0,""
Thu Sep 06 01:00:00 UTC 2012,3,1,60,61,domian=15
Thu Sep 06 02:00:00 UTC 2012,3,2,120,37,eres=2_unix=2_meh=2_imposible=2_paris=2
Thu Sep 06 03:00:00 UTC 2012,3,3,180,51,muy=4
Thu Sep 06 04:00:00 UTC 2012,3,4,240,52,eso=2_kokain=2_ahora=2
Thu Sep 06 05:00:00 UTC 2012,3,5,300,24,airport=4
Thu Sep 06 06:00:00 UTC 2012,3,6,360,36,wetter=4
Thu Sep 06 07:00:00 UTC 2012,3,7,420,59,denewsblog=3
Thu Sep 06 08:00:00 UTC 2012,3,8,480,119,airport=5
Thu Sep 06 09:00:00 UTC 2012,3,9,540,180,wer=5
Thu Sep 06 10:00:00 UTC 2012,3,10,600,185,gerade=5_foto=5
Thu Sep 06 11:00:00 UTC 2012,3,11,660,194,uhr=6
Thu Sep 06 12:00:00 UTC 2012,3,12,720,132,van=4_heute=4
Thu Sep 06 13:00:00 UTC 2012,3,13,780,196,kadewe=6
Thu Sep 06 14:00:00 UTC 2012,3,14,840,216,heute=5_gut=5
Thu Sep 06 15:00:00 UTC 2012,3,15,900,184,straße=4
Thu Sep 06 16:00:00 UTC 2012,3,16,960,228,gema=6
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,191,gema=4_many=4_gerade=4_immer=4
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,223,bird=5_armut=5_gema=5
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,206,haus=6
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,238,drp=11
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,247,drp=7
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,191,haha=5
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,174,twittering=4_جزء=4_travelling=4_ausweg=4_niente=4
Fri Sep 07 00:00:00 UTC 2012,4,0,0,209,specialff=8_heutige=8
Fri Sep 07 01:00:00 UTC 2012,4,1,60,51,avere=4_non=4
Fri Sep 07 02:00:00 UTC 2012,4,2,120,49,إذا=5
Fri Sep 07 03:00:00 UTC 2012,4,3,180,43,estoy=4
Fri Sep 07 04:00:00 UTC 2012,4,4,240,44,tengo=4
Fri Sep 07 05:00:00 UTC 2012,4,5,300,32,really=4
Fri Sep 07 06:00:00 UTC 2012,4,6,360,50,wetter=4
Fri Sep 07 07:00:00 UTC 2012,4,7,420,55,moin=5
Fri Sep 07 08:00:00 UTC 2012,4,8,480,118,morgen=5
Fri Sep 07 09:00:00 UTC 2012,4,9,540,214,heute=7_شـكـرا=7_specialff=7
Fri Sep 07 10:00:00 UTC 2012,4,10,600,160,اللهم=4_frauen=4
Fri Sep 07 11:00:00 UTC 2012,4,11,660,235,nom=6
Fri Sep 07 12:00:00 UTC 2012,4,12,720,173,galerie=5_berlinische=5
Fri Sep 07 13:00:00 UTC 2012,4,13,780,187,ойна́=11
Fri Sep 07 14:00:00 UTC 2012,4,14,840,202,berlinfestival=7
Fri Sep 07 15:00:00 UTC 2012,4,15,900,215,festival=8_flughafen=8_tempelhof=8
Fri Sep 07 16:00:00 UTC 2012,4,16,960,274,festival=10
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,172,festival=7
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,208,festival=10
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,200,restaurant=5_festival=5
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,210,club=4_hätte=4_berlinfestival=4_tebe=4_bisschen=4
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,154,Поможем=4_Антону=4_Литиненко=4_tebe=4
