time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,10,tweet=2_forrest=2_java=2
Mon Sep 03 01:00:00 UTC 2012,0,1,60,4,""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,5,""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,3,okay=2
Mon Sep 03 04:00:00 UTC 2012,0,4,240,5,beseech=2_thee=2_lord=2
Mon Sep 03 05:00:00 UTC 2012,0,5,300,0,""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,0,""
Mon Sep 03 07:00:00 UTC 2012,0,7,420,1,""
Mon Sep 03 08:00:00 UTC 2012,0,8,480,4,""
Mon Sep 03 09:00:00 UTC 2012,0,9,540,10,happy=3_labor=3_bbq=3
Mon Sep 03 10:00:00 UTC 2012,0,10,600,3,hours=2
Mon Sep 03 11:00:00 UTC 2012,0,11,660,8,trick=2_treat=2_gracias=2
Mon Sep 03 12:00:00 UTC 2012,0,12,720,8,apple=4
Mon Sep 03 13:00:00 UTC 2012,0,13,780,8,""
Mon Sep 03 14:00:00 UTC 2012,0,14,840,2,""
Mon Sep 03 15:00:00 UTC 2012,0,15,900,0,""
Mon Sep 03 16:00:00 UTC 2012,0,16,960,22,apple=4
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,14,older=2_open=2_space=2_fuck=2_throw=2
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,23,networks=3
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,19,benihana=5
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,36,labor=7
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,14,hope=10_labor=10
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,17,free=3
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,6,right=2_want=2
Tue Sep 04 00:00:00 UTC 2012,1,0,0,7,gardenstate=3
Tue Sep 04 01:00:00 UTC 2012,1,1,60,3,""
Tue Sep 04 02:00:00 UTC 2012,1,2,120,6,haha=4
Tue Sep 04 03:00:00 UTC 2012,1,3,180,2,""
Tue Sep 04 04:00:00 UTC 2012,1,4,240,8,…cont=4_cont…=4
Tue Sep 04 05:00:00 UTC 2012,1,5,300,3,""
Tue Sep 04 06:00:00 UTC 2012,1,6,360,0,""
Tue Sep 04 07:00:00 UTC 2012,1,7,420,8,スタバで朝のコーヒーなう。週明け早々仕事が山積みだけどポメラさんのおかげで優先順位をまとめることが出来る。みんなスーパーマンじゃないんだから、一気に色々なことをするのは厳しいけど、重要なことから要領よく対応することは出来る。=2
Tue Sep 04 08:00:00 UTC 2012,1,8,480,6,""
Tue Sep 04 09:00:00 UTC 2012,1,9,540,15,apple=2_work=2
Tue Sep 04 10:00:00 UTC 2012,1,10,600,12,obama=2_hard=2_work=2
Tue Sep 04 11:00:00 UTC 2012,1,11,660,10,pleads=2_dvc=2_killing=2_guilty=2_montavista=2
Tue Sep 04 12:00:00 UTC 2012,1,12,720,26,apple=3_work=3
Tue Sep 04 13:00:00 UTC 2012,1,13,780,16,obama=2_boob=2_buen=2
Tue Sep 04 14:00:00 UTC 2012,1,14,840,16,apple=5
Tue Sep 04 15:00:00 UTC 2012,1,15,900,14,atari=2_sounds=2_html=2_iphone=2_details=2
Tue Sep 04 16:00:00 UTC 2012,1,16,960,17,nude=2_bj's=2_better=2_macs=2
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,18,tapforms=3_obama=3
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,11,orenchi=2_mac=2_jose=2
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,7,steakhouse=2
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,9,door=2_want=2_stop=2
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,14,stop=2_perception=2_right=2
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,29,beer=4
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,21,toddlivetweetsjuno=6
Wed Sep 05 00:00:00 UTC 2012,2,0,0,10,toddlivetweetsjuno=4
Wed Sep 05 01:00:00 UTC 2012,2,1,60,2,""
Wed Sep 05 02:00:00 UTC 2012,2,2,120,0,""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,0,""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,2,""
Wed Sep 05 05:00:00 UTC 2012,2,5,300,2,people=2_government=2
Wed Sep 05 06:00:00 UTC 2012,2,6,360,2,""
Wed Sep 05 07:00:00 UTC 2012,2,7,420,5,foiling=2
