time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,38,someone=3_guy=3
Mon Sep 03 01:00:00 UTC 2012,0,1,60,15,never=3
Mon Sep 03 02:00:00 UTC 2012,0,2,120,5,a61k=2_real=2
Mon Sep 03 03:00:00 UTC 2012,0,3,180,5,""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,12,più=2_ragazza=2_hipster=2_famiglia=2_che=2
Mon Sep 03 05:00:00 UTC 2012,0,5,300,7,sono=2
Mon Sep 03 06:00:00 UTC 2012,0,6,360,12,map=2_khunnie=2_game=2_play=2_wanna=2
Mon Sep 03 07:00:00 UTC 2012,0,7,420,26,net=3
Mon Sep 03 08:00:00 UTC 2012,0,8,480,37,friend=4_can't=4
Mon Sep 03 09:00:00 UTC 2012,0,9,540,21,hug=2_nuna=2_everything=2_thanks=2_justin=2
Mon Sep 03 10:00:00 UTC 2012,0,10,600,32,cspandnc=3_white=3_getting=3_teaparty=3_america=3
Mon Sep 03 11:00:00 UTC 2012,0,11,660,27,think=2_mtn=2_bay=2_sound=2_forge=2
Mon Sep 03 12:00:00 UTC 2012,0,12,720,38,play=4_map=4_game=4
Mon Sep 03 13:00:00 UTC 2012,0,13,780,17,feeling=2_lives=2_wakey=2
Mon Sep 03 14:00:00 UTC 2012,0,14,840,11,""
Mon Sep 03 15:00:00 UTC 2012,0,15,900,0,""
Mon Sep 03 16:00:00 UTC 2012,0,16,960,52,che=3_wait=3_redwood=3_look=3
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,135,algo=7
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,65,justin=6
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,44,world=5
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,57,tell=4
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,50,haha=5
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,49,barber=3
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,24,movie=2_tomorrow=2_easter=2_vertigo=2
Tue Sep 04 00:00:00 UTC 2012,1,0,0,17,redwood=2_paid=2
Tue Sep 04 01:00:00 UTC 2012,1,1,60,7,""
Tue Sep 04 02:00:00 UTC 2012,1,2,120,2,coast=2
Tue Sep 04 03:00:00 UTC 2012,1,3,180,14,interesting=2
Tue Sep 04 04:00:00 UTC 2012,1,4,240,6,""
Tue Sep 04 05:00:00 UTC 2012,1,5,300,6,""
Tue Sep 04 06:00:00 UTC 2012,1,6,360,14,dollari=2_solo=2_holiday=2_che=2
Tue Sep 04 07:00:00 UTC 2012,1,7,420,17,esthetician=3
Tue Sep 04 08:00:00 UTC 2012,1,8,480,34,change=4
Tue Sep 04 09:00:00 UTC 2012,1,9,540,20,thank=2_work=2_better=2_wakka=2
Tue Sep 04 10:00:00 UTC 2012,1,10,600,57,mumble=4
Tue Sep 04 11:00:00 UTC 2012,1,11,660,50,sam=4
Tue Sep 04 12:00:00 UTC 2012,1,12,720,61,speech=6
Tue Sep 04 13:00:00 UTC 2012,1,13,780,44,stanford=4_google=4
Tue Sep 04 14:00:00 UTC 2012,1,14,840,43,dnc=4
Tue Sep 04 15:00:00 UTC 2012,1,15,900,61,life=6
Tue Sep 04 16:00:00 UTC 2012,1,16,960,112,dnc=7
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,86,eres=5
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,125,people=7
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,96,obama=6
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,82,dnc=9
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,71,foundry=6
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,31,god=2_relationships=2_looks=2_way=2_older=2
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,28,two=2_tonight=2_brief=2
Wed Sep 05 00:00:00 UTC 2012,2,0,0,27,cold=3_guy=3_away=3_looking=3_awkward=3
Wed Sep 05 01:00:00 UTC 2012,2,1,60,19,ikea=3
Wed Sep 05 02:00:00 UTC 2012,2,2,120,1,""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,1,""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,4,justin=2
