time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,56,اللهم=3_che=3_ولا=3
Mon Sep 03 01:00:00 UTC 2012,0,1,60,81,nao=14
Mon Sep 03 02:00:00 UTC 2012,0,2,120,40,nao=6
Mon Sep 03 03:00:00 UTC 2012,0,3,180,1,""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,10,human=3
Mon Sep 03 05:00:00 UTC 2012,0,5,300,5,""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,21,wetter=3_bewölkt=3
Mon Sep 03 07:00:00 UTC 2012,0,7,420,12,freut=2_dumm=2_macht=2
Mon Sep 03 08:00:00 UTC 2012,0,8,480,49,gut=4
Mon Sep 03 09:00:00 UTC 2012,0,9,540,83,morning=4
Mon Sep 03 10:00:00 UTC 2012,0,10,600,60,a7sn=3_الله=3_vermutlich=3_say=3_eisenbahn=3
Mon Sep 03 11:00:00 UTC 2012,0,11,660,99,على=4
Mon Sep 03 12:00:00 UTC 2012,0,12,720,88,não=6
Mon Sep 03 13:00:00 UTC 2012,0,13,780,88,wetter=4
Mon Sep 03 14:00:00 UTC 2012,0,14,840,63,danke=3_recruitment=3_mld€=3_live=3
Mon Sep 03 15:00:00 UTC 2012,0,15,900,54,على=3
Mon Sep 03 16:00:00 UTC 2012,0,16,960,61,nie=5
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,97,arena=4
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,87,نرفضالعبثبالدوائر=5
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,135,beats=4_apple=4
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,117,sushi=6
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,158,voteonedirection=4_się=4
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,143,mdr=5
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,34,kaya=2_goodnight=2_wählen=2
Tue Sep 04 00:00:00 UTC 2012,1,0,0,0,""
Tue Sep 04 01:00:00 UTC 2012,1,1,60,87,pas=4
Tue Sep 04 02:00:00 UTC 2012,1,2,120,35,kik=14
Tue Sep 04 03:00:00 UTC 2012,1,3,180,5,can't=4
Tue Sep 04 04:00:00 UTC 2012,1,4,240,2,""
Tue Sep 04 05:00:00 UTC 2012,1,5,300,3,happy=2
Tue Sep 04 06:00:00 UTC 2012,1,6,360,24,wetter=4
Tue Sep 04 07:00:00 UTC 2012,1,7,420,25,جداً=3_كبير=3
Tue Sep 04 08:00:00 UTC 2012,1,8,480,62,gmbh=4
Tue Sep 04 09:00:00 UTC 2012,1,9,540,86,gmbh=3
Tue Sep 04 10:00:00 UTC 2012,1,10,600,104,helfen=2_على=2_راح=2_flip=2_ale=2
Tue Sep 04 11:00:00 UTC 2012,1,11,660,93,valencia=4
Tue Sep 04 12:00:00 UTC 2012,1,12,720,94,على=4
Tue Sep 04 13:00:00 UTC 2012,1,13,780,86,wetter=5
Tue Sep 04 14:00:00 UTC 2012,1,14,840,93,please=4
Tue Sep 04 15:00:00 UTC 2012,1,15,900,108,allianz=4_arena=4
Tue Sep 04 16:00:00 UTC 2012,1,16,960,94,áfon=5
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,78,bien=3_average=3_marienplatz=3_ach=3
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,144,hotel=6_les=6_qui=6
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,111,daniel=5_gillies=5_want=5
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,174,fotospam=17
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,135,mais=6
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,160,على=7
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,165,ولا=6
Wed Sep 05 00:00:00 UTC 2012,2,0,0,119,الله=8
Wed Sep 05 01:00:00 UTC 2012,2,1,60,50,الله=3_walla=3
Wed Sep 05 02:00:00 UTC 2012,2,2,120,45,summertime=4
Wed Sep 05 03:00:00 UTC 2012,2,3,180,27,nao=7
Wed Sep 05 04:00:00 UTC 2012,2,4,240,25,آسف=2_jesuíno=2_dolu=2_terroristen=2
Wed Sep 05 05:00:00 UTC 2012,2,5,300,15,成田発=2_ミュンヘン行きは、只今、最終のご搭乗の案内を致しております。第1ターミナル南ウィング45番ゲートからご搭乗ください。（=2
Wed Sep 05 06:00:00 UTC 2012,2,6,360,16,wetter=4
Wed Sep 05 07:00:00 UTC 2012,2,7,420,34,red=2_rawr=2_coffee=2_became=2
Wed Sep 05 08:00:00 UTC 2012,2,8,480,59,ربي=4_gmbh=4
Wed Sep 05 09:00:00 UTC 2012,2,9,540,87,لقد=4_ابتلاء=4
Wed Sep 05 10:00:00 UTC 2012,2,10,600,66,hotel=5_marriott=5
Wed Sep 05 11:00:00 UTC 2012,2,11,660,61,حسن=3
Wed Sep 05 12:00:00 UTC 2012,2,12,720,97,عادي=5
Wed Sep 05 13:00:00 UTC 2012,2,13,780,88,wetter=5
Wed Sep 05 14:00:00 UTC 2012,2,14,840,90,się=4
Wed Sep 05 15:00:00 UTC 2012,2,15,900,85,kirche=7
Wed Sep 05 16:00:00 UTC 2012,2,16,960,76,est=4_bevor=4
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,78,chocolate=5_fish=5_läderach=5_foto=5
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,141,non=6
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,132,something=50
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,105,bootsteamer=4
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,127,على=6
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,71,welt=10
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,0,""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,0,""
Thu Sep 06 01:00:00 UTC 2012,3,1,60,32,abhängig=2_يوجد=2_vai=2_تجد=2_meu=2
Thu Sep 06 02:00:00 UTC 2012,3,2,120,61,الله=5
Thu Sep 06 03:00:00 UTC 2012,3,3,180,16,freddie=2_diablo=2_chorando=2
Thu Sep 06 04:00:00 UTC 2012,3,4,240,10,coffee=3_الله=3
Thu Sep 06 05:00:00 UTC 2012,3,5,300,11,الحميدي=2_السبيعي=2
Thu Sep 06 06:00:00 UTC 2012,3,6,360,22,wetter=4
Thu Sep 06 07:00:00 UTC 2012,3,7,420,45,kronleuchter=2_weit=2_wieso=2_ios=2_app=2
Thu Sep 06 08:00:00 UTC 2012,3,8,480,72,amo=4_الخير=4_noite=4
Thu Sep 06 09:00:00 UTC 2012,3,9,540,77,الله=4
Thu Sep 06 10:00:00 UTC 2012,3,10,600,66,morgen=4_heute=4_gmbh=4
Thu Sep 06 11:00:00 UTC 2012,3,11,660,59,marienplatz=2_finally=2_monti=2_grazie=2_working=2
Thu Sep 06 12:00:00 UTC 2012,3,12,720,71,مفتوحه=2_problem=2_menschen=2_على=2_fait=2
Thu Sep 06 13:00:00 UTC 2012,3,13,780,67,wetter=5
Thu Sep 06 14:00:00 UTC 2012,3,14,840,97,rize=3_lunch=3_نعمة=3_لتعرف=3_nordbad=3
Thu Sep 06 15:00:00 UTC 2012,3,15,900,112,mau=3_happy=3_gibt=3_nntn=3_cool=3
Thu Sep 06 16:00:00 UTC 2012,3,16,960,86,che=4
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,96,souri=4_gut=4
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,83,platz=3_weißenburger=3_gema=3
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,95,الله=5
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,87,pizza=20
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,82,photo=5_posted=5
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,128,smashingeuropeunited=5
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,132,على=5
Fri Sep 07 00:00:00 UTC 2012,4,0,0,85,home=4
Fri Sep 07 01:00:00 UTC 2012,4,1,60,30,katie=3
Fri Sep 07 02:00:00 UTC 2012,4,2,120,46,pas=6
Fri Sep 07 03:00:00 UTC 2012,4,3,180,16,""
Fri Sep 07 04:00:00 UTC 2012,4,4,240,5,""
Fri Sep 07 05:00:00 UTC 2012,4,5,300,14,java=3
Fri Sep 07 06:00:00 UTC 2012,4,6,360,48,wetter=4
Fri Sep 07 07:00:00 UTC 2012,4,7,420,48,morgen=7
Fri Sep 07 08:00:00 UTC 2012,4,8,480,57,gut=3
Fri Sep 07 09:00:00 UTC 2012,4,9,540,78,heute=5
Fri Sep 07 10:00:00 UTC 2012,4,10,600,105,اللهم=8
Fri Sep 07 11:00:00 UTC 2012,4,11,660,93,google=4
Fri Sep 07 12:00:00 UTC 2012,4,12,720,94,شكرا=4
Fri Sep 07 13:00:00 UTC 2012,4,13,780,92,wetter=5
Fri Sep 07 14:00:00 UTC 2012,4,14,840,81,ana=5
Fri Sep 07 15:00:00 UTC 2012,4,15,900,102,bavaria=3_nie=3_shopping=3_twitter=3_hotel=3
Fri Sep 07 16:00:00 UTC 2012,4,16,960,77,schön=2_backen=2_jefe=2_kad=2_leben=2
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,81,sempre=3_اكثر=3_على=3
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,101,usa=3
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,71,على=3
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,142,miss=11
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,148,nerven=5
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,162,sil=4_vale=4_مثل=4_nich=4
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,86,bla=4
Sat Sep 08 00:00:00 UTC 2012,5,0,0,69,flausch=3_left=3_ana=3
Sat Sep 08 01:00:00 UTC 2012,5,1,60,46,الحب=4_والشوق=4
Sat Sep 08 02:00:00 UTC 2012,5,2,120,24,ميسي=3
Sat Sep 08 03:00:00 UTC 2012,5,3,180,14,b03d=2_c07c=2_method=2_b23k=2_device=2
Sat Sep 08 04:00:00 UTC 2012,5,4,240,5,step=2_منهم=2_radial=2_f04d=2_bag=2
Sat Sep 08 05:00:00 UTC 2012,5,5,300,27,device=10
