time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,3021,shit=62
Mon Sep 03 01:00:00 UTC 2012,0,1,60,3059,night=69
Mon Sep 03 02:00:00 UTC 2012,0,2,120,2072,shit=47
Mon Sep 03 03:00:00 UTC 2012,0,3,180,1310,right=35
Mon Sep 03 04:00:00 UTC 2012,0,4,240,780,sleep=34
Mon Sep 03 05:00:00 UTC 2012,0,5,300,571,night=19
Mon Sep 03 06:00:00 UTC 2012,0,6,360,485,work=17
Mon Sep 03 07:00:00 UTC 2012,0,7,420,663,morning=19
Mon Sep 03 08:00:00 UTC 2012,0,8,480,1101,labor=77
Mon Sep 03 09:00:00 UTC 2012,0,9,540,1697,labor=107
Mon Sep 03 10:00:00 UTC 2012,0,10,600,2369,labor=85
Mon Sep 03 11:00:00 UTC 2012,0,11,660,2614,labor=65
Mon Sep 03 12:00:00 UTC 2012,0,12,720,2858,labor=74
Mon Sep 03 13:00:00 UTC 2012,0,13,780,2956,labor=63
Mon Sep 03 14:00:00 UTC 2012,0,14,840,2753,brooklyn=55
Mon Sep 03 15:00:00 UTC 2012,0,15,900,2892,brooklyn=77
Mon Sep 03 16:00:00 UTC 2012,0,16,960,3123,make=51
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,939,followmetom=42
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,0,""
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,3142,brooklyn=55_people=55
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,4065,job=144
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,3539,can't=61
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,3870,shit=64
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,3732,need=66
Tue Sep 04 00:00:00 UTC 2012,1,0,0,3020,happy=75
Tue Sep 04 01:00:00 UTC 2012,1,1,60,2405,night=41
Tue Sep 04 02:00:00 UTC 2012,1,2,120,1483,shit=41
Tue Sep 04 03:00:00 UTC 2012,1,3,180,981,shit=27
Tue Sep 04 04:00:00 UTC 2012,1,4,240,619,shit=20_sleep=20
Tue Sep 04 05:00:00 UTC 2012,1,5,300,433,airport=19
Tue Sep 04 06:00:00 UTC 2012,1,6,360,620,morning=27
Tue Sep 04 07:00:00 UTC 2012,1,7,420,982,work=44
Tue Sep 04 08:00:00 UTC 2012,1,8,480,1700,morning=86
Tue Sep 04 09:00:00 UTC 2012,1,9,540,2052,morning=86
Tue Sep 04 10:00:00 UTC 2012,1,10,600,2568,morning=68
Tue Sep 04 11:00:00 UTC 2012,1,11,660,2718,happy=59
Tue Sep 04 12:00:00 UTC 2012,1,12,720,2719,really=48
Tue Sep 04 13:00:00 UTC 2012,1,13,780,2753,shit=45
Tue Sep 04 14:00:00 UTC 2012,1,14,840,3018,think=75
Tue Sep 04 15:00:00 UTC 2012,1,15,900,2931,need=43
Tue Sep 04 16:00:00 UTC 2012,1,16,960,3133,people=51
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,3174,rain=58
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,3526,people=60
