time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,0,""
Mon Sep 03 01:00:00 UTC 2012,0,1,60,0,""
Mon Sep 03 02:00:00 UTC 2012,0,2,120,0,""
Mon Sep 03 03:00:00 UTC 2012,0,3,180,1,""
Mon Sep 03 04:00:00 UTC 2012,0,4,240,1,""
Mon Sep 03 05:00:00 UTC 2012,0,5,300,0,""
Mon Sep 03 06:00:00 UTC 2012,0,6,360,0,""
Mon Sep 03 07:00:00 UTC 2012,0,7,420,0,""
Mon Sep 03 08:00:00 UTC 2012,0,8,480,3,""
Mon Sep 03 09:00:00 UTC 2012,0,9,540,3,""
Mon Sep 03 10:00:00 UTC 2012,0,10,600,1,""
Mon Sep 03 11:00:00 UTC 2012,0,11,660,1,""
Mon Sep 03 12:00:00 UTC 2012,0,12,720,2,ihk=2
Mon Sep 03 13:00:00 UTC 2012,0,13,780,2,""
Mon Sep 03 14:00:00 UTC 2012,0,14,840,2,""
Mon Sep 03 15:00:00 UTC 2012,0,15,900,3,""
Mon Sep 03 16:00:00 UTC 2012,0,16,960,7,""
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,1,""
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,7,walther=2_jessy=2_leben=2_hank=2
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,2,""
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,2,""
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,2,""
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,1,""
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,1,""
Tue Sep 04 00:00:00 UTC 2012,1,0,0,0,""
Tue Sep 04 01:00:00 UTC 2012,1,1,60,0,""
Tue Sep 04 02:00:00 UTC 2012,1,2,120,0,""
Tue Sep 04 03:00:00 UTC 2012,1,3,180,0,""
Tue Sep 04 04:00:00 UTC 2012,1,4,240,0,""
Tue Sep 04 05:00:00 UTC 2012,1,5,300,0,""
Tue Sep 04 06:00:00 UTC 2012,1,6,360,1,""
Tue Sep 04 07:00:00 UTC 2012,1,7,420,3,""
Tue Sep 04 08:00:00 UTC 2012,1,8,480,2,""
Tue Sep 04 09:00:00 UTC 2012,1,9,540,1,""
Tue Sep 04 10:00:00 UTC 2012,1,10,600,1,""
Tue Sep 04 11:00:00 UTC 2012,1,11,660,5,""
Tue Sep 04 12:00:00 UTC 2012,1,12,720,7,della=2_che=2
Tue Sep 04 13:00:00 UTC 2012,1,13,780,2,""
Tue Sep 04 14:00:00 UTC 2012,1,14,840,4,""
Tue Sep 04 15:00:00 UTC 2012,1,15,900,3,""
Tue Sep 04 16:00:00 UTC 2012,1,16,960,2,""
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,0,""
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,2,""
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,1,""
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,2,""
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,9,""
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,5,""
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,4,это=2_Лихачеа=2_[=2
Wed Sep 05 00:00:00 UTC 2012,2,0,0,0,""
Wed Sep 05 01:00:00 UTC 2012,2,1,60,0,""
Wed Sep 05 02:00:00 UTC 2012,2,2,120,0,""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,0,""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,0,""
Wed Sep 05 05:00:00 UTC 2012,2,5,300,0,""
Wed Sep 05 06:00:00 UTC 2012,2,6,360,0,""
Wed Sep 05 07:00:00 UTC 2012,2,7,420,1,""
Wed Sep 05 08:00:00 UTC 2012,2,8,480,1,""
Wed Sep 05 09:00:00 UTC 2012,2,9,540,1,""
Wed Sep 05 10:00:00 UTC 2012,2,10,600,3,""
Wed Sep 05 11:00:00 UTC 2012,2,11,660,5,серьёзно=2_ыглядишь=2_глупо=2_ыглядеть=2
Wed Sep 05 12:00:00 UTC 2012,2,12,720,3,""
Wed Sep 05 13:00:00 UTC 2012,2,13,780,0,""
Wed Sep 05 14:00:00 UTC 2012,2,14,840,7,его=2_bekannter=2_complete=2
Wed Sep 05 15:00:00 UTC 2012,2,15,900,4,""
Wed Sep 05 16:00:00 UTC 2012,2,16,960,3,""
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,3,heute=2
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,4,""
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,7,parish=3
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,2,""
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,2,changed=2
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,29,""
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,0,""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,0,""
Thu Sep 06 01:00:00 UTC 2012,3,1,60,0,""
Thu Sep 06 02:00:00 UTC 2012,3,2,120,0,""
