time,day,hour,minute,count,top_words
Mon Sep 03 00:00:00 UTC 2012,0,0,0,343,miss=7
Mon Sep 03 01:00:00 UTC 2012,0,1,60,303,people=9
Mon Sep 03 02:00:00 UTC 2012,0,2,120,151,الله=8
Mon Sep 03 03:00:00 UTC 2012,0,3,180,130,ugly=7
Mon Sep 03 04:00:00 UTC 2012,0,4,240,222,الله=11
Mon Sep 03 05:00:00 UTC 2012,0,5,300,135,على=7
Mon Sep 03 06:00:00 UTC 2012,0,6,360,274,sfo=8
Mon Sep 03 07:00:00 UTC 2012,0,7,420,428,morning=11_على=11
Mon Sep 03 08:00:00 UTC 2012,0,8,480,538,على=10
Mon Sep 03 09:00:00 UTC 2012,0,9,540,609,fue=16
Mon Sep 03 10:00:00 UTC 2012,0,10,600,621,27cosassobremi=53
Mon Sep 03 11:00:00 UTC 2012,0,11,660,824,todo=18
Mon Sep 03 12:00:00 UTC 2012,0,12,720,808,não=16
Mon Sep 03 13:00:00 UTC 2012,0,13,780,951,giants=33
Mon Sep 03 14:00:00 UTC 2012,0,14,840,354,giants=12_27cosassobremi=12
Mon Sep 03 15:00:00 UTC 2012,0,15,900,0,""
Mon Sep 03 16:00:00 UTC 2012,0,16,960,1172,sfgiants=30
Mon Sep 03 17:00:00 UTC 2012,0,17,1020,1539,gracias=103
Mon Sep 03 18:00:00 UTC 2012,0,18,1080,1450,esta=29
Mon Sep 03 19:00:00 UTC 2012,0,19,1140,1256,bebe=26
Mon Sep 03 20:00:00 UTC 2012,0,20,1200,988,tengo=16
Mon Sep 03 21:00:00 UTC 2012,0,21,1260,803,todo=15
Mon Sep 03 22:00:00 UTC 2012,0,22,1320,581,haha=12_التويتر=12_night=12_well=12
Mon Sep 03 23:00:00 UTC 2012,0,23,1380,508,haha=22
Tue Sep 04 00:00:00 UTC 2012,1,0,0,312,على=8
Tue Sep 04 01:00:00 UTC 2012,1,1,60,179,haha=9
Tue Sep 04 02:00:00 UTC 2012,1,2,120,151,على=12
Tue Sep 04 03:00:00 UTC 2012,1,3,180,243,على=12
Tue Sep 04 04:00:00 UTC 2012,1,4,240,187,رونالدو=8
Tue Sep 04 05:00:00 UTC 2012,1,5,300,206,não=18
Tue Sep 04 06:00:00 UTC 2012,1,6,360,303,ang=26
Tue Sep 04 07:00:00 UTC 2012,1,7,420,393,morning=9
Tue Sep 04 08:00:00 UTC 2012,1,8,480,597,27cosassobremi=22
Tue Sep 04 09:00:00 UTC 2012,1,9,540,699,27cosassobremi=33
Tue Sep 04 10:00:00 UTC 2012,1,10,600,794,amor=19
Tue Sep 04 11:00:00 UTC 2012,1,11,660,693,darkness=10_poptoo=10_right=10_thanks=10
Tue Sep 04 12:00:00 UTC 2012,1,12,720,954,todo=20
Tue Sep 04 13:00:00 UTC 2012,1,13,780,927,tweet=18
Tue Sep 04 14:00:00 UTC 2012,1,14,840,1041,¿follow=20
Tue Sep 04 15:00:00 UTC 2012,1,15,900,1085,todo=24
Tue Sep 04 16:00:00 UTC 2012,1,16,960,1225,jajajaja=21
Tue Sep 04 17:00:00 UTC 2012,1,17,1020,1281,aquetelarompo=104_eltopxígeno=104_numero=104
Tue Sep 04 18:00:00 UTC 2012,1,18,1080,1404,union=37
Tue Sep 04 19:00:00 UTC 2012,1,19,1140,1112,giants=38
Tue Sep 04 20:00:00 UTC 2012,1,20,1200,1256,michelle=36
Tue Sep 04 21:00:00 UTC 2012,1,21,1260,1058,sfgiants=39
Tue Sep 04 22:00:00 UTC 2012,1,22,1320,805,sfgiants=27
Tue Sep 04 23:00:00 UTC 2012,1,23,1380,529,haha=14
Wed Sep 05 00:00:00 UTC 2012,2,0,0,273,الله=9_sleep=9
Wed Sep 05 01:00:00 UTC 2012,2,1,60,203,يستر=7_الله=7
Wed Sep 05 02:00:00 UTC 2012,2,2,120,147,حاجهنفسيتختفي=11
Wed Sep 05 03:00:00 UTC 2012,2,3,180,112,الختان=5_على=5
Wed Sep 05 04:00:00 UTC 2012,2,4,240,137,انا=5
Wed Sep 05 05:00:00 UTC 2012,2,5,300,238,battery=31
Wed Sep 05 06:00:00 UTC 2012,2,6,360,291,laptop=19
Wed Sep 05 07:00:00 UTC 2012,2,7,420,368,single=16
Wed Sep 05 08:00:00 UTC 2012,2,8,480,748,hay=13
Wed Sep 05 09:00:00 UTC 2012,2,9,540,860,hoy=18
Wed Sep 05 10:00:00 UTC 2012,2,10,600,837,way=17
Wed Sep 05 11:00:00 UTC 2012,2,11,660,927,quiero=21
Wed Sep 05 12:00:00 UTC 2012,2,12,720,884,next=13
Wed Sep 05 13:00:00 UTC 2012,2,13,780,546,eso=10
Wed Sep 05 14:00:00 UTC 2012,2,14,840,0,""
Wed Sep 05 15:00:00 UTC 2012,2,15,900,0,""
Wed Sep 05 16:00:00 UTC 2012,2,16,960,759,امين=26
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,1397,numero=110
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,1364,giants=24
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,1941,rainbow=296
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,1416,rainbow=55
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,1124,haha=21
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,816,jafj=27
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,531,rainbow=14
Thu Sep 06 00:00:00 UTC 2012,3,0,0,249,home=7
Thu Sep 06 01:00:00 UTC 2012,3,1,60,217,well=5_great=5_way=5_home=5_что=5
Thu Sep 06 02:00:00 UTC 2012,3,2,120,175,sleep=5
Thu Sep 06 03:00:00 UTC 2012,3,3,180,142,الله=7
Thu Sep 06 04:00:00 UTC 2012,3,4,240,116,engineering=4_على=4
Thu Sep 06 05:00:00 UTC 2012,3,5,300,207,battery=18
Thu Sep 06 06:00:00 UTC 2012,3,6,360,304,laptop=52
Thu Sep 06 07:00:00 UTC 2012,3,7,420,475,laptop=20_bateria=20
Thu Sep 06 08:00:00 UTC 2012,3,8,480,616,morning=16
Thu Sep 06 09:00:00 UTC 2012,3,9,540,705,الله=19
Thu Sep 06 10:00:00 UTC 2012,3,10,600,723,poptoo=12_class=12
Thu Sep 06 11:00:00 UTC 2012,3,11,660,783,thanks=15
Thu Sep 06 12:00:00 UTC 2012,3,12,720,866,não=23
Thu Sep 06 13:00:00 UTC 2012,3,13,780,1043,esta=18
Thu Sep 06 14:00:00 UTC 2012,3,14,840,1173,todo=20
Thu Sep 06 15:00:00 UTC 2012,3,15,900,1118,hoy=18
Thu Sep 06 16:00:00 UTC 2012,3,16,960,1308,quiero=22_esta=22
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,1621,numero=113_aquetelarompo=113_eltopxígeno=113
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,1638,esta=33
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,1728,dnc=59
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,1411,dnc=39
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,1151,quiero=18
