time,count,user_count,distance_median,distance_mean,distance_max
Mon Sep 03 00:00:00 UTC 2012,10,toddbodene=5_pinchealii=4_Itsmatty617=1,0,0,0
Mon Sep 03 01:00:00 UTC 2012,4,toddbodene=3_pinchealii=1,0.564178415190136,0.564178415190136,0.564178415190136
Mon Sep 03 02:00:00 UTC 2012,5,demaurice93=2_antonioVasquezz=1_toddbodene=1_pinchealii=1,0,0,0
Mon Sep 03 03:00:00 UTC 2012,3,mcolfer629=2_mari7love=1,0,0,0
Mon Sep 03 04:00:00 UTC 2012,5,TonyMcCreary=4_demaurice93=1,0,0,0
Mon Sep 03 05:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 06:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 07:00:00 UTC 2012,1,KristinBeck=1,0,0,0
Mon Sep 03 08:00:00 UTC 2012,4,Samsonov_Stas=2_Enchanter219=1_Andreas_A8=1,0,0,0
Mon Sep 03 09:00:00 UTC 2012,10,mcolfer629=4_laydiekay=3_3LoudFrogs=1_ronnocol=1_meltyblend13=1,0,0,0
Mon Sep 03 10:00:00 UTC 2012,3,hdkzii=1_ronnocol=1_danieloleary=1,0,0,0
Mon Sep 03 11:00:00 UTC 2012,8,tlampo=2_JOontheGO_1=1_Greenhouse=1_jessicadee_isme=1_Tensai=1_iheartzidane=1_jrep=1,0,0,0
Mon Sep 03 12:00:00 UTC 2012,8,julie_andco=2_asarnold09=2_Vishal_Kal=1_channingwong=1_magnificent17=1_Ms_Jen_X=1,0,0,0
Mon Sep 03 13:00:00 UTC 2012,8,Merlin_wand=2_faisalyaqub=1_yunhongz=1_daristar1=1_suziesun7=1_mari7love=1_KarloSoeyo0=1,0,0,0
Mon Sep 03 14:00:00 UTC 2012,2,kayla_shmayla=1_only1bennie=1,0,0,0
Mon Sep 03 15:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 16:00:00 UTC 2012,22,pinchealii=12_edwardsanchez=3_cchung5=2_pier_dr=1_d41m=1_jaumetuit=1_mynameissam34=1_KristinBeck=1,0,0,0
Mon Sep 03 17:00:00 UTC 2012,14,pinchealii=5_dylanvee=3_lifeis11=2_itselvis=2_erincabreros=1_eriqus=1,1.69380591012668,1.69380591012668,1.69380591012668
Mon Sep 03 18:00:00 UTC 2012,23,toddbodene=10_pinchealii=5_JimSpohrer=3_salmuhh=1_Sshanttu=1_distywinata=1_savannahmayy=1_mcolfer629=1,0,0,0
Mon Sep 03 19:00:00 UTC 2012,19,pinchealii=10_itselvis=4_toddbodene=2_dylanvee=1_antonioVasquezz=1_lucnightingale=1,0.204812264254824,0.204812264254824,0.204812264254824
Mon Sep 03 20:00:00 UTC 2012,36,mcolfer629=11_pinchealii=6_toddbodene=4_eatteachblog=3_shingujikasumi=2_albertqian=1_jigsamania2010=1_icedteatime=1_sampullara=1_ozgurerisgen=1_JMHLive=1,0.145182843772545,0.145182843772545,0.184653536492441
Mon Sep 03 21:00:00 UTC 2012,14,mcolfer629=13_nikkihoffman408=1,0,0,0
Mon Sep 03 22:00:00 UTC 2012,17,edwardsanchez=5_mynameissam34=4_toddbodene=2_AshleyNave95=1_booyen=1_arkajit=1_ozgurerisgen=1_jackmcd=1_nikkihoffman408=1,2.1934597924407,2.1934597924407,2.1934597924407
Mon Sep 03 23:00:00 UTC 2012,6,toddbodene=6,1.18991185542267,1.18991185542267,1.18991185542267
Tue Sep 04 00:00:00 UTC 2012,7,toddbodene=5_djEmpathy=1_mcolfer629=1,1.26033294904195,1.26033294904195,1.26033294904195
Tue Sep 04 01:00:00 UTC 2012,3,toddbodene=1_faisalyaqub=1_mcolfer629=1,0,0,0
Tue Sep 04 02:00:00 UTC 2012,6,antonioVasquezz=6,0,0,0
Tue Sep 04 03:00:00 UTC 2012,2,SBCSanJoseDeals=2,3.91351866672655,3.91351866672655,3.91351866672655
Tue Sep 04 04:00:00 UTC 2012,8,TonyMcCreary=8,0,0,0
Tue Sep 04 05:00:00 UTC 2012,3,thomhoekstra=2_demaurice93=1,0,0,0
Tue Sep 04 06:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 07:00:00 UTC 2012,8,edwardsanchez=4_ponkichi002=2_sjsharks9=1_Izhiltsoff=1,0,0,0
Tue Sep 04 08:00:00 UTC 2012,6,tlampo=2_poitch=1_Abhisonawane87=1_pier_dr=1_jasonmink=1,0,0,0
Tue Sep 04 09:00:00 UTC 2012,15,petecubano=4_thegrimes=2_rintax=1_takeru_niconico=1_sampullara=1_ebayugo=1_ravisRealm=1_ingrassia=1_zephanjenkins=1_draphsor=1_theeenrique=1,2.13802976391579,2.13802976391579,2.13802976391579
Tue Sep 04 10:00:00 UTC 2012,12,jeremy_david=2_NathanHills=1_albertren=1_noahhendrix=1_Enchanter219=1_KristinBeck=1_zephanjenkins=1__jonasf_=1_jesstit=1_jorbsd=1_mcolfer629=1,0.129342758447098,0.129342758447098,0.129342758447098
Tue Sep 04 11:00:00 UTC 2012,10,yatown_news_am=1_Andreas_A8=1_yatown_popular=1_ctp=1_therealstache=1_Felipegarbe=1_kileymichele=1_fredbosch=1_Nahirk=1__jonasf_=1,0,0,0
Tue Sep 04 12:00:00 UTC 2012,26,mcolfer629=6_sampullara=4_alesplin=3_iamxande=1_eatteachblog=1_akeigher=1_ddenboer=1_draphsor=1_schitter=1_potzer=1_PatrickBenedict=1,0.511963051999111,0.511963051999111,0.511963051999111
