time,count,user_count,distance_median,distance_mean,distance_max
Mon Sep 03 00:00:00 UTC 2012,38,xxFABLIFExx=13_ReinCS=8_chettabunns=5_mchen_ja=2_mastersobg=2_aopli=2_Carved_Jade=1_khanartist=1_MarieTangitau=1_zhaojiamin1990=1_iacono=1,0.854751105349326,0.854751105349326,0.854751105349326
Mon Sep 03 01:00:00 UTC 2012,15,xxFABLIFExx=7_chettabunns=2_NiqueeBoo92=2_kayceviray=1_li_zinan=1_evanlong=1_JayWacker=1,0,0,0
Mon Sep 03 02:00:00 UTC 2012,5,w_pat_tc=1_li_zinan=1_StartupEmbassy=1_1sleeve=1_instantmillion=1,0,0,0
Mon Sep 03 03:00:00 UTC 2012,5,qousi=2_li_zinan=2_chettabunns=1,2.13957061368745,2.13957061368745,2.13957061368745
Mon Sep 03 04:00:00 UTC 2012,12,komakiyuai=6_albi_zs=4_li_zinan=1_Leesean1214=1,1.32299027128646,1.32299027128646,1.32299027128646
Mon Sep 03 05:00:00 UTC 2012,7,shinerising=2_albi_zs=2_chettabunns=1_komakiyuai=1_Violadandan=1,0.961476666930092,0.961476666930092,0.961476666930092
Mon Sep 03 06:00:00 UTC 2012,12,chettabunns=3_Armandageddon=2_at0712khun=2_Map_Game=2_myersguo=1_Lyimp=1_kostaz2=1,0,0,0
Mon Sep 03 07:00:00 UTC 2012,26,neoriazhang=6_XdjOdd=3_Alex59736896=3_lzwade=2_augustineSODMG=2_gingiroxy99=1_tallulahsmom=1_EnglishMossop=1_SUNNY_WANG_=1_NiehHsiaoting=1_BallersBridge=1,0.594386698413437,0.594386698413437,0.594386698413437
Mon Sep 03 08:00:00 UTC 2012,37,xxFABLIFExx=18_neoriazhang=6_Armandageddon=2_li_zinan=2_albi_zs=2_XdjOdd=2_itzluigii=1_jack_freedom1=1_kiddynomite7=1_DayveedKeem14=1_woner363=1,0.86181185735856,0.86181185735856,0.86181185735856
Mon Sep 03 09:00:00 UTC 2012,21,Bieberrmyidol=5_ReinCS=5_MeanMrHaynie=1_judysaund=1_RastaTizzle=1_NiqueeBoo92=1_wangzang=1_woner363=1_hamshin=1_webbizceo=1_shauna_harrison=1,0,0,0
Mon Sep 03 10:00:00 UTC 2012,32,ReinCS=6_Adonis314=6_Alamonayyy=3_chettabunns=3_johnphua=1_calebelston=1_jazzygurl133=1_xxFABLIFExx=1_ddunstan=1_XdjOdd=1_tallulahsmom=1,0.43499666243189,0.43499666243189,0.43499666243189
Mon Sep 03 11:00:00 UTC 2012,27,ReinCS=5_chettabunns=4_hamshin=2_KasperlChu=1_mastersobg=1_testastretta=1_ADBCampbell=1_baristaze=1_StaciLynnMartin=1_Ckhizzle=1_42=1,0.273295084625663,0.273295084625663,0.273295084625663
Mon Sep 03 12:00:00 UTC 2012,38,toddbodene=6_wa7son=4_Map_Game=4_yuzeh=3_42=2_maria_cis=2_lindawatkins=1_XdjOdd=1_ReinCS=1_lynserella=1_ELdasek82=1,0.180247213108524,0.825098198600644,2.83835614838493
Mon Sep 03 13:00:00 UTC 2012,17,Alamonayyy=2_chettabunns=2_chapoCB15=2_ccoulson=1_johnolilly=1_ReinCS=1_gaarf=1_Deiawuff=1_DevilsKeeper720=1_jtanchuan=1_rawbmidson=1,2.23107065839786,2.23107065839786,2.23107065839786
