time,count,user_count,distance_median,distance_mean,distance_max
Mon Sep 03 00:00:00 UTC 2012,2,gr00vemeister=1_PradaBaby26=1,0,0,0
Mon Sep 03 01:00:00 UTC 2012,1,JuliaShopwunder=1,0,0,0
Mon Sep 03 02:00:00 UTC 2012,1,TefoBuhur=1,0,0,0
Mon Sep 03 03:00:00 UTC 2012,1,TefoBuhur=1,0,0,0
Mon Sep 03 04:00:00 UTC 2012,1,gr00vemeister=1,0,0,0
Mon Sep 03 05:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 06:00:00 UTC 2012,1,scheibo_=1,0,0,0
Mon Sep 03 07:00:00 UTC 2012,1,gr00vemeister=1,0,0,0
Mon Sep 03 08:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 09:00:00 UTC 2012,1,machead83=1,0,0,0
Mon Sep 03 10:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 11:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 12:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 13:00:00 UTC 2012,5,machead83=5,1.58574926456461,1.58574926456461,1.58574926456461
Mon Sep 03 14:00:00 UTC 2012,1,in2code_stefan=1,0,0,0
Mon Sep 03 15:00:00 UTC 2012,0,"",0,0,0
Mon Sep 03 16:00:00 UTC 2012,5,einpraegsam=1_scheibo_=1_ceylo289=1_in2code_stefan=1_MoniDG=1,0,0,0
Mon Sep 03 17:00:00 UTC 2012,3,schuppsi=2_markymarcmode=1,0,0,0
Mon Sep 03 18:00:00 UTC 2012,5,machead83=2_TefoBuhur=1_Herr_Major=1_MichaelUmlauf=1,0,0,0
Mon Sep 03 19:00:00 UTC 2012,2,TefoBuhur=2,0,0,0
Mon Sep 03 20:00:00 UTC 2012,9,scheibo_=8_MichaelUmlauf=1,0,0,0
Mon Sep 03 21:00:00 UTC 2012,1,MichaelUmlauf=1,0,0,0
Mon Sep 03 22:00:00 UTC 2012,10,TefoBuhur=9_scheibo_=1,0.503442730721886,0.503442730721886,0.503442730721886
Mon Sep 03 23:00:00 UTC 2012,1,roxicipriano=1,0,0,0
Tue Sep 04 00:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 01:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 02:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 03:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 04:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 05:00:00 UTC 2012,0,"",0,0,0
Tue Sep 04 06:00:00 UTC 2012,10,scheibo_=10,0,0,0
