longitude,latitude,fsq_venueName,fsq_venueCount
13.56940269,52.44818945,Mentzelpark,1
13.347085,52.497462,Sissi,1
13.47473145,52.51430133,S+U-Bhf Frankfurter Allee,3
13.51759889,52.46134854,Thang Long,3
13.41341615,52.49327888,Powwow,1
13.441402,52.500902,Späti am Schlesi,1
13.333519,52.521009,Aral,3
13.41765604,52.51381791,Botschaft und Konsulat der VR China,1
13.43112212,52.48684042,Melbourne Canteen,1
13.33517075,52.50486565,Kaiser-Wilhelm-Gedächtniskirche,2
13.39613152,52.53440475,ULA Berlin,1
13.27266455,52.50261255,Telekom @IFA 2012 Halle 6.2,5
13.4098516,52.5484398,Cafe Rhino,1
13.40092795,52.5296114,La Pausa,1
13.341372,52.499144,Folsom Eorope 2012,1
13.34853125,52.54410814,Acidhome,1
13.19205636,52.54019922,The Finsel Residence,6
13.42261076,52.5393033,Video Center Megastore,1
13.49379714,52.46220226,Headquarter Berlin,1
13.40840578,52.52103892,Fitness First Lifestyle Club,3
13.394389,52.50907,Werk 9,1
13.37167025,52.52389817,Traumstrand Berlin,1
13.418625,52.49391578,Avril,1
13.327519,52.503085,Reinhard's Im Kempinski,1
13.38956006,52.51353772,Russisches Haus (Das),1
13.28842023,52.55430424,Startbahn,1
13.322157,52.504072,1900 Cafe Bistro,1
13.39917898,52.52314094,Monbijouplatz,1
13.42055605,52.50511448,Kinderbauernhof am Mauerplatz,1
13.38907016,52.51400345,EHC Eisbären Management GmbH,1
13.466024,52.505988,Transit,1
13.34861,52.514675,Cafe Viktoria,1
13.44752312,52.65358238,Schönerlinde,1
13.30511453,52.48013259,Segelschule Hering,1
13.41242839,52.54773127,UCI Kinowelt Colosseum,1
13.3367423,52.50186228,Ellington Hotel Berlin,1
13.38755357,52.52331284,Pane e Vino,1
13.26034784,52.50166555,TU-Sportzentrum Waldschulallee,1
13.43912646,52.48176185,Sonnenallee,1
13.412436,52.530884,I Due Forni,2
13.35008383,52.51442538,Tiergarten,4
13.35256942,52.49930171,Hartnackschule,1
13.38102043,52.51248781,Hitler's Bunker,2
13.397311,52.529339,peaberries Kaffee,1
13.20279587,52.62591688,Moormann,1
13.46797537,52.5138925,Club Triplex,1
13.34295881,52.50190601,Wittenbergplatz,6
13.41295147,52.53868484,Gravis Store Kulturbrauerei,1
13.42570894,52.48093176,Mein Karton,1
13.42203851,52.50072663,Franken,1
13.23572192,52.61248211,Some IT GmbH,1
13.2595425,52.50801595,S-Bhf Heerstraße,1
13.44952388,52.53688955,Kniprodestraße / Storkowerstraße,1
13.311981,52.496631,K 56,1
13.350209,52.52017219,Gerickesteg,2
13.3543539,52.4963163,Winterfeldtplatz,1
13.42809319,52.48824219,Bully's Bakery,1
13.33105833,52.50135831,art'otel berlin kudamm,1
13.393777,52.512683,Arztpraxis Zrino Nakic,1
13.09131105,52.39140863,Gleis 6,1
13.40570211,52.52517106,Urban Outfitters,1
13.27402321,52.53322827,Media Academy,1
13.39929616,52.51899707,Museumsinsel,1
13.43743801,52.51891068,berida.com HQ (P40),2
13.4191492,52.5010738,Green Rice,1
13.42111054,52.50245842,medx GmbH,3
13.45125675,52.51588136,tmkilla.com HQ,3
13.2915473,52.55349807,Besucherterrassen | Visitor Terrace TXL,1
13.270336,52.504446,Into Tomorrow & ITTV Studio @ IFA,2
13.41825649,52.50160529,Luzia,2
13.30575228,52.50896014,Wilmersdorfer Arcaden,2
13.44419098,52.47848892,Roseggerstr. WG,1
13.42850626,52.493372,Aapka - Restaurant & Cocktailbar,1
13.26205091,52.42557437,John F. Kennedy School Berlin,1
13.35226977,52.54796922,Berlin Street Tattoo,1
13.38388553,52.49414802,Zyankali Bar,2
13.45247984,52.51931545,Tram-H Bersarinplatz,3
13.51652616,52.45965969,Rathenauhallen,1
13.41516495,52.54029282,Burger Dream,1
13.6106658,52.51206829,S-Bhf Mahlsdorf,1
13.12980378,52.3934664,Institut für Informatik,4
13.44834924,52.50193986,Spreespeicher,1
13.45767886,52.51279093,Kaffeehaus Kuchenrausch,1
13.4604998,52.5088702,Hops & Barley,2
13.473348,52.513992,Solarent,1
13.3763425,52.50998847,Executive Lounge at Berlin Marriott Hotel,2
13.35443368,52.4982316,Mastro Pizza,1
13.443195,52.500371,Maky,1
13.45413208,52.50808511,Zahnarztpraxis Schäfer,1
13.29659,52.518918,Sammlung Scharf-Gerstenberg,1
13.38367527,52.45709767,Amma,1
13.392452,52.4845574,Columbiahalle,1
13.399993,52.53283578,FC Magnet Mitte,1
13.39705467,52.5074974,Paparazzi Restaurant,1
13.41160295,52.54756614,The Dubliner Pub,1
13.45915431,52.510584,Lisboa Bar,1
13.45885042,52.51255918,Zeus Pide & Pizza,1
13.41942468,52.49529253,Hamburger Heaven,1
13.27196638,52.50485785,Intel Bloghütte @ IFA 2012,7
13.37808609,52.51560714,Amerikanische Botschaft Berlin,1
13.429995,52.500613,Toscanafraktion,1
13.38917166,52.54871782,S+U-Bhf Gesundbrunnen,3
13.32185626,52.51260197,U-Bhf Ernst-Reuter-Platz,6
13.38867728,52.49279052,Alsancak  Simit Sarayı,2
13.45971107,52.51078849,Flohmarkt Boxhagener Platz | So.,2
13.46923828,52.50318726,S-Bhf Ostkreuz,3
13.38981271,52.53507878,Gedenkstätte Berliner Mauer | Berlin Wall Memorial,2
13.4118996,52.52229798,Sapori Italiani,1
13.19992639,52.53499965,S+U Rathaus Spandau,1
13.34506,52.502223,GEMA,3
13.33622423,52.504502,Breitscheidplatz,1
13.41255679,52.51884163,Amtsgericht Mitte,1
13.317404,52.504261,NU Restaurant,1
13.429214,52.494184,Startupbootcamp Berlin HQ,1
