longitude,latitude,fsq_venueName,fsq_venueCount
11.61527946,48.14152021,basic,1
11.56621617,48.133616,H Sendlinger Tor,1
11.557294,48.140823,CNL 418 München - Amsterdam,1
11.57649994,48.14219005,Theatinerkirche (Stiftskirche St. Kajetan),2
11.62770331,48.10732373,H Emdenstraße,2
11.578002,48.142888,Aston Martin Munich,1
11.53270771,48.18355058,Olympia-Einkaufszentrum,1
11.56745957,48.17803984,Paulaner Treff,1
11.62514448,48.1711372,Oberföhring,2
11.486804,48.121684,Wolkerweg 11a,2
11.56352376,48.13932488,35 Millimeter,1
11.55539657,48.12419157,Atlantik Fisch & Feinkost,1
11.65166435,48.18743925,Swiss Re,1
11.55432096,48.17113138,Olympia Alm,1
11.56335726,48.15619017,"Deeva Nails, Nailstudio",2
11.59720569,48.1343639,Wiener Platz (Brunnen),1
11.56512737,48.13931556,Brezelina,1
11.61558461,48.15576472,Vladimir's Abode,1
11.562789,48.139832,Thai Wok,1
11.59095825,48.12808082,Auerfeldstraße 6,1
11.55922065,48.14045319,Hauptbahof,2
11.56054,48.137624,Rossmann,1
11.57463312,48.13881796,Kilians Irish Pub,3
11.55327284,48.13909849,Hotel Bayernland,3
11.57051,48.134539,ocui [open cuisine],4
11.51123112,48.18109706,Moosacher Stachus,1
11.5801692,48.1474482,Bayerische Staatsbibliothek,2
11.608073,48.10929179,Allguth Tankstelle,1
11.55577183,48.14054699,München Hauptbahnhof,38
11.53218985,48.17691823,BMW @ UpTown,2
11.567467,48.138331,Louis Vuitton,1
11.69110134,48.1173936,H Drosselweg,1
11.56951043,48.13516162,o2 Shop München Sendlinger Strasse,3
11.59959122,48.15322045,Filiale Tucherpark,1
11.563518,48.16081166,CAN - Café am Nordbad,3
11.564984,48.139181,Kaimug,1
11.50594711,48.17988004,Bahnhof Moosach (S+U),1
11.43326998,48.14003151,Metro Pasing,1
11.57515,48.160223,Eiscafe Venezia,2
11.58586621,48.16144822,Turner House,2
11.54512992,48.13420785,Aldi,1
11.606584,48.186689,McDonald's,5
11.558788,48.145366,Japan Sushi Gourmet,2
11.590662,48.160947,Cocktailhouse,1
11.60776157,48.05516236,iteratec GmbH,1
11.65203094,48.05694298,Sportpark Ottobrunn,1
11.54558264,48.08212062,Menterschwaige,1
11.72900177,48.14752014,Holiday Inn Express Munich Messe Feldkirchen,1
11.56600714,48.13922964,NYtea,1
11.53707683,48.16188991,FT Gern,4
11.56253105,48.14271945,The Charles Hotel,1
11.51987521,48.179242,Kindertagestaedte Quedlinburgerstrasse 11,1
11.53444425,48.146864,Peaches Neuhausen,3
11.58011444,48.10906644,Münchner Kebaphaus,1
11.55699231,48.14160174,2 Infinite Loop,6
11.57081624,48.13828784,Italian Connection,2
11.55947006,48.13740307,Courtyard by Marriott Munich City  Center,1
11.56743633,48.14043115,L'Osteria,1
11.514766,48.070674,Iberl's Gasthaus & Biergarten,1
11.55354346,48.11235377,SELF-Bar,1
11.58024,48.1771307,Sonnendeck,1
11.605453,48.122583,BLR Radiodienst,1
11.59615517,48.12850344,Weißenburger Platz,2
11.579058,48.136128,Sausalitos,1
11.58255712,48.15212492,Streetlife Festival,5
11.60401884,48.12804334,Subway Sandwiches,1
11.56383648,48.13943496,Mathäser Filmpalast,4
11.45899084,48.14986404,Fit-Star Pasing,1
11.57998855,48.13635028,Zum Dürnbräu,1
11.60529116,48.12783103,Ostbahnhof,2
11.600079,48.135682,I O espresso Lounge,5
11.575612,48.149657,Der Laden,1
11.59731808,48.11766182,Siemens Kantine,1
11.57625453,48.12059972,Soulhair,1
11.57190049,48.18915494,Innovation@ITZ,5
11.5506649,48.14912325,Junge Union Bayern,1
11.606158,48.121528,Dak,1
11.504775,48.15415,Chinesiches Generalkonsulat,1
11.57957738,48.17734513,Café Ludwig,1
11.54383529,48.13248326,Bladenight,1
11.60422325,48.12780165,S+U Ostbahnhof,8
11.65293463,48.19072083,ProSiebenSat.1 Games,1
11.560968,48.136959,Hotel Astor,1
11.46163619,48.15007811,München Pasing Fernbahnhof Gleis 9/10,1
11.574664,48.161407,Arts ‘n’ Boards,1
11.60420204,48.1282998,Burger King,2
11.57398401,48.13838208,Augustiner am Dom,1
11.5117631,48.1350275,U Friedenheimer Straße,3
11.57815632,48.136357,la pizzetta,1
11.557216,48.12797772,City Park am Goetheplatz,1
11.61958137,48.16542584,home chris' home,1
11.62637723,48.13197537,La Cantinetta,1
11.57454729,48.13687408,Apple Store,14
11.72210495,48.17219246,Aschheim,1
11.46097183,48.14956706,Bahnhof Pasing (S),2
11.56287124,48.1397436,Smart Stay Hotel Station,1
11.565475,48.146124,Glyptothek,1
11.57525432,48.13716656,Marienplatz,19
11.58997381,48.13893046,EF International Language Centres,1
11.57137156,48.13116372,M.C. Mueller,1
11.56315327,48.15907221,REWE,2
11.57080191,48.13419269,Linde AG,1
11.53519038,48.14023952,Central Tower,2
