time,count,red,green,blue
Mon Sep 03 00:00:00 UTC 2012,3,22,22,34
Mon Sep 03 01:00:00 UTC 2012,1,22,22,59
Mon Sep 03 02:00:00 UTC 2012,2,38,34,38
Mon Sep 03 03:00:00 UTC 2012,1,38,0,38
Mon Sep 03 04:00:00 UTC 2012,1,28,28,56
Mon Sep 03 05:00:00 UTC 2012,0,-,-,-
Mon Sep 03 06:00:00 UTC 2012,2,42,34,34
Mon Sep 03 07:00:00 UTC 2012,3,28,28,59
Mon Sep 03 08:00:00 UTC 2012,11,56,22,38
Mon Sep 03 09:00:00 UTC 2012,13,59,28,28
Mon Sep 03 10:00:00 UTC 2012,13,56,28,28
Mon Sep 03 11:00:00 UTC 2012,5,56,34,38
Mon Sep 03 12:00:00 UTC 2012,12,38,38,56
Mon Sep 03 13:00:00 UTC 2012,12,56,28,38
Mon Sep 03 14:00:00 UTC 2012,18,28,22,56
Mon Sep 03 15:00:00 UTC 2012,9,50,53,46
Mon Sep 03 16:00:00 UTC 2012,20,56,28,38
Mon Sep 03 17:00:00 UTC 2012,14,56,34,34
Mon Sep 03 18:00:00 UTC 2012,20,254,254,252
Mon Sep 03 19:00:00 UTC 2012,18,56,34,34
Mon Sep 03 20:00:00 UTC 2012,19,34,28,56
Mon Sep 03 21:00:00 UTC 2012,11,56,28,34
Mon Sep 03 22:00:00 UTC 2012,18,34,28,59
Mon Sep 03 23:00:00 UTC 2012,2,38,59,13
Tue Sep 04 00:00:00 UTC 2012,0,-,-,-
Tue Sep 04 01:00:00 UTC 2012,6,13,22,212
Tue Sep 04 02:00:00 UTC 2012,1,180,13,28
Tue Sep 04 03:00:00 UTC 2012,1,56,34,13
Tue Sep 04 04:00:00 UTC 2012,3,59,22,28
Tue Sep 04 05:00:00 UTC 2012,1,56,38,28
Tue Sep 04 06:00:00 UTC 2012,1,42,38,34
Tue Sep 04 07:00:00 UTC 2012,4,34,13,22
Tue Sep 04 08:00:00 UTC 2012,9,28,28,56
Tue Sep 04 09:00:00 UTC 2012,12,56,28,34
Tue Sep 04 10:00:00 UTC 2012,11,56,34,34
Tue Sep 04 11:00:00 UTC 2012,13,56,34,34
